ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;720;1975;6.0;.                             ;.                             
1;720;1976;4.0;.                             ;.                             
2;720;1977;6.0;.                             ;.                             
3;720;1978;6.0;.                             ;.                             
4;720;1979;20.0;.                             ;.                             
5;720;1980;25.0;.                             ;.                             
6;720;1981;33.0;.                             ;.                             
7;720;1982;31.0;.                             ;.                             
8;720;1983;36.0;.                             ;.                             
9;720;1984;50.0;.                             ;.                             
10;720;1985;53.0;.                             ;.                             
11;720;1986;50.0;.                             ;.                             
12;720;1987;52.0;.                             ;.                             
13;720;1988;52.0;.                             ;.                             
14;720;1989;61.0;.                             ;.                             
15;720;1990;96.0;.                             ;.                             
16;720;1991;97.0;.                             ;.                             
17;720;1992;93.0;.                             ;.                             
18;720;1993;88.0;.                             ;.                             
19;720;1994;87.0;.                             ;.                             
20;720;1995;99.0;.                             ;.                             
21;720;1996;97.0;.                             ;.                             
22;720;1997;97.0;.                             ;.                             
23;720;1998;87.0;.                             ;.                             
24;720;1999;102.0;.                             ;.                             
25;720;2000;100.0;.                             ;.                             
26;720;2001;110.0;.                             ;.                             
27;720;2002;139.0;.                             ;.                             
28;720;2003;143.0;.                             ;.                             
29;720;2004;114.0;Sterke toename                ;Matige toename                
30;1730;1975;57.0;.                             ;.                             
31;1730;1976;70.0;.                             ;.                             
32;1730;1977;61.0;.                             ;.                             
33;1730;1978;57.0;.                             ;.                             
34;1730;1979;55.0;.                             ;.                             
35;1730;1980;69.0;.                             ;.                             
36;1730;1981;61.0;.                             ;.                             
37;1730;1982;60.0;.                             ;.                             
38;1730;1983;64.0;.                             ;.                             
39;1730;1984;60.0;.                             ;.                             
40;1730;1985;62.0;.                             ;.                             
41;1730;1986;36.0;.                             ;.                             
42;1730;1987;85.0;.                             ;.                             
43;1730;1988;71.0;.                             ;.                             
44;1730;1989;71.0;.                             ;.                             
45;1730;1990;45.0;.                             ;.                             
46;1730;1991;59.0;.                             ;.                             
47;1730;1992;67.0;.                             ;.                             
48;1730;1993;70.0;.                             ;.                             
49;1730;1994;66.0;.                             ;.                             
50;1730;1995;57.0;.                             ;.                             
51;1730;1996;62.0;.                             ;.                             
52;1730;1997;64.0;.                             ;.                             
53;1730;1998;59.0;.                             ;.                             
54;1730;1999;73.0;.                             ;.                             
55;1730;2000;100.0;.                             ;.                             
56;1730;2001;80.0;.                             ;.                             
57;1730;2002;80.0;.                             ;.                             
58;1730;2003;93.0;.                             ;.                             
59;1730;2004;73.0;Matige toename                ;Matige toename                
60;1220;1975;41.0;.                             ;.                             
61;1220;1976;44.0;.                             ;.                             
62;1220;1977;48.0;.                             ;.                             
63;1220;1978;47.0;.                             ;.                             
64;1220;1979;51.0;.                             ;.                             
65;1220;1980;43.0;.                             ;.                             
66;1220;1981;51.0;.                             ;.                             
67;1220;1982;53.0;.                             ;.                             
68;1220;1983;52.0;.                             ;.                             
69;1220;1984;56.0;.                             ;.                             
70;1220;1985;45.0;.                             ;.                             
71;1220;1986;42.0;.                             ;.                             
72;1220;1987;42.0;.                             ;.                             
73;1220;1988;60.0;.                             ;.                             
74;1220;1989;76.0;.                             ;.                             
75;1220;1990;75.0;.                             ;.                             
76;1220;1991;69.0;.                             ;.                             
77;1220;1992;80.0;.                             ;.                             
78;1220;1993;82.0;.                             ;.                             
79;1220;1994;91.0;.                             ;.                             
80;1220;1995;88.0;.                             ;.                             
81;1220;1996;66.0;.                             ;.                             
82;1220;1997;77.0;.                             ;.                             
83;1220;1998;76.0;.                             ;.                             
84;1220;1999;93.0;.                             ;.                             
85;1220;2000;100.0;.                             ;.                             
86;1220;2001;97.0;.                             ;.                             
87;1220;2002;91.0;.                             ;.                             
88;1220;2003;101.0;.                             ;.                             
89;1220;2004;106.0;Matige toename                ;Matige toename                
90;4700;1975;42.0;.                             ;.                             
91;4700;1976;46.0;.                             ;.                             
92;4700;1977;59.0;.                             ;.                             
93;4700;1978;72.0;.                             ;.                             
94;4700;1979;74.0;.                             ;.                             
95;4700;1980;61.0;.                             ;.                             
96;4700;1981;65.0;.                             ;.                             
97;4700;1982;62.0;.                             ;.                             
98;4700;1983;61.0;.                             ;.                             
99;4700;1984;63.0;.                             ;.                             
100;4700;1985;54.0;.                             ;.                             
101;4700;1986;73.0;.                             ;.                             
102;4700;1987;70.0;.                             ;.                             
103;4700;1988;58.0;.                             ;.                             
104;4700;1989;65.0;.                             ;.                             
105;4700;1990;49.0;.                             ;.                             
106;4700;1991;57.0;.                             ;.                             
107;4700;1992;68.0;.                             ;.                             
108;4700;1993;87.0;.                             ;.                             
109;4700;1994;54.0;.                             ;.                             
110;4700;1995;78.0;.                             ;.                             
111;4700;1996;80.0;.                             ;.                             
112;4700;1997;81.0;.                             ;.                             
113;4700;1998;67.0;.                             ;.                             
114;4700;1999;73.0;.                             ;.                             
115;4700;2000;100.0;.                             ;.                             
116;4700;2001;62.0;.                             ;.                             
117;4700;2002;81.0;.                             ;.                             
118;4700;2003;86.0;.                             ;.                             
119;4700;2004;98.0;Matige toename                ;Matige toename                
120;5120;1975;83.0;.                             ;.                             
121;5120;1976;105.0;.                             ;.                             
122;5120;1977;85.0;.                             ;.                             
123;5120;1978;79.0;.                             ;.                             
124;5120;1979;75.0;.                             ;.                             
125;5120;1980;71.0;.                             ;.                             
126;5120;1981;65.0;.                             ;.                             
