ID;Geslacht;LeeftijdBeginPeriode;Herkomstgroepering;SBI93BeginPeriode;SBI93EindePeriode;Perioden;WerknemersBlijvers_1
0;Totaal mannen en vrouwen;0;0;0;0;24 september 1999 tot 29 september 2000;6230.7
1;Totaal mannen en vrouwen;0;0;0;0;29 september 2000 tot 28 september 2001;6377.3
2;Totaal mannen en vrouwen;0;0;0;0;28 september 2001 tot 27 september 2002;6491.9
3;Totaal mannen en vrouwen;0;0;0;0;27 september 2002 tot 26 september 2003;6524.3
4;Totaal mannen en vrouwen;0;0;0;0;26 september 2003 tot 24 september 2004;6458.3
5;Totaal mannen en vrouwen;0;0;0;0;24 september 2004 tot 30 september 2005;6414.1
6;Totaal mannen en vrouwen;0;0;0;0;30 september 2005 tot 29 september 2006;6414.4
7;Totaal mannen en vrouwen;0;0;0;0;29 september 2006 tot 28 september 2007;6599.9
8;Totaal mannen en vrouwen;0;0;0;0;28 september 2007 tot 26 september 2008;6761.2
9;Totaal mannen en vrouwen;0;0;0;1;24 september 1999 tot 29 september 2000;107.2
10;Totaal mannen en vrouwen;0;0;0;1;29 september 2000 tot 28 september 2001;104.2
11;Totaal mannen en vrouwen;0;0;0;1;28 september 2001 tot 27 september 2002;103.7
12;Totaal mannen en vrouwen;0;0;0;1;27 september 2002 tot 26 september 2003;104.6
13;Totaal mannen en vrouwen;0;0;0;1;26 september 2003 tot 24 september 2004;105.2
14;Totaal mannen en vrouwen;0;0;0;1;24 september 2004 tot 30 september 2005;99.8
15;Totaal mannen en vrouwen;0;0;0;1;30 september 2005 tot 29 september 2006;95.1
16;Totaal mannen en vrouwen;0;0;0;1;29 september 2006 tot 28 september 2007;95.4
17;Totaal mannen en vrouwen;0;0;0;1;28 september 2007 tot 26 september 2008;94.2
18;Totaal mannen en vrouwen;0;0;0;2;24 september 1999 tot 29 september 2000;1357.6
19;Totaal mannen en vrouwen;0;0;0;2;29 september 2000 tot 28 september 2001;1356.2
20;Totaal mannen en vrouwen;0;0;0;2;28 september 2001 tot 27 september 2002;1324.1
21;Totaal mannen en vrouwen;0;0;0;2;27 september 2002 tot 26 september 2003;1278.3
22;Totaal mannen en vrouwen;0;0;0;2;26 september 2003 tot 24 september 2004;1232.4
23;Totaal mannen en vrouwen;0;0;0;2;24 september 2004 tot 30 september 2005;1200.6
24;Totaal mannen en vrouwen;0;0;0;2;30 september 2005 tot 29 september 2006;1153.6
25;Totaal mannen en vrouwen;0;0;0;2;29 september 2006 tot 28 september 2007;1160.5
26;Totaal mannen en vrouwen;0;0;0;2;28 september 2007 tot 26 september 2008;1170.5
27;Totaal mannen en vrouwen;0;0;0;3;24 september 1999 tot 29 september 2000;9.1
28;Totaal mannen en vrouwen;0;0;0;3;29 september 2000 tot 28 september 2001;8.8
29;Totaal mannen en vrouwen;0;0;0;3;28 september 2001 tot 27 september 2002;8.6
30;Totaal mannen en vrouwen;0;0;0;3;27 september 2002 tot 26 september 2003;8.6
31;Totaal mannen en vrouwen;0;0;0;3;26 september 2003 tot 24 september 2004;8.3
32;Totaal mannen en vrouwen;0;0;0;3;24 september 2004 tot 30 september 2005;8.3
33;Totaal mannen en vrouwen;0;0;0;3;30 september 2005 tot 29 september 2006;6.7
34;Totaal mannen en vrouwen;0;0;0;3;29 september 2006 tot 28 september 2007;6.8
35;Totaal mannen en vrouwen;0;0;0;3;28 september 2007 tot 26 september 2008;6.9
36;Totaal mannen en vrouwen;0;0;0;4;24 september 1999 tot 29 september 2000;918.8
37;Totaal mannen en vrouwen;0;0;0;4;29 september 2000 tot 28 september 2001;919.6
38;Totaal mannen en vrouwen;0;0;0;4;28 september 2001 tot 27 september 2002;893.3
39;Totaal mannen en vrouwen;0;0;0;4;27 september 2002 tot 26 september 2003;859.3
40;Totaal mannen en vrouwen;0;0;0;4;26 september 2003 tot 24 september 2004;834.1
41;Totaal mannen en vrouwen;0;0;0;4;24 september 2004 tot 30 september 2005;810.7
42;Totaal mannen en vrouwen;0;0;0;4;30 september 2005 tot 29 september 2006;775.8
43;Totaal mannen en vrouwen;0;0;0;4;29 september 2006 tot 28 september 2007;777.2
44;Totaal mannen en vrouwen;0;0;0;4;28 september 2007 tot 26 september 2008;782.7
45;Totaal mannen en vrouwen;0;0;0;5;24 september 1999 tot 29 september 2000;99.5
46;Totaal mannen en vrouwen;0;0;0;5;29 september 2000 tot 28 september 2001;103.6
47;Totaal mannen en vrouwen;0;0;0;5;28 september 2001 tot 27 september 2002;103.6
