ID;Geslacht;Leeftijdsklasse;DiagnoseIndelingVTV;Perioden;EenjaarssterfteNa1eZiekenhuisopname_1;GecorrigeerdeEenjaarssterfte_2;AantalPersonenMet1eZiekenhuisopname_3
0;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2000;4.1;2.8;720789.0
1;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2001;4.0;2.7;734814.0
2;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2002;3.9;2.6;773970.0
3;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2003;3.8;2.5;802588.0
4;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2004;3.5;2.3;834706.0
5;Mannen + Vrouwen;Alle leeftijden;Alle diagnosen;2005;3.4;2.2;816626.0
6;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2000;9.6;8.1;19471.0
7;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2001;10.4;8.9;19085.0
8;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2002;10.7;9.0;20024.0
9;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2003;11.1;9.4;20514.0
10;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2004;10.7;9.0;21529.0
11;Mannen + Vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2005;10.5;8.8;21750.0
12;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2000;2.4;1.6;3939.0
13;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2001;3.4;2.5;3661.0
14;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2002;2.9;2.0;3842.0
15;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2003;2.7;1.8;4388.0
16;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2004;3.5;2.6;4321.0
17;Mannen + Vrouwen;Alle leeftijden;1.1  Infectieziekten van maagdarmkanaal;2005;4.1;3.1;4805.0
18;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2000;14.2;11.9;339.0
19;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2001;11.2;9.3;298.0
20;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2002;13.1;11.2;299.0
21;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2003;15.6;13.7;306.0
22;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2004;15.6;13.4;282.0
23;Mannen + Vrouwen;Alle leeftijden;1.2  Tuberculose;2005;15.3;13.4;296.0
24;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2000;9.0;8.3;1380.0
25;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2001;9.4;8.7;1058.0
26;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2002;10.5;9.5;1130.0
27;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2003;11.2;10.4;1106.0
28;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2004;8.9;8.2;1135.0
29;Mannen + Vrouwen;Alle leeftijden;1.5  Hersenvliesontsteking;2005;10.1;9.3;1118.0
30;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2000;41.2;37.3;2304.0
31;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2001;45.3;41.3;2411.0
32;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2002;45.1;41.1;2512.0
33;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2003;46.4;42.0;2618.0
34;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2004;42.6;38.5;2786.0
35;Mannen + Vrouwen;Alle leeftijden;1.6  Sepsis;2005;42.5;38.5;2811.0
36;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2000;7.8;7.5;548.0
37;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2001;6.4;6.1;748.0
38;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2002;7.7;7.4;612.0
39;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2003;6.8;6.5;353.0
40;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2004;7.5;7.1;293.0
41;Mannen + Vrouwen;Alle leeftijden;1.7  Meningokokkenziekten;2005;6.4;6.2;216.0
42;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2000;11.6;11.5;243.0
43;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2001;7.2;7.0;347.0
44;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2002;8.8;8.5;272.0
45;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2003;13.8;13.4;126.0
46;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2004;8.1;7.8;116.0
47;Mannen + Vrouwen;Alle leeftijden;1.7.1  Meningokokkemie;2005;10.9;10.8;72.0
48;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2000;27.3;26.8;167.0
49;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2001;18.0;17.6;188.0
50;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2002;14.5;14.2;172.0
51;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2003;23.0;22.7;174.0
52;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2004;12.4;12.1;215.0
53;Mannen + Vrouwen;Alle leeftijden;1.8  AIDS en HIV-infectie;2005;17.8;17.5;194.0
54;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2000;0.9;0.7;1920.0
55;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2001;1.1;0.9;1766.0
56;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2002;0.9;0.6;1786.0
57;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2003;1.2;0.9;1883.0
58;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2004;1.1;0.9;1812.0
59;Mannen + Vrouwen;Alle leeftijden;1.9  SOA totaal uitgez.HIV en hepatitis;2005;0.9;0.7;1696.0
60;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2000;7.3;6.6;314.0
61;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2001;6.3;5.5;318.0
62;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2002;5.9;5.3;330.0
63;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2003;4.1;3.5;434.0
64;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2004;2.8;2.3;409.0
65;Mannen + Vrouwen;Alle leeftijden;1.10  Hepatitis A-G (viraal);2005;3.8;3.3;413.0
66;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2000;8.1;7.7;116.0
67;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2001;13.9;13.2;114.0
68;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2002;5.8;5.2;111.0
69;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2003;5.0;4.6;151.0
70;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2004;4.4;3.9;97.0
71;Mannen + Vrouwen;Alle leeftijden;1.10.2  Hepatitis B;2005;2.6;2.3;142.0
72;Mannen + Vrouwen;Alle leeftijden;2  Nieuwvormingen;2000;21.9;19.3;88505.0
73;Mannen + Vrouwen;Alle leeftijden;2  Nieuwvormingen;2001;21.8;19.3;90356.0
74;Mannen + Vrouwen;Alle leeftijden;2  Nieuwvormingen;2002;21.2;18.8;94171.0
75;Mannen + Vrouwen;Alle leeftijden;2  Nieuwvormingen;2003;20.3;17.8;98812.0
76;Mannen + Vrouwen;Alle leeftijden;2  Nieuwvormingen;2004;19.3;17.0;105965.0
