ID;Geslacht;Diplomasoort;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalGediplomeerden_1;StudieduurInMaanden_2
0;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;1995/'96;20438;72.0
1;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;1996/'97;18510;72.0
2;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;1997/'98;16335;72.0
3;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;1998/'99;15228;72.0
4;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;1999/'00;15064;72.0
5;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2000/'01;14961;72.0
6;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2001/'02;15253;73.0
7;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2002/'03;15346;73.0
8;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2003/'04;15779;74.0
9;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2004/'05;16803;75.0
10;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2005/'06;18330;76.0
11;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2006/'07;19044;78.0
12;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2007/'08;16876;76.0
13;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2008/'09;17103;76.0
14;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2009/'10;17670;77.0
15;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2010/'11;18667;76.0
16;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Totaal opleidingsvorm;2011/'12;20390;76.0
