ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesBuitenland_1;SeizoenrecreatieveLogiesvormen_2;ToeristischeLogiesvormen_3;TLWoningFamilieVriendenKennissen_4;TLWoningVanAndereParticulier_5;TLHotel_6;TLAppartement_7;TLZomerhuisjeBungalow_8;TLTent_9;TLCaravanVouwwagen_10;OverigeToeristischeLogiesvormen_11
0;10;2002;13173.0;600.0;12573.0;1275.0;550.0;3590.0;1935.0;1733.0;1267.0;1517.0;707.0
1;10;2003;13007.0;466.0;12541.0;1086.0;601.0;3903.0;2091.0;1610.0;1041.0;1448.0;760.0
2;10;2004;13610.0;435.0;13175.0;1209.0;513.0;4484.0;1986.0;1641.0;1041.0;1511.0;790.0
3;10;2005;13795.0;454.0;13341.0;1219.0;626.0;4841.0;1886.0;1613.0;888.0;1596.0;672.0
4;10;2006;13518.0;562.0;12956.0;1112.0;611.0;4680.0;1893.0;1568.0;870.0;1542.0;679.0
5;10;2007;13894.0;601.0;13293.0;1162.0;635.0;4847.0;1810.0;1640.0;933.0;1541.0;724.0
6;10;2008;15094.0;696.0;14398.0;1272.0;738.0;5389.0;1940.0;1743.0;853.0;1711.0;753.0
7;10;2009;14592.0;825.0;13767.0;1113.0;719.0;4908.0;2012.0;1691.0;820.0;1750.0;753.0
8;10;2010;14806.0;786.0;14020.0;1228.0;767.0;5187.0;1886.0;1573.0;873.0;1707.0;800.0
9;10;2011;14858.0;757.0;14102.0;1078.0;673.0;5242.0;1927.0;1911.0;819.0;1744.0;708.0
10;10;2012;14844.0;802.0;14041.0;1011.0;828.0;5208.0;1988.0;1841.0;706.0;1627.0;833.0
11;10;2013;14448.0;816.0;13631.0;935.0;890.0;4932.0;1797.0;1722.0;787.0;1776.0;794.0
12;10;2014;14422.0;763.0;13660.0;832.0;936.0;5033.0;1943.0;1687.0;784.0;1693.0;753.0
13;10;2015;14392.0;705.0;13687.0;913.0;993.0;5275.0;1785.0;1622.0;719.0;1618.0;761.0
14;10;2016;14335.0;804.0;13531.0;996.0;1035.0;5009.0;1548.0;1839.0;744.0;1650.0;710.0
15;België;2002;965.0;113.0;852.0;54.0;37.0;57.0;22.0;467.0;71.0;114.0;30.0
16;België;2003;1040.0;95.0;946.0;59.0;82.0;113.0;48.0;436.0;59.0;108.0;41.0
17;België;2004;1053.0;152.0;902.0;94.0;50.0;93.0;37.0;429.0;40.0;129.0;31.0
18;België;2005;984.0;94.0;890.0;72.0;61.0;159.0;35.0;376.0;39.0;116.0;32.0
19;België;2006;896.0;103.0;793.0;64.0;73.0;106.0;22.0;375.0;29.0;90.0;31.0
20;België;2007;924.0;114.0;811.0;58.0;44.0;74.0;18.0;421.0;58.0;111.0;27.0
21;België;2008;968.0;91.0;877.0;70.0;114.0;123.0;29.0;385.0;33.0;83.0;40.0
22;België;2009;889.0;83.0;806.0;43.0;74.0;71.0;36.0;377.0;48.0;124.0;32.0
23;België;2010;829.0;84.0;745.0;37.0;72.0;82.0;30.0;350.0;39.0;99.0;36.0
24;België;2011;863.0;105.0;758.0;30.0;62.0;77.0;26.0;389.0;43.0;107.0;24.0
25;België;2012;774.0;93.0;681.0;30.0;63.0;77.0;21.0;309.0;53.0;97.0;30.0
26;België;2013;787.0;145.0;642.0;36.0;79.0;40.0;20.0;251.0;72.0;116.0;28.0
27;België;2014;646.0;103.0;543.0;34.0;80.0;50.0;20.0;212.0;44.0;87.0;16.0
28;België;2015;582.0;56.0;526.0;30.0;103.0;54.0;9.0;205.0;41.0;64.0;20.0
29;België;2016;613.0;42.0;570.0;33.0;79.0;61.0;12.0;266.0;39.0;75.0;6.0
30;Luxemburg;2002;238.0;9.0;229.0;0.0;7.0;26.0;1.0;34.0;56.0;94.0;11.0
31;Luxemburg;2003;161.0;16.0;144.0;4.0;4.0;27.0;2.0;14.0;31.0;53.0;8.0
