ID;Vakantiekenmerken;Perioden;Totaal_1;Auto_2;TreinAutoslaaptrein_3;Touringcar_4;Vliegtuig_5;OverigeVervoermiddelen_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11
0;10;2002;13173.0;7617.0;352.0;838.0;3926.0;440.0;2296.0;838.0;3874.0;593.0;5572.0
1;10;2003;13007.0;7253.0;307.0;844.0;4290.0;312.0;2399.0;838.0;4257.0;528.0;4985.0
2;10;2004;13610.0;7443.0;351.0;732.0;4768.0;316.0;2958.0;732.0;4738.0;595.0;4588.0
3;10;2005;13795.0;7280.0;342.0;727.0;5111.0;335.0;2893.0;724.0;5067.0;544.0;4567.0
4;10;2006;13518.0;7295.0;283.0;699.0;4932.0;310.0;2954.0;692.0;4883.0;494.0;4497.0
5;10;2007;13894.0;7242.0;321.0;778.0;5257.0;295.0;3079.0;776.0;5198.0;494.0;4346.0
6;10;2008;15094.0;7671.0;429.0;808.0;5899.0;286.0;3049.0;799.0;5806.0;587.0;4853.0
7;10;2009;14592.0;7791.0;353.0;698.0;5436.0;315.0;3206.0;698.0;5321.0;577.0;4791.0
8;10;2010;14806.0;7789.0;360.0;618.0;5693.0;346.0;3193.0;618.0;5563.0;569.0;4863.0
9;10;2011;14858.0;7527.0;389.0;593.0;5957.0;393.0;3446.0;592.0;5892.0;658.0;4270.0
10;10;2012;14844.0;7676.0;291.0;497.0;6054.0;326.0;3468.0;497.0;5956.0;568.0;4355.0
11;10;2013;14448.0;7493.0;295.0;480.0;5826.0;354.0;3311.0;476.0;5712.0;547.0;4400.0
12;10;2014;14422.0;7130.0;279.0;461.0;6208.0;345.0;3196.0;461.0;6079.0;556.0;4131.0
13;10;2015;14392.0;7091.0;278.0;479.0;6251.0;294.0;3510.0;479.0;6126.0;482.0;3796.0
14;10;2016;14335.0;7427.0;197.0;444.0;5974.0;293.0;3681.0;442.0;5824.0;394.0;3993.0
15;België;2002;965.0;911.0;29.0;6.0;0.0;19.0;343.0;6.0;0.0;38.0;577.0
16;België;2003;1040.0;984.0;21.0;20.0;0.0;15.0;392.0;20.0;0.0;19.0;609.0
17;België;2004;1053.0;1018.0;17.0;8.0;0.0;11.0;430.0;8.0;0.0;21.0;595.0
18;België;2005;984.0;920.0;35.0;14.0;0.0;15.0;375.0;14.0;0.0;24.0;570.0
