ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;TotaleBevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2006;16334210.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2006;16334715.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2006;16335459.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2006;16334090.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2006;16333559.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2006;16334600.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2006;16336676.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2006;16337253.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2006;16342333.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2006;16348917.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2006;16352678.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2006;16352972.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2007;16357992.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2007;16359133.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2007;16362938.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2007;16365065.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2007;16367596.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2007;16371278.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2007;16374541.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2007;16377339.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2007;16383275.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2007;16393843.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2007;16399139.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2007;16401009.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2008;16405399.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2008;16409106.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2008;16414307.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2008;16418055.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2008;16423337.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2008;16428686.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2008;16434935.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2008;16440451.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2008;16449094.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2008;16464867.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2008;16473836.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2008;16480021.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2009;16485787.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2009;16489042.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2009;16495231.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2009;16501683.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2009;16506782.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2009;16513615.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2009;16520661.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2009;16528400.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2009;16538542.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2009;16554596.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2009;16562317.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2009;16568499.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2010;16574989.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2010;16578604.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2010;16585167.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2010;16588947.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2010;16593973.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2010;16599333.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2010;16606135.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2010;16611675.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2010;16624215.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2010;16638805.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2010;16648268.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2010;16654119.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2011;16655799.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2011;16661142.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2011;16669012.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 april 2011;16673931.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 mei 2011;16676905.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juni 2011;16681513.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 juli 2011;16686550.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 augustus 2011;16690580.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 september 2011;16703472.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 oktober 2011;16719078.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 november 2011;16725328.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 december 2011;16729674.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 januari 2012;16730348.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 februari 2012;16731280.0
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 maart 2012;16735690.0
