ID;Perioden;NederlandHICP_1;EurozoneMUICP_2;EuropeseUnieEICP_3;JaarmutatieHICP_4;JaarmutatieMUICP_5;JaarmutatieEICP_6
0;1996 januari;79.39;83.67;83.87;;;
1;1996 februari;79.79;84.09;84.23;;;
2;1996 maart;80.76;84.35;84.61;;;
3;1996 april;81.0;84.52;84.82;;;
4;1996 mei;80.68;84.69;85.04;;;
5;1996 juni;80.27;84.69;85.06;;;
6;1996 juli;80.03;84.69;84.93;;;
7;1996 augustus;79.87;84.69;84.98;;;
8;1996 september;80.76;84.86;85.23;;;
9;1996 oktober;81.0;84.94;85.3;;;
10;1996 november;80.84;84.94;85.33;;;
11;1996 december;80.76;85.11;85.55;;;
12;1996;80.43;84.6;84.91;;;
13;1997 januari;80.76;85.36;85.7;1.7;2.0;2.2
14;1997 februari;80.92;85.62;85.88;1.4;1.8;2.0
15;1997 maart;81.72;85.7;86.04;1.2;1.6;1.7
16;1997 april;81.8;85.62;86.07;1.0;1.3;1.5
17;1997 mei;81.96;85.87;86.31;1.6;1.4;1.5
18;1997 juni;81.48;85.87;86.38;1.5;1.4;1.6
19;1997 juli;81.56;85.96;86.35;1.9;1.5;1.7
20;1997 augustus;81.88;86.13;86.55;2.5;1.7;1.8
21;1997 september;82.77;86.21;86.7;2.5;1.6;1.7
22;1997 oktober;82.85;86.21;86.74;2.3;1.5;1.7
23;1997 november;82.85;86.29;86.85;2.5;1.6;1.8
24;1997 december;82.53;86.38;86.95;2.2;1.5;1.6
25;1997;81.92;85.94;86.38;1.9;1.6;1.7
26;1998 januari;82.04;86.29;86.8;1.6;1.1;1.3
27;1998 februari;82.61;86.55;87.01;2.1;1.1;1.3
28;1998 maart;83.49;86.63;87.17;2.2;1.1;1.3
29;1998 april;83.81;86.8;87.43;2.5;1.4;1.6
30;1998 mei;83.65;86.97;87.66;2.1;1.3;1.6
31;1998 juni;83.25;87.06;87.68;2.2;1.4;1.5
32;1998 juli;83.01;87.06;87.59;1.8;1.3;1.4
33;1998 augustus;83.01;87.06;87.65;1.4;1.1;1.3
34;1998 september;83.81;87.06;87.72;1.3;1.0;1.2
35;1998 oktober;84.05;86.97;87.7;1.4;0.9;1.1
36;1998 november;84.05;86.97;87.71;1.4;0.8;1.0
37;1998 december;83.73;87.06;87.8;1.5;0.8;1.0
38;1998;83.38;86.87;87.49;1.8;1.1;1.3
39;1999 januari;83.73;86.97;87.62;2.1;0.8;0.9
40;1999 februari;84.3;87.23;87.84;2.0;0.8;1.0
41;1999 maart;85.18;87.48;88.17;2.0;1.0;1.1
42;1999 april;85.42;87.73;88.47;1.9;1.1;1.2
43;1999 mei;85.42;87.82;88.58;2.1;1.0;1.0
44;1999 juni;85.02;87.82;88.57;2.1;0.9;1.0
45;1999 juli;84.54;87.99;88.55;1.8;1.1;1.1
