ID;Bedrijfsgroep;Positie;Geslacht;Leeftijd;BurgerlijkeStaat;Personen_1
0;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;730960.0
1;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;101109.0
2;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;629851.0
3;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;6.0
4;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;6.0
5;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
6;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;1536.0
7;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;1528.0
8;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;8.0
9;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;2833.0
10;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;2712.0
11;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;121.0
12;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;2290.0
13;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;20 jaar;Ongehuwd;2046.0
14;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;244.0
15;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;22260.0
16;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;14562.0
17;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;7698.0
18;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;62984.0
19;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;18233.0
20;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;44751.0
21;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;174220.0
22;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;19648.0
23;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;154572.0
24;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;183747.0
25;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;16690.0
26;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;167057.0
27;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;159066.0
28;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;14811.0
29;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;144255.0
30;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;55176.0
31;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;5022.0
32;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;50154.0
33;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;36518.0
34;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;3315.0
35;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;33203.0
36;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;30324.0
37;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;2536.0
38;3;Totaal van posities A, B en C;Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;27788.0
39;3;Totaal van posities A, B en C;Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;608754.0
40;3;Totaal van posities A, B en C;Mannen;Totaal van alle leeftijden;Ongehuwd;74942.0
41;3;Totaal van posities A, B en C;Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;533812.0
42;3;Totaal van posities A, B en C;Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;6.0
43;3;Totaal van posities A, B en C;Mannen;Beneden 14 jaar;Ongehuwd;6.0
44;3;Totaal van posities A, B en C;Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
45;3;Totaal van posities A, B en C;Mannen;14-17 jaar;Totaal alle burgerlijke staten;1095.0
