ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
0;Australië;1990;223.0;2.89;11.8;15.3;36.4;27.5;36.1;;;;2.6;0.2;-2.4;24.8;11.6;-13.2
1;Australië;1991;226.0;3.1;10.1;17.3;36.7;26.9;36.5;;;;0.8;;;24.7;10.8;-13.9
2;Australië;1992;221.0;3.37;9.7;18.6;36.9;24.1;39.0;;;;1.5;1.2;-0.3;24.4;11.8;-12.6
3;Australië;1993;216.0;3.69;9.5;18.6;41.1;20.5;38.4;;;;1.7;0.8;-0.9;27.6;14.3;-13.3
4;Australië;1994;212.0;4.1;10.3;18.8;43.8;20.8;35.4;;;;1.2;0.5;-0.7;27.9;14.8;-13.1
5;Australië;1995;208.0;4.49;11.2;19.1;42.5;24.0;33.5;;;;3.4;1.1;-2.3;28.3;15.4;-12.9
6;Australië;1996;206.0;5.09;12.4;19.9;38.5;27.7;33.9;;;;1.1;1.2;0.1;28.2;16.8;-11.3
7;Australië;1997;205.0;5.92;12.9;21.1;41.6;25.9;32.6;;;;1.9;1.4;-0.5;24.3;17.8;-6.6
8;Australië;1998;202.0;6.89;12.6;21.0;40.7;25.0;34.2;;;;2.0;1.2;-0.8;29.0;22.1;-6.8
9;Australië;1999;201.0;8.28;12.7;22.6;38.0;26.0;36.0;;;;0.6;0.1;-0.5;29.8;23.2;-6.6
10;Australië;2000;202.0;9.46;12.3;24.8;35.5;25.0;39.5;;;;3.8;1.0;-2.8;29.0;23.4;-5.6
11;Australië;2001;202.0;10.55;11.8;23.7;36.7;23.9;39.3;;;;2.8;3.5;0.7;31.2;31.3;0.1
12;Australië;2002;206.0;12.29;12.9;21.2;40.2;18.0;41.8;;;;3.5;1.7;-1.7;34.5;29.6;-4.9
13;Australië;2003;210.0;14.56;14.3;21.0;38.7;22.1;39.3;;;;1.7;3.3;1.6;38.4;33.0;-5.4
