ID;Geslacht;Herkomstgroepering;Immigratiemotief;Immigrantencohort;Woongemeente;Perioden;AantalAllochtoneImmigrantenTotaal_1;PersonenMetWerkOfUitkeringTotaal_2;WerkzamePersonen_3;PersonenMetEenUitkering_4
0;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;1999, vrijdag 24 september;74.8;38.0;29.9;9.6
1;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2000, vrijdag 29 september;66.6;50.2;39.7;12.6
2;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2001, vrijdag 28 september;61.2;56.9;43.5;15.7
3;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2002, vrijdag 27 september;56.3;61.7;46.5;18.0
4;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2003, vrijdag 26 september;52.6;65.5;47.2;21.2
5;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2004, vrijdag 24 september;49.4;67.3;46.7;23.5
6;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2005, vrijdag 30 september;46.4;69.3;47.9;24.7
7;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Nederland;2006, vrijdag 29 september;43.4;72.6;52.2;25.0
8;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;1999, vrijdag 24 september;0.4;34.2;26.9;8.5
9;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2000, vrijdag 29 september;0.4;48.6;38.2;12.1
10;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2001, vrijdag 28 september;0.3;55.8;42.7;15.5
11;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2002, vrijdag 27 september;0.3;58.7;45.2;16.9
12;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2003, vrijdag 26 september;0.3;64.7;48.1;19.2
13;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2004, vrijdag 24 september;0.3;70.1;52.7;20.5
14;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2005, vrijdag 30 september;0.3;72.1;52.2;23.9
15;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Alkmaar;2006, vrijdag 29 september;0.2;76.7;55.8;24.5
16;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;1999, vrijdag 24 september;0.3;32.2;19.9;13.3
17;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2000, vrijdag 29 september;0.3;49.8;35.0;16.7
18;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2001, vrijdag 28 september;0.2;63.1;44.7;21.7
19;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2002, vrijdag 27 september;0.2;68.7;44.5;28.9
20;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2003, vrijdag 26 september;0.2;73.1;44.9;34.3
21;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2004, vrijdag 24 september;0.2;73.1;38.7;38.7
22;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2005, vrijdag 30 september;0.2;80.0;40.0;41.0
23;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almelo;2006, vrijdag 29 september;0.2;81.7;47.1;41.4
24;Totaal mannen en vrouwen;0;Totaal immigratiemotieven;Allochtone immigranten, cohort 1999;Almere;1999, vrijdag 24 september;0.8;47.3;39.3;9.7
