ID;Geslacht;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na1Jaar_23;Na2Jaar_24;Na3Jaar_25;Na4Jaar_26;Na5Jaar_27;Na6Jaar_28;Na7Jaar_29;Na8Jaar_30;InJaar2_31;InJaar3_32;InJaar4_33;InJaar5_34;InJaar6_35;InJaar7_36;InJaar8_37;InJaar9_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54
0;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 1995;64822.0;6.0;41.0;57.0;64.0;67.0;69.0;70.0;6.0;40.0;57.0;63.0;66.0;67.0;68.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;15.0;20.0;22.0;23.0;25.0;26.0;26.0;26.0;84.0;78.0;72.0;36.0;18.0;10.0;7.0;5.0;82.0;75.0;69.0;33.0;15.0;9.0;5.0;4.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
1;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 1996;69876.0;8.0;41.0;57.0;64.0;67.0;69.0;70.0;8.0;41.0;57.0;63.0;66.0;68.0;69.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;15.0;19.0;22.0;24.0;25.0;25.0;26.0;26.0;84.0;77.0;70.0;35.0;18.0;11.0;7.0;5.0;82.0;75.0;68.0;33.0;16.0;9.0;6.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0
2;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 1997;70048.0;8.0;41.0;57.0;63.0;67.0;69.0;70.0;8.0;41.0;56.0;63.0;66.0;67.0;68.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;16.0;20.0;23.0;24.0;25.0;25.0;25.0;26.0;83.0;77.0;70.0;35.0;19.0;12.0;8.0;5.0;81.0;75.0;67.0;33.0;16.0;10.0;6.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
3;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 1998;73891.0;9.0;42.0;56.0;63.0;66.0;69.0;70.0;9.0;42.0;56.0;62.0;65.0;67.0;68.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;16.0;22.0;23.0;24.0;25.0;25.0;26.0;26.0;83.0;75.0;67.0;34.0;19.0;12.0;8.0;5.0;81.0;73.0;64.0;31.0;16.0;10.0;6.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0
4;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 1999;80607.0;10.0;41.0;55.0;62.0;66.0;68.0;69.0;10.0;41.0;55.0;61.0;64.0;66.0;67.0;0.0;0.0;0.0;1.0;2.0;2.0;2.0;18.0;23.0;24.0;25.0;25.0;26.0;26.0;27.0;81.0;74.0;65.0;34.0;19.0;12.0;8.0;5.0;79.0;71.0;62.0;31.0;17.0;10.0;7.0;5.0;2.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0
5;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2000;82534.0;11.0;41.0;55.0;62.0;65.0;68.0;69.0;10.0;40.0;54.0;60.0;63.0;65.0;67.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;18.0;23.0;24.0;24.0;25.0;25.0;26.0;26.0;81.0;74.0;66.0;35.0;20.0;13.0;9.0;6.0;79.0;71.0;62.0;32.0;17.0;11.0;7.0;5.0;2.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0
6;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2001;81464.0;12.0;41.0;56.0;62.0;66.0;68.0;70.0;12.0;41.0;55.0;61.0;64.0;66.0;67.0;0.0;0.0;1.0;2.0;2.0;2.0;3.0;19.0;23.0;24.0;24.0;25.0;26.0;26.0;26.0;80.0;74.0;64.0;34.0;19.0;12.0;8.0;6.0;78.0;71.0;61.0;31.0;17.0;11.0;7.0;5.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
7;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2002;79476.0;12.0;42.0;57.0;64.0;68.0;70.0;71.0;11.0;42.0;56.0;62.0;66.0;68.0;69.0;0.0;0.0;1.0;2.0;2.0;2.0;3.0;15.0;19.0;21.0;22.0;23.0;23.0;24.0;24.0;84.0;77.0;67.0;36.0;20.0;13.0;9.0;6.0;82.0;74.0;64.0;33.0;18.0;11.0;8.0;5.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
8;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2003;84915.0;12.0;42.0;57.0;64.0;68.0;70.0;72.0;11.0;42.0;56.0;62.0;66.0;68.0;69.0;0.0;0.0;1.0;2.0;2.0;2.0;3.0;15.0;19.0;21.0;22.0;23.0;23.0;23.0;24.0;84.0;77.0;68.0;36.0;20.0;13.0;9.0;6.0;82.0;75.0;65.0;33.0;18.0;12.0;8.0;5.0;2.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0
9;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2004;86942.0;10.0;40.0;55.0;63.0;67.0;70.0;71.0;10.0;39.0;54.0;61.0;65.0;67.0;68.0;0.0;1.0;1.0;2.0;2.0;2.0;3.0;15.0;19.0;21.0;22.0;22.0;23.0;24.0;25.0;84.0;78.0;69.0;38.0;22.0;14.0;10.0;6.0;82.0;75.0;66.0;35.0;20.0;13.0;9.0;5.0;2.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0
10;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2005;87535.0;9.0;38.0;54.0;62.0;66.0;68.0;;9.0;38.0;53.0;60.0;64.0;66.0;;0.0;1.0;1.0;2.0;2.0;3.0;;15.0;20.0;22.0;22.0;23.0;24.0;25.0;25.0;84.0;78.0;69.0;39.0;23.0;15.0;9.0;6.0;82.0;75.0;66.0;37.0;21.0;13.0;8.0;6.0;2.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0
11;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2006;90255.0;8.0;36.0;52.0;60.0;64.0;;;8.0;36.0;50.0;58.0;61.0;;;0.0;1.0;1.0;2.0;2.0;;;17.0;22.0;23.0;24.0;24.0;26.0;26.0;;82.0;76.0;69.0;40.0;24.0;14.0;10.0;;80.0;74.0;66.0;38.0;22.0;13.0;9.0;;2.0;3.0;3.0;3.0;2.0;1.0;1.0;
12;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2007;91720.0;8.0;35.0;52.0;59.0;;;;8.0;35.0;50.0;57.0;;;;0.0;1.0;1.0;2.0;;;;17.0;21.0;22.0;23.0;24.0;25.0;;;82.0;78.0;70.0;42.0;24.0;16.0;;;80.0;75.0;67.0;39.0;22.0;15.0;;;2.0;3.0;3.0;3.0;2.0;1.0;;
13;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2008;93735.0;7.0;35.0;50.0;;;;;7.0;34.0;49.0;;;;;0.0;1.0;1.0;;;;;15.0;19.0;21.0;22.0;23.0;;;;85.0;79.0;72.0;43.0;26.0;;;;83.0;76.0;69.0;41.0;25.0;;;;2.0;3.0;3.0;2.0;2.0;;;
14;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2009;98915.0;7.0;31.0;;;;;;7.0;31.0;;;;;;0.0;1.0;;;;;;15.0;20.0;22.0;23.0;;;;;85.0;78.0;71.0;45.0;;;;;83.0;75.0;68.0;43.0;;;;;2.0;3.0;3.0;3.0;;;;
15;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2010;98364.0;6.0;;;;;;;6.0;;;;;;;0.0;;;;;;;15.0;21.0;22.0;;;;;;84.0;78.0;72.0;;;;;;82.0;75.0;69.0;;;;;;2.0;3.0;3.0;;;;;
16;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2011;96241.0;;;;;;;;;;;;;;;;;;;;;;16.0;20.0;;;;;;;83.0;78.0;;;;;;;81.0;75.0;;;;;;;2.0;3.0;;;;;;
17;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Totaal opleidingsvorm;Startjaar 2012;94462.0;;;;;;;;;;;;;;;;;;;;;;15.0;;;;;;;;85.0;;;;;;;;82.0;;;;;;;;2.0;;;;;;;
18;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 1995;57951.0;4.0;41.0;58.0;65.0;68.0;70.0;72.0;4.0;41.0;58.0;64.0;67.0;69.0;70.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;20.0;22.0;23.0;24.0;25.0;25.0;85.0;80.0;75.0;38.0;18.0;11.0;7.0;5.0;83.0;77.0;73.0;35.0;16.0;9.0;5.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
19;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 1996;61995.0;6.0;42.0;58.0;65.0;69.0;71.0;72.0;6.0;42.0;58.0;65.0;68.0;69.0;70.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;20.0;22.0;23.0;23.0;24.0;24.0;85.0;80.0;74.0;37.0;19.0;11.0;8.0;5.0;83.0;77.0;71.0;34.0;17.0;9.0;6.0;4.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
20;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 1997;61806.0;6.0;41.0;58.0;65.0;69.0;71.0;72.0;6.0;41.0;58.0;64.0;67.0;69.0;70.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;21.0;22.0;22.0;23.0;23.0;24.0;85.0;80.0;73.0;37.0;20.0;12.0;8.0;6.0;83.0;77.0;70.0;34.0;17.0;10.0;6.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
21;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 1998;63442.0;7.0;42.0;57.0;64.0;69.0;71.0;72.0;7.0;42.0;57.0;64.0;67.0;69.0;70.0;0.0;0.0;0.0;1.0;2.0;2.0;2.0;15.0;20.0;21.0;22.0;22.0;22.0;23.0;24.0;84.0;78.0;72.0;36.0;20.0;13.0;8.0;6.0;82.0;75.0;68.0;33.0;17.0;11.0;7.0;5.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
22;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 1999;68461.0;8.0;42.0;57.0;64.0;68.0;71.0;72.0;8.0;42.0;57.0;63.0;67.0;68.0;70.0;0.0;0.0;0.0;1.0;2.0;2.0;3.0;16.0;20.0;21.0;22.0;22.0;23.0;23.0;23.0;83.0;78.0;70.0;37.0;21.0;13.0;9.0;6.0;81.0;74.0;67.0;33.0;18.0;11.0;7.0;5.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
23;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2000;69593.0;8.0;41.0;56.0;64.0;68.0;71.0;72.0;8.0;41.0;56.0;62.0;66.0;68.0;69.0;0.0;0.0;1.0;2.0;2.0;3.0;3.0;16.0;20.0;21.0;21.0;22.0;22.0;23.0;23.0;83.0;78.0;71.0;38.0;22.0;14.0;9.0;6.0;81.0;74.0;67.0;34.0;19.0;12.0;8.0;5.0;2.0;4.0;4.0;4.0;3.0;2.0;1.0;1.0
