ID;Geslacht;Herkomstgroepering;Opleidingsfase;Opleidingsvorm;Perioden;TotaalGeslaagden_1;StudieduurInMaanden_2
0;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1995;49260.0;53.0
1;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1996;48640.0;52.0
2;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1997;48290.0;52.0
3;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1998;48280.0;52.0
4;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1999;50070.0;51.0
5;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2000;50830.0;51.0
6;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2001;53800.0;51.0
7;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2002;56080.0;51.0
8;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2003;57800.0;51.0
9;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2004;57440.0;52.0
10;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1995;42170.0;54.0
11;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1996;41950.0;53.0
12;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1997;41780.0;52.0
13;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1998;41770.0;52.0
14;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1999;43200.0;51.0
15;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2000;43010.0;51.0
16;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2001;44970.0;50.0
17;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2002;46450.0;50.0
18;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2003;47590.0;51.0
19;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2004;46700.0;51.0
20;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1995;7090.0;50.0
21;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1996;6690.0;51.0
