ID;Balansposten;StandPer31December_1
0;Activa;5599.8
1;Vaste activa;2241.9
2;Immateriële vaste activa;23.1
3;Materiële vaste activa;1044.5
4;Gronden en terreinen;
5;Bedrijfsgebouwen;
6;Grond-, weg- en waterbouwkundige werken;
7;Overige materiële vaste activa;
8;Financiële vaste activa;1174.4
9;Kapitaalverstrekking aan deelnemingen;145.9
10;Leningen aan woningbouwcorporaties;
11;Bijdr. aan activa in eigendom van derden;3.2
12;Overige financiële vaste activa;1025.3
13;Vlottende Activa;3357.8
14;Voorraden;84.8
15;Niet in exploitatie bouwgronden;
16;Onderh. werk (incl bouwgronden in expl.);
17;Overige voorraden;
18;Uitzettingen;1559.6
19;Vorderingen op openb. lich. & ov. vord.;1294.3
20;Verstrekte kasgeldleningen;31.7
21;Rek. courant verh. niet-financiële inst.;118.5
22;Overige uitzettingen;115.0
23;Liquide middelen (kas, bank en giro);1224.9
24;Overlopende activa;488.5
25;Passiva;5598.4
26;Vaste passiva;4277.2
27;Eigen vermogen;1334.9
28;Algemene reserve;
29;Bestemmingsreserves;
30;Saldo van rekening;
31;Voorzieningen;2004.0
32;Vaste schuld;938.3
33;Leningen binnenl. banken en fin. inst.;
34;Overige vaste schuld;
35;Vlottende Passiva;1321.2
36;Vlottende schuld;1122.3
37;Kasgeldleningen o/g;35.9
38;Bank- en girosaldi;124.4
39;Overige vlottende schuld;962.0
40;Overlopende passiva;198.9
