ID;Beleggingen;Perioden;GemiddeldBelegdBedrag_1;NettoDirecteOpbrengsten_2;NettoDirectRendement_3
0;Alle beleggingen;2000;30386;1626;5.4
1;Alle beleggingen;2001;28784;1498;5.2
2;Alle beleggingen;2002;29526;1428;4.8
3;Alle beleggingen;2003;28895;1396;4.8
4;Alle beleggingen;2004;31851;1454;4.6
5;Alle beleggingen;2005;35935;1725;4.8
6;Alle beleggingen;2006;42456;1694;4.0
7;Alle beleggingen;2007;37007;1416;3.8
8;Alle beleggingen;2008;42695;1608;3.8
9;Alle beleggingen;2009;46794;1854;4.0
10;Alle beleggingen;2010;48385;1366;2.8
11;Alle beleggingen;2011;48558;1418;2.9
12;Alle beleggingen;2012;52108;1584;3.0
13;Alle beleggingen;2013;56318;1646;2.9
14;Alle beleggingen;2014;56867;1231;2.2
15;Alle beleggingen;2015;55194;1244;2.3
16;Onroerende zaken;2000;364;22;6.0
17;Onroerende zaken;2001;338;18;5.4
18;Onroerende zaken;2002;383;22;5.7
19;Onroerende zaken;2003;347;19;5.5
20;Onroerende zaken;2004;360;16;4.4
21;Onroerende zaken;2005;337;17;4.9
22;Onroerende zaken;2006;399;16;4.0
23;Onroerende zaken;2007;421;11;2.7
24;Onroerende zaken;2008;512;10;2.0
25;Onroerende zaken;2009;501;16;3.1
26;Onroerende zaken;2010;346;15;4.3
27;Onroerende zaken;2011;231;12;5.2
28;Onroerende zaken;2012;216;9;4.2
29;Onroerende zaken;2013;197;8;4.1
30;Onroerende zaken;2014;167;7;4.2
31;Onroerende zaken;2015;163;-2;-1.2
32;Niet-geconsolideerde deelnemingen;2000;2015;92;4.6
33;Niet-geconsolideerde deelnemingen;2001;1510;69;4.6
34;Niet-geconsolideerde deelnemingen;2002;1717;81;4.7
35;Niet-geconsolideerde deelnemingen;2003;1648;111;6.7
36;Niet-geconsolideerde deelnemingen;2004;1824;111;6.1
37;Niet-geconsolideerde deelnemingen;2005;2199;174;7.9
38;Niet-geconsolideerde deelnemingen;2006;2887;156;5.4
39;Niet-geconsolideerde deelnemingen;2007;2656;128;4.8
40;Niet-geconsolideerde deelnemingen;2008;3260;-53;-1.6
41;Niet-geconsolideerde deelnemingen;2009;3372;443;13.2
42;Niet-geconsolideerde deelnemingen;2010;4767;234;4.9
43;Niet-geconsolideerde deelnemingen;2011;6033;299;5.0
44;Niet-geconsolideerde deelnemingen;2012;6910;591;8.6
45;Niet-geconsolideerde deelnemingen;2013;8072;729;9.0
46;Niet-geconsolideerde deelnemingen;2014;8295;474;5.7
47;Niet-geconsolideerde deelnemingen;2015;8343;577;6.9
48;Aandelen;2000;8129;313;3.9
49;Aandelen;2001;6650;268;4.0
50;Aandelen;2002;5443;111;2.0
51;Aandelen;2003;4177;192;4.6
52;Aandelen;2004;4540;189;4.2
53;Aandelen;2005;5635;337;6.0
54;Aandelen;2006;6948;283;4.1
55;Aandelen;2007;7992;224;2.8
