ID;TotaalPremies;Perioden;TotaalBedrijf_1;TotaalDirectBedrijf_2;ZonderWinstdeling_3;MetWinstdeling_4;ZonderWinstdeling_5;MetWinstdeling_6;ZonderWinstdeling_7;MetWinstdeling_8;ZonderWinstdeling_9;MetWinstdeling_10;TotaalIndirectBedrijf_11;TotaalDirectBedrijf_12;ZonderWinstdeling_13;MetWinstdeling_14;ZonderWinstdeling_15;MetWinstdeling_16;ZonderWinstdeling_17;MetWinstdeling_18;ZonderWinstdeling_19;MetWinstdeling_20;TotaalDirectBedrijf_21;ZonderWinstdeling_22;MetWinstdeling_23;ZonderWinstdeling_24;MetWinstdeling_25;ZonderWinstdeling_26;MetWinstdeling_27;ZonderWinstdeling_28;MetWinstdeling_29
0;Bruto premies;2001;25814;25437;7684;2513;149;3340;1842;4174;83;5652;377;13770;3018;2201;86;1711;473;3762;23;2496;11667;4666;312;63;1629;1369;412;60;3156
1;Bruto premies;2002;24030;23794;6065;3273;477;3036;2602;5773;131;2437;236;13663;1408;2932;32;1735;1115;5470;17;955;10131;4657;341;445;1302;1486;303;114;1482
2;Bruto premies;2003;24548;24398;6195;2764;674;3434;2621;4496;865;3349;150;13386;1385;2557;58;1793;1583;4329;40;1641;11012;4810;207;616;1641;1038;167;825;1708
3;Bruto premies;2004;25136;24979;6466;2808;591;3327;3113;4473;479;3721;158;14233;1430;2596;67;1709;1963;4285;34;2148;10745;5036;212;524;1618;1150;188;445;1573
4;Bruto premies;2005;24824;24544;6814;2763;665;3097;4192;3496;319;3198;280;13630;1671;2609;57;1579;3069;3207;35;1404;10914;5143;154;608;1519;1123;290;284;1795
5;Bruto premies;2006;25758;25651;6940;2732;660;3019;4553;3286;491;3970;107;14885;1665;2561;59;1665;3421;3035;175;2304;10766;5275;171;601;1354;1133;251;316;1665
6;Bruto premies;2007;26642;26573;7527;2505;903;3035;4497;3279;1443;3384;69;14786;1908;2430;93;1537;3585;3060;907;1265;11787;5619;75;810;1498;912;220;535;2119
7;Bruto premies;2008;26671;26613;7415;2545;855;3086;4339;3233;1779;3361;58;15775;1907;2469;80;1557;3674;3049;1428;1611;10838;5508;76;774;1529;665;184;351;1750
8;Bruto premies;2009;24576;21851;6677;2930;1136;2673;3096;2738;743;1858;2725;12867;1962;2460;97;1700;2712;2610;367;958;8983;4716;469;1039;972;384;128;376;900
9;Bruto premies;2010;21586;21535;6260;2792;1151;3252;2451;2515;896;2217;51;11930;1903;2380;118;1621;2149;2409;444;906;9604;4357;412;1032;1631;303;106;452;1311
10;Bruto premies;2011;21910;21893;5729;2352;1351;3359;2817;2138;2187;1959;17;12565;1936;2303;114;1709;2115;2067;1561;759;9328;3794;49;1236;1650;703;70;625;1200
11;Bruto premies;2012;18985;18975;5968;1788;1611;3395;1799;1549;1329;1536;10;11093;2548;1749;173;1776;1625;1493;996;733;7882;3420;39;1438;1620;174;56;333;803
12;Bruto premies;2013;18269;18272;5639;1584;1706;3291;1339;1142;2226;1345;-3;11186;2594;1548;289;1705;1171;1061;1982;836;7086;3045;36;1416;1586;168;82;244;509
13;Bruto premies;2014;17465;17460;5204;1355;1785;2829;946;1212;2462;1666;5;10956;2562;1326;415;1714;781;1098;2064;996;6504;2642;30;1370;1115;165;114;398;670
14;Bruto premies;2015;14697;14690;4784;1201;1860;2396;1001;916;1107;1425;7;9157;2467;1173;477;1564;857;833;772;1014;5533;2317;28;1383;832;144;83;335;411
15;Herverzekeringspremies;2001;841;822;254;288;13;141;36;19;0;71;19;529;61;285;13;96;26;19;0;29;293;193;3;0;45;10;0;0;42
16;Herverzekeringspremies;2002;912;881;152;305;12;97;225;35;1;54;31;419;87;234;10;41;9;26;0;12;462;64;71;3;55;217;9;1;42
17;Herverzekeringspremies;2003;794;779;156;276;12;141;111;19;2;62;15;478;101;218;9;87;34;13;3;13;302;55;58;3;54;77;6;0;49
18;Herverzekeringspremies;2004;667;653;159;288;13;86;71;14;1;23;14;455;101;222;10;35;70;6;0;11;198;58;66;4;50;1;7;1;12
19;Herverzekeringspremies;2005;663;648;162;273;11;55;101;14;1;30;15;457;102;203;8;22;100;7;0;15;191;60;70;3;33;1;8;1;16
20;Herverzekeringspremies;2006;636;628;122;305;18;42;121;2;0;18;9;466;85;214;16;23;121;2;0;4;162;37;91;2;19;0;0;0;14
21;Herverzekeringspremies;2007;702;689;233;226;22;34;159;2;0;12;13;474;100;224;20;17;106;2;0;3;215;133;2;2;17;53;0;0;8
22;Herverzekeringspremies;2008;748;737;260;266;25;40;134;2;0;10;11;550;111;264;23;24;124;2;0;2;187;148;2;2;16;10;0;0;8
23;Herverzekeringspremies;2009;1041;1021;339;199;24;26;416;7;0;10;19;840;190;197;21;17;405;7;0;2;182;148;2;3;9;11;0;0;8
24;Herverzekeringspremies;2010;1503;1493;637;274;111;160;310;1;1;0;10;1170;387;271;50;152;309;1;1;-1;323;249;3;61;8;1;0;0;1
25;Herverzekeringspremies;2011;1829;1821;686;311;113;153;376;5;166;11;8;1294;411;307;46;148;366;5;0;10;528;275;4;68;5;10;0;166;1
26;Herverzekeringspremies;2012;961;961;458;239;27;21;201;5;4;5;0;779;306;235;18;17;192;5;2;5;181;152;5;10;3;10;0;2;0
27;Herverzekeringspremies;2013;848;847;485;228;39;16;72;2;2;3;0;662;322;224;35;14;62;2;1;3;185;163;4;4;2;10;0;1;0
28;Herverzekeringspremies;2014;1821;1820;816;708;260;11;19;2;0;5;0;1504;548;704;232;10;2;2;0;5;316;267;4;28;0;17;0;0;0
29;Herverzekeringspremies;2015;887;887;465;150;19;22;19;3;206;3;0;737;338;147;17;21;3;3;205;3;150;127;3;2;1;16;0;1;0
30;Premies eigen rekening;2001;24973;24615;7430;2225;136;3199;1806;4155;83;5581;358;13241;2957;1916;73;1615;447;3743;23;2467;11374;4473;309;63;1584;1359;412;60;3114
31;Premies eigen rekening;2002;23118;22917;5928;2934;466;2943;2353;5772;131;2390;202;13263;1315;2675;20;1698;1113;5478;17;947;9654;4613;259;446;1245;1239;294;114;1443
32;Premies eigen rekening;2003;23754;23619;6039;2488;662;3293;2510;4477;863;3287;135;12908;1284;2339;49;1706;1549;4316;37;1628;10710;4755;149;613;1587;961;161;825;1659
33;Premies eigen rekening;2004;24469;24325;6307;2521;578;3241;3042;4460;479;3698;144;13778;1329;2374;57;1674;1893;4279;34;2137;10547;4978;146;520;1568;1149;181;444;1561
34;Premies eigen rekening;2005;24161;23896;6652;2490;653;3042;4091;3482;318;3168;265;13173;1569;2406;49;1556;2969;3200;35;1389;10723;5083;84;604;1486;1122;282;283;1779
35;Premies eigen rekening;2006;25122;25023;6818;2427;642;2977;4433;3283;491;3952;99;14419;1580;2347;42;1641;3300;3033;175;2301;10604;5238;80;600;1336;1133;251;316;1652
36;Premies eigen rekening;2007;25940;25884;7294;2279;881;3001;4338;3277;1442;3372;56;14312;1808;2206;72;1520;3479;3058;907;1262;11572;5486;73;809;1481;859;220;535;2111
37;Premies eigen rekening;2008;25924;25876;7155;2280;830;3046;4205;3231;1779;3350;47;15225;1795;2205;58;1533;3550;3047;1428;1609;10651;5360;74;772;1513;654;184;351;1742
38;Premies eigen rekening;2009;23536;20829;6339;2731;1112;2646;2680;2731;743;1848;2706;12028;1771;2264;76;1683;2307;2603;367;956;8802;4567;467;1036;963;373;128;376;892
39;Premies eigen rekening;2010;20083;20042;5624;2518;1040;3092;2141;2514;895;2217;41;10760;1516;2110;68;1469;1839;2408;443;907;9281;4108;409;972;1623;302;106;452;1310
40;Premies eigen rekening;2011;20080;20072;5043;2041;1238;3206;2441;2133;2022;1948;9;11271;1524;1996;69;1560;1748;2062;1561;749;8801;3519;45;1168;1645;693;70;460;1199
41;Premies eigen rekening;2012;18024;18015;5510;1549;1584;3375;1597;1544;1325;1531;9;10314;2242;1515;155;1758;1433;1488;994;729;7701;3268;34;1428;1616;164;56;331;803
42;Premies eigen rekening;2013;17421;17425;5155;1356;1667;3274;1267;1140;2223;1343;-3;10523;2272;1324;255;1691;1108;1058;1981;833;6901;2882;32;1412;1584;158;82;242;509
43;Premies eigen rekening;2014;15644;15639;4388;648;1525;2819;927;1210;2462;1661;5;9452;2014;621;183;1704;779;1096;2064;991;6188;2374;26;1342;1115;148;114;398;670
44;Premies eigen rekening;2015;13810;13803;4319;1051;1841;2374;982;913;901;1422;7;8420;2129;1026;460;1543;854;830;567;1011;5383;2190;25;1381;831;128;83;334;411
