ID;CPI;Periods;CPI_1;DerivedCPI_2;MonthOnMonthChangeCPI_3;MonthOnMonthChangeDerivedCPI_4;YearOnYearChangeCPI_5;YearOnYearChangeDerivedCPI_6;WeightingCoefficient_7
0;0;1996 January;79.14;81.45;;;;;100000
1;0;1996 February;79.45;81.77;0.4;0.4;;;100000
2;0;1996 March ;80.18;82.53;0.9;0.9;;;100000
3;0;1996 April;80.42;82.78;0.3;0.3;;;100000
4;0;1996 May;80.23;82.58;-0.2;-0.2;;;100000
5;0;1996 June;79.89;82.23;-0.4;-0.4;;;100000
6;0;1996 July;80.11;82.46;0.3;0.3;;;100000
7;0;1996 August;80.01;82.36;-0.1;-0.1;;;100000
8;0;1996 September;80.74;83.13;0.9;0.9;;;100000
9;0;1996 October;80.93;83.32;0.2;0.2;;;100000
10;0;1996 November;80.84;83.23;-0.1;-0.1;;;100000
11;0;1996 December;80.76;83.14;-0.1;-0.1;;;100000
12;0;1996;80.22;82.58;;;;;100000
13;0;1997 January;80.88;83.05;0.1;-0.1;2.2;2.0;100000
14;0;1997 February;81.04;83.21;0.2;0.2;2.0;1.8;100000
15;0;1997 March ;81.65;83.83;0.8;0.7;1.8;1.6;100000
16;0;1997 April;81.73;83.9;0.1;0.1;1.6;1.4;100000
17;0;1997 May;81.91;84.09;0.2;0.2;2.1;1.8;100000
18;0;1997 June;81.51;83.68;-0.5;-0.5;2.0;1.8;100000
19;0;1997 July;81.8;84.0;0.4;0.4;2.1;1.9;100000
20;0;1997 August;82.02;84.23;0.3;0.3;2.5;2.3;100000
21;0;1997 September;82.76;85.01;0.9;0.9;2.5;2.3;100000
22;0;1997 October;82.84;85.1;0.1;0.1;2.4;2.1;100000
23;0;1997 November;82.88;85.13;0.0;0.0;2.5;2.3;100000
24;0;1997 December;82.63;84.87;-0.3;-0.3;2.3;2.1;100000
25;0;1997;81.97;84.18;;;2.2;1.9;100000
26;0;1998 January;82.36;84.39;-0.3;-0.6;1.8;1.6;100000
27;0;1998 February;82.82;84.85;0.6;0.5;2.2;2.0;100000
28;0;1998 March ;83.51;85.57;0.8;0.8;2.3;2.1;100000
29;0;1998 April;83.71;85.79;0.2;0.3;2.4;2.3;100000
30;0;1998 May;83.63;85.7;-0.1;-0.1;2.1;1.9;100000
31;0;1998 June;83.28;85.34;-0.4;-0.4;2.2;2.0;100000
32;0;1998 July;83.46;85.52;0.2;0.2;2.0;1.8;100000
33;0;1998 August;83.46;85.52;0.0;0.0;1.8;1.5;100000
34;0;1998 September;84.16;86.26;0.8;0.9;1.7;1.5;100000
35;0;1998 October;84.35;86.46;0.2;0.2;1.8;1.6;100000
36;0;1998 November;84.34;86.43;0.0;0.0;1.8;1.5;100000
37;0;1998 December;84.1;86.18;-0.3;-0.3;1.8;1.5;100000
38;0;1998;83.6;85.67;;;2.0;1.8;100000
39;0;1999 January;84.16;85.82;0.1;-0.4;2.2;1.7;100000
40;0;1999 February;84.58;86.25;0.5;0.5;2.1;1.6;100000
41;0;1999 March ;85.31;87.01;0.9;0.9;2.2;1.7;100000
42;0;1999 April;85.49;87.19;0.2;0.2;2.1;1.6;100000
43;0;1999 May;85.52;87.22;0.0;0.0;2.3;1.8;100000
44;0;1999 June;85.19;86.88;-0.4;-0.4;2.3;1.8;100000
45;0;1999 July;85.13;86.83;-0.1;-0.1;2.0;1.5;100000
46;0;1999 August;85.61;87.32;0.6;0.6;2.6;2.1;100000
47;0;1999 September;86.01;87.72;0.5;0.5;2.2;1.7;100000
48;0;1999 October;86.08;87.79;0.1;0.1;2.1;1.5;100000
49;0;1999 November;86.19;87.91;0.1;0.1;2.2;1.7;100000
50;0;1999 December;85.91;87.61;-0.3;-0.3;2.2;1.7;100000
51;0;1999;85.43;87.13;;;2.2;1.7;100000
52;0;2000 January;85.77;87.16;-0.2;-0.5;1.9;1.6;100000
