ID;CPIWithUnderlyingInflation;Periods;PriceIndex_1;YearOnYearChange_2
0;CPI all households;2006 January;98.68;
1;CPI all households;2006 February;99.06;
2;CPI all households;2006 March;99.84;
3;CPI all households;2006 April;100.3;
4;CPI all households;2006 May;100.38;
5;CPI all households;2006 June;100.02;
6;CPI all households;2006 July;99.83;
7;CPI all households;2006 August;100.36;
8;CPI all households;2006 September;100.74;
9;CPI all households;2006 October;100.49;
10;CPI all households;2006 November;100.33;
11;CPI all households;2006 December;99.96;
12;CPI all households;2007 January;100.08;1.4
13;CPI all households;2007 February;100.54;1.5
14;CPI all households;2007 March;101.63;1.8
15;CPI all households;2007 April;102.12;1.8
16;CPI all households;2007 May;102.19;1.8
17;CPI all households;2007 June;101.77;1.7
18;CPI all households;2007 July;101.29;1.5
19;CPI all households;2007 August;101.47;1.1
20;CPI all households;2007 September;102.07;1.3
21;CPI all households;2007 October;102.11;1.6
22;CPI all households;2007 November;102.26;1.9
23;CPI all households;2007 December;101.83;1.9
24;CPI all households;2008 January;102.11;2.0
25;CPI all households;2008 February;102.8;2.2
26;CPI all households;2008 March;103.82;2.2
27;CPI all households;2008 April;104.2;2.0
28;CPI all households;2008 May;104.57;2.3
29;CPI all households;2008 June;104.38;2.6
30;CPI all households;2008 July;104.54;3.2
31;CPI all households;2008 August;104.74;3.2
32;CPI all households;2008 September;105.19;3.1
33;CPI all households;2008 October;104.95;2.8
34;CPI all households;2008 November;104.57;2.3
35;CPI all households;2008 December;103.81;1.9
36;CPI all households;2009 January;104.08;1.9
37;CPI all households;2009 February;104.81;2.0
38;CPI all households;2009 March;105.86;2.0
39;CPI all households;2009 April;106.1;1.8
40;CPI all households;2009 May;106.24;1.6
41;CPI all households;2009 June;105.87;1.4
42;CPI all households;2009 July;104.74;0.2
43;CPI all households;2009 August;105.03;0.3
44;CPI all households;2009 September;105.59;0.4
45;CPI all households;2009 October;105.69;0.7
46;CPI all households;2009 November;105.58;1.0
47;CPI all households;2009 December;104.96;1.1
48;CPI all households;2010 January;104.93;0.8
49;CPI all households;2010 February;105.68;0.8
50;CPI all households;2010 March;106.93;1.0
51;CPI all households;2010 April;107.29;1.1
52;CPI all households;2010 May;107.25;1.0
53;CPI all households;2010 June;106.74;0.8
54;CPI all households;2010 July;106.44;1.6
55;CPI all households;2010 August;106.6;1.5
56;CPI all households;2010 September;107.26;1.6
57;CPI all households;2010 October;107.35;1.6
58;CPI all households;2010 November;107.22;1.6
59;CPI all households;2010 December;106.99;1.9
