ID;Grootteklasse;RegioS;Rechtsvorm;Perioden;Bedrijven_1;TotaalAantalWerknemers_2;AantalVasteWerknemers_3;AantalLosseWerknemers_4;TotaalArbeid_5;ArbeidOndernemers_6;ArbeidHuwelijksPartners_7;ArbeidOverigeGezinsleden_8;NettoOmzet_9;TotaalBedrijfslasten_10;InkoopwaardeOmzet_11;Personeelslasten_12;OverigeBedrijfslasten_13;TotaalOverigeOpbrengstenEnLasten_14;SaldoInterest_15;SaldoBuitengewoneBatenEnLasten_16;ResultaatVoorBelastingen_17;TotaalInvesteringen_18;GrondEnTerreinen_19;Bedrijfsgebouwen_20;MachinesEnInstallaties_21;VrachtAutoSEnAanhangwagens_22;TotaalNettoOmzet_23;AanlegEnOnderhoudTuinenTerreinen_24;OnderhoudBermenEnWegen_25;BestratingsEnRioleringswerkzaamheden_26;OmzetTuincentrum_27;OverigeOmzet_28;TotaalInkoopwaardeOmzet_29;TotaalInkopenGrondEnHulpstoffen_30;Beplanting_31;DoodMateriaal_32;OverigeGrondEnHulpstoffen_33;KunstmestEnBestrijdingsmiddelen_34;WerkDoorDerden_35;TotaalPersoneelslasten_36;BrutoLonen_37;SocialeLasten_38;OverigePersoneelslasten_39;TotaalOverigeBedrijfslasten_40;BrandstoffenTrekkracht_41;TotaalAlgemeneKosten_42;Huisvestingskosten_43;HuurGebouwenEnTerreinen_44;HuurMachinesEnTransportmiddelen_45;Autokosten_46;KostenVanVerzekeringen_47;Reclamekosten_48;OverigeAlgemeneKosten_49;OverigeBetaaldArbeid_50;Afschrijvingen_51
0;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1990;2311;7.9;3.3;4.7;2194.0;1929.0;246.0;12.0;440.0;393.0;134.0;169.0;89.0;-4.0;-5.0;1.0;11.0;39.0;5.0;8.0;15.0;11.0;440.0;347.0;21.0;29.0;24.0;18.0;134.0;109.0;51.0;42.0;8.0;8.0;25.0;169.0;126.0;36.0;7.0;89.0;4.0;57.0;4.0;3.0;2.0;18.0;3.0;5.0;22.0;4.0;24.0
1;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1993;2861;6.4;2.9;3.6;2301.0;2052.0;235.0;3.0;399.0;345.0;120.0;142.0;84.0;-7.0;-7.0;-1.0;46.0;32.0;3.0;5.0;14.0;10.0;399.0;352.0;15.0;9.0;11.0;12.0;120.0;99.0;40.0;40.0;16.0;3.0;20.0;142.0;105.0;32.0;5.0;84.0;3.0;55.0;4.0;2.0;2.0;16.0;2.0;5.0;23.0;4.0;21.0
2;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1996;3388;8.4;5.5;2.8;3597.0;3291.0;290.0;15.0;584.0;496.0;186.0;186.0;124.0;-3.0;-6.0;3.0;84.0;57.0;6.0;12.0;20.0;20.0;584.0;501.0;29.0;11.0;24.0;19.0;186.0;156.0;62.0;74.0;15.0;4.0;30.0;186.0;140.0;36.0;10.0;124.0;7.0;76.0;7.0;3.0;4.0;21.0;4.0;7.0;30.0;12.0;29.0
3;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;2000;4556;11.0;9.6;1.5;4497.0;4239.0;244.0;27.0;994.0;844.0;311.0;307.0;225.0;-14.0;-8.0;-7.0;137.0;82.0;10.0;14.0;33.0;25.0;994.0;774.0;48.0;25.0;19.0;128.0;311.0;236.0;87.0;115.0;27.0;6.0;75.0;307.0;217.0;71.0;19.0;225.0;11.0;134.0;11.0;8.0;9.0;33.0;6.0;9.0;58.0;34.0;47.0
4;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1990;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1993;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1996;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;2000;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1990;1987;3.5;1.4;2.1;2173.0;1911.0;243.0;12.0;224.0;191.0;72.0;71.0;48.0;-4.0;-4.0;1.0;7.0;23.0;4.0;5.0;7.0;7.0;224.0;189.0;5.0;8.0;16.0;6.0;72.0;66.0;28.0;28.0;6.0;3.0;6.0;71.0;53.0;15.0;3.0;48.0;2.0;32.0;3.0;1.0;1.0;11.0;2.0;3.0;13.0;1.0;13.0
9;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1993;2465;3.0;1.3;1.7;2288.0;2040.0;234.0;3.0;213.0;165.0;70.0;53.0;42.0;-4.0;-4.0;0.0;44.0;18.0;3.0;4.0;6.0;6.0;213.0;196.0;1.0;3.0;9.0;5.0;70.0;64.0;27.0;29.0;6.0;2.0;6.0;53.0;39.0;12.0;2.0;42.0;2.0;28.0;3.0;1.0;1.0;9.0;1.0;3.0;11.0;1.0;12.0
10;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1996;2974;4.1;2.6;1.5;3473.0;3184.0;281.0;6.0;316.0;246.0;109.0;71.0;67.0;-1.0;-4.0;3.0;69.0;39.0;5.0;8.0;12.0;14.0;316.0;278.0;3.0;8.0;16.0;12.0;109.0;97.0;40.0;47.0;7.0;3.0;12.0;71.0;53.0;14.0;4.0;67.0;4.0;42.0;4.0;1.0;1.0;12.0;3.0;4.0;16.0;4.0;17.0
11;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;2000;4049;4.7;4.1;0.6;4438.0;4181.0;243.0;27.0;527.0;397.0;178.0;115.0;104.0;-10.0;-6.0;-4.0;120.0;58.0;9.0;12.0;18.0;19.0;527.0;459.0;11.0;12.0;18.0;27.0;178.0;152.0;55.0;78.0;15.0;3.0;26.0;115.0;81.0;27.0;7.0;104.0;6.0;65.0;5.0;2.0;3.0;20.0;4.0;6.0;25.0;7.0;27.0
12;Totaal grootteklassen;Totaal Nederland;NV of BV;1990;289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Totaal grootteklassen;Totaal Nederland;NV of BV;1993;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Totaal grootteklassen;Totaal Nederland;NV of BV;1996;379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Totaal grootteklassen;Totaal Nederland;NV of BV;2000;469;6.1;5.2;0.8;25.0;25.0;0.0;0.0;456.0;436.0;131.0;186.0;119.0;-4.0;-1.0;-3.0;16.0;24.0;1.0;3.0;14.0;7.0;456.0;307.0;37.0;13.0;1.0;97.0;131.0;82.0;31.0;36.0;12.0;3.0;49.0;186.0;132.0;43.0;11.0;119.0;5.0;67.0;5.0;6.0;6.0;13.0;2.0;3.0;32.0;27.0;20.0
16;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1990;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1993;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1996;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;2000;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1990;170;0.7;0.2;0.4;182.0;160.0;21.0;1.0;32.0;28.0;9.0;13.0;6.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;32.0;26.0;2.0;2.0;2.0;1.0;9.0;8.0;4.0;3.0;0.0;0.0;1.0;13.0;9.0;3.0;1.0;6.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0
21;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1993;209;0.4;0.2;0.2;176.0;155.0;20.0;0.0;24.0;20.0;7.0;8.0;5.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;1.0;24.0;21.0;0.0;0.0;1.0;1.0;7.0;6.0;3.0;3.0;1.0;0.0;1.0;8.0;6.0;2.0;0.0;5.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0
22;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1996;277;0.6;0.4;0.2;315.0;289.0;26.0;1.0;42.0;35.0;14.0;12.0;9.0;0.0;-1.0;0.0;7.0;4.0;0.0;1.0;1.0;1.0;42.0;34.0;3.0;1.0;2.0;1.0;14.0;11.0;5.0;5.0;1.0;0.0;2.0;12.0;9.0;2.0;1.0;9.0;1.0;5.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;1.0;2.0
23;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;2000;391;0.9;0.7;0.2;399.0;379.0;19.0;3.0;82.0;70.0;26.0;24.0;20.0;-1.0;-1.0;0.0;11.0;6.0;1.0;1.0;2.0;2.0;82.0;73.0;2.0;2.0;2.0;4.0;26.0;20.0;8.0;9.0;2.0;1.0;6.0;24.0;17.0;6.0;2.0;20.0;1.0;10.0;1.0;1.0;1.0;3.0;0.0;1.0;4.0;5.0;4.0
24;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1990;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1993;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1996;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;2000;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1990;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1993;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1996;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;2000;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
