ID;Countries;Periods;OldAgeDependencyRatioPrognosis_1;YoungAgeDependencyRatioPrognosis_2
0;Australia;2000;18.6;31.0
1;Australia;2010;20.0;28.1
2;Australia;2020;26.0;28.4
3;Australia;2030;31.5;28.1
4;Australia;2040;34.5;27.4
5;Australia;2050;36.3;27.2
6;Austria;2000;22.8;25.2
7;Austria;2010;26.1;21.9
8;Austria;2020;29.7;21.7
9;Austria;2030;38.8;22.9
10;Austria;2040;46.0;22.9
11;Austria;2050;48.5;22.8
12;Belgium;2000;25.6;26.8
13;Belgium;2010;26.0;25.7
14;Belgium;2020;30.4;27.8
15;Belgium;2030;36.9;28.5
16;Belgium;2040;40.6;28.0
17;Belgium;2050;41.7;28.6
18;Canada;2000;18.4;28.1
19;Canada;2010;20.4;23.7
20;Canada;2020;27.6;25.7
21;Canada;2030;36.9;26.8
22;Canada;2040;39.6;25.6
23;Canada;2050;41.2;26.1
24;Czech Republic;2000;19.8;23.5
25;Czech Republic;2010;21.9;20.4
26;Czech Republic;2020;31.2;24.2
27;Czech Republic;2030;36.6;21.9
28;Czech Republic;2040;44.4;21.3
29;Czech Republic;2050;56.6;25.2
30;Denmark;2000;22.2;27.7
31;Denmark;2010;25.3;27.5
32;Denmark;2020;31.7;26.8
33;Denmark;2030;37.4;28.5
34;Denmark;2040;42.0;29.8
35;Denmark;2050;40.2;28.3
36;Finland;2000;22.3;27.1
37;Finland;2010;26.1;25.0
38;Finland;2020;36.3;27.0
39;Finland;2030;43.3;27.5
40;Finland;2040;44.7;26.4
41;Finland;2050;46.4;26.7
42;France;2000;24.7;29.0
43;France;2010;26.0;28.4
44;France;2020;33.4;29.0
45;France;2030;39.8;28.8
46;France;2040;44.8;29.1
47;France;2050;45.9;29.2
48;Germany;2000;24.2;23.0
49;Germany;2010;31.3;20.4
50;Germany;2020;36.4;19.5
51;Germany;2030;48.9;21.0
52;Germany;2040;57.0;20.4
53;Germany;2050;59.5;20.2
54;Hungary;2000;22.1;24.6
55;Hungary;2010;24.3;21.4
56;Hungary;2020;31.0;23.4
57;Hungary;2030;33.6;22.5
58;Hungary;2040;38.2;21.9
59;Hungary;2050;45.5;23.4
60;Ireland;2000;16.7;32.5
61;Ireland;2010;17.0;31.7
62;Ireland;2020;22.7;30.0
63;Ireland;2030;28.6;25.9
64;Ireland;2040;36.4;26.2
65;Ireland;2050;45.6;27.7
66;Italy;2000;27.1;21.2
67;Italy;2010;30.8;21.4
68;Italy;2020;36.6;20.6
69;Italy;2030;45.0;20.1
70;Italy;2040;58.2;22.4
71;Italy;2050;62.5;23.7
72;Japan;2000;25.5;21.4
73;Japan;2010;36.1;20.6
74;Japan;2020;49.2;19.8
75;Japan;2030;54.4;17.8
76;Japan;2040;66.8;18.5
77;Japan;2050;75.3;18.8
78;The Netherlands;2000;20.0;27.4
79;The Netherlands;2010;23.0;26.1
80;The Netherlands;2020;31.2;25.4
81;The Netherlands;2030;40.7;27.0
82;The Netherlands;2040;47.3;27.6
83;The Netherlands;2050;46.5;26.6
84;Poland;2000;17.9;28.5
85;Poland;2010;18.9;21.4
86;Poland;2020;27.8;23.6
87;Poland;2030;34.8;21.4
88;Poland;2040;39.9;19.2
89;Poland;2050;53.0;21.9
90;South Korea;2000;10.1;29.4
91;South Korea;2010;15.2;22.2
92;South Korea;2020;22.1;18.6
93;South Korea;2030;38.6;20.0
94;South Korea;2040;57.2;19.8
95;South Korea;2050;71.0;18.9
96;Spain;2000;24.6;21.6
97;Spain;2010;24.9;22.1
98;Spain;2020;31.5;23.1
99;Spain;2030;42.4;20.7
100;Spain;2040;58.5;22.0
101;Spain;2050;71.3;24.4
102;Sweden;2000;26.8;28.7
103;Sweden;2010;28.1;25.5
104;Sweden;2020;34.1;28.3
105;Sweden;2030;38.3;28.6
106;Sweden;2040;41.1;26.8
107;Sweden;2050;41.8;27.8
108;United Kingdom;2000;24.3;29.2
109;United Kingdom;2010;24.1;26.6
110;United Kingdom;2020;30.1;28.1
111;United Kingdom;2030;35.7;27.7
112;United Kingdom;2040;39.5;27.1
113;United Kingdom;2050;40.5;27.5
114;United States;2000;18.8;32.3
115;United States;2010;19.5;29.5
116;United States;2020;26.1;29.8
117;United States;2030;33.3;30.7
118;United States;2040;34.4;29.7
119;United States;2050;34.3;29.4
120;EU-15;2000;;
121;EU-15;2010;;
122;EU-15;2020;;
123;EU-15;2030;;
124;EU-15;2040;;
125;EU-15;2050;;
126;EU-27;2000;23.4;25.5
127;EU-27;2010;26.1;23.3
128;EU-27;2020;31.7;24.2
129;EU-27;2030;38.7;23.8
130;EU-27;2040;45.8;24.1
131;EU-27;2050;50.3;25.2
132;OECD;2000;19.6;30.9
133;OECD;2010;22.0;27.6
134;OECD;2020;28.0;26.8
135;OECD;2030;35.1;26.5
136;OECD;2040;40.7;26.1
137;OECD;2050;44.2;26.3
