ID;RegioS;Perioden;TotaleWoningvoorraad_1;AantalEigenWoningen_2;TotaalHuurwoning_3;InBezitWoningcorporatie_4;InBezitOverigeVerhuurders_5;EigendomOnbekend_6;EigenWoningen_7;TotaalRelatief_8;InBezitWoningcorporatie_9;InBezitOverigeVerhuurders_10;OnbekendRelatief_11;Regiocode_12;UniekeCode_13
0;Nederland;2006;6912405.0;3713606.0;2972008.0;;;226791.0;53.7;43.0;;;3.3;1.0;NL
1;Nederland;2007;6967028.0;3798363.0;2899845.0;;;268820.0;54.5;41.6;;;3.9;1.0;NL
2;Nederland;2008;7043212.0;3885385.0;2896967.0;;;260860.0;55.2;41.1;;;3.7;1.0;NL
3;Nederland;2009;7104518.0;3958768.0;3090701.0;2246358.0;844343.0;55049.0;55.7;43.5;31.6;11.9;0.8;1.0;NL
4;Nederland;2010;7172436.0;3969883.0;3148461.0;2288370.0;860091.0;54092.0;55.3;43.9;31.9;12.0;0.8;1.0;NL
5;Nederland;2011;7217803.0;3975806.0;3191920.0;2248595.0;943325.0;50077.0;55.1;44.2;31.2;13.1;0.7;1.0;NL
6;Nederland;2012;7266295.0;4083808.0;3130363.0;2236587.0;893776.0;52124.0;56.2;43.1;30.8;12.3;0.7;1.0;NL
7;Noord-Nederland (LD);2006;721859.0;422974.0;277531.0;;;21354.0;58.6;38.4;;;3.0;1.0;LD
8;Noord-Nederland (LD);2007;726173.0;430595.0;273251.0;;;22327.0;59.3;37.6;;;3.1;1.0;LD
9;Noord-Nederland (LD);2008;733208.0;439099.0;271911.0;;;22198.0;59.9;37.1;;;3.0;1.0;LD
10;Noord-Nederland (LD);2009;738829.0;446090.0;288640.0;216108.0;72532.0;4099.0;60.4;39.1;29.3;9.8;0.6;1.0;LD
11;Noord-Nederland (LD);2010;743503.0;446328.0;293374.0;217483.0;75891.0;3801.0;60.0;39.5;29.3;10.2;0.5;1.0;LD
12;Noord-Nederland (LD);2011;745828.0;445262.0;297180.0;215243.0;81937.0;3386.0;59.7;39.8;28.9;11.0;0.5;1.0;LD
13;Noord-Nederland (LD);2012;748901.0;453763.0;291372.0;215141.0;76231.0;3766.0;60.6;38.9;28.7;10.2;0.5;1.0;LD
14;Oost-Nederland (LD);2006;1370747.0;792251.0;539849.0;;;38647.0;57.8;39.4;;;2.8;2.0;LD
15;Oost-Nederland (LD);2007;1383036.0;810342.0;531113.0;;;41581.0;58.6;38.4;;;3.0;2.0;LD
16;Oost-Nederland (LD);2008;1401571.0;828187.0;531503.0;;;41881.0;59.1;37.9;;;3.0;2.0;LD
17;Oost-Nederland (LD);2009;1416488.0;844853.0;561918.0;417322.0;144596.0;9717.0;59.6;39.7;29.5;10.2;0.7;2.0;LD
18;Oost-Nederland (LD);2010;1431956.0;846869.0;574547.0;420748.0;153799.0;10540.0;59.1;40.1;29.4;10.7;0.7;2.0;LD
19;Oost-Nederland (LD);2011;1441975.0;849439.0;582983.0;415413.0;167570.0;9553.0;58.9;40.4;28.8;11.6;0.7;2.0;LD
20;Oost-Nederland (LD);2012;1454607.0;873580.0;570532.0;412479.0;158053.0;10495.0;60.1;39.2;28.4;10.9;0.7;2.0;LD
21;West-Nederland (LD);2006;3345812.0;1626436.0;1595159.0;;;124217.0;48.6;47.7;;;3.7;3.0;LD
22;West-Nederland (LD);2007;3370955.0;1670059.0;1541158.0;;;159738.0;49.5;45.7;;;4.7;3.0;LD
23;West-Nederland (LD);2008;3404702.0;1715072.0;1538172.0;;;151458.0;50.4;45.2;;;4.4;3.0;LD
24;West-Nederland (LD);2009;3434986.0;1751286.0;1650394.0;1175105.0;475289.0;33306.0;51.0;48.0;34.2;13.8;1.0;3.0;LD
25;West-Nederland (LD);2010;3468027.0;1758103.0;1677854.0;1205658.0;472196.0;32070.0;50.7;48.4;34.8;13.6;0.9;3.0;LD
26;West-Nederland (LD);2011;3491098.0;1762714.0;1697834.0;1182039.0;515795.0;30550.0;50.5;48.6;33.9;14.8;0.9;3.0;LD
27;West-Nederland (LD);2012;3513371.0;1816965.0;1664827.0;1171139.0;493688.0;31579.0;51.7;47.4;33.3;14.1;0.9;3.0;LD
28;Zuid-Nederland (LD);2006;1473987.0;871945.0;559469.0;;;42573.0;59.2;38.0;;;2.9;4.0;LD
