ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
0;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1994;17225.9;16991.4;123.7;110.8;17199.4;15534.5;779.4;885.5;1456.9;655.7;774.6;26.5
1;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1995;17203.2;16982.9;172.3;48.0;17059.2;15417.5;803.2;838.5;1565.4;630.8;790.5;144.0
2;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1996;16567.2;16310.2;188.2;68.8;16134.1;14821.7;812.5;500.0;1488.5;624.3;431.2;433.0
3;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1997;15948.1;15830.1;118.0;;15647.0;14817.9;468.0;361.1;1012.2;350.0;361.1;301.1
4;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1998;13543.2;13301.4;201.5;40.3;13082.5;11509.7;1204.9;367.9;1791.7;1003.4;327.6;460.7
5;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;1999;15558.3;15270.1;214.6;73.6;15770.7;13922.9;1300.3;547.6;1347.2;1085.6;474.0;-212.4
6;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2000;13543.8;13211.9;210.3;121.7;13180.8;11484.1;1053.0;643.7;1727.8;842.7;522.0;363.0
7;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2001;14203.4;13944.3;203.9;55.2;13994.4;12192.1;1003.1;799.3;1752.2;799.2;744.0;209.0
8;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2002;13173.9;12816.1;176.2;181.6;13095.2;11371.0;917.0;807.3;1445.1;740.7;625.7;78.7
9;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2003;12221.3;11899.4;163.3;158.5;11356.4;10006.3;791.0;559.1;1893.2;627.7;400.6;864.9
10;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2004;11872.6;11556.6;153.1;162.9;11135.7;9618.0;840.1;677.6;1938.6;687.0;514.7;736.9
11;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2005;11994.9;11684.7;152.2;158.0;11435.2;10053.4;882.5;499.3;1631.3;730.4;341.2;559.7
12;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2006;16118.4;14920.2;1033.9;164.2;15750.5;12643.1;1634.3;1473.1;2277.1;600.4;1308.8;367.8
13;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2007;18377.3;16968.4;1188.7;220.2;17568.7;13883.7;1799.7;1885.3;3084.7;611.0;1665.1;808.6
14;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2008;19314.1;18015.2;1076.6;222.3;18863.9;14746.8;1881.3;2235.8;3268.4;804.7;2013.5;450.2
15;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2009;20999.0;19695.2;1052.0;251.8;20200.7;15723.1;2022.1;2455.6;3972.2;970.1;2203.8;798.3
16;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2010;20729.3;19420.6;1012.1;296.5;19768.7;15356.8;2068.1;2343.7;4063.8;1056.0;2047.2;960.5
17;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2011;21175.0;19924.9;920.4;329.7;20416.6;16068.5;1937.2;2410.9;3856.3;1016.8;2081.2;758.4
18;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2012;22017.3;20352.9;1140.0;524.4;20877.9;15943.6;2176.3;2758.0;4409.3;1036.3;2233.6;1139.4
19;Totaal dierlijke mest;Hoeveelheid getransporteerde mest;2013;22333.1;20273.7;1344.8;714.6;20972.2;15722.2;2395.6;2854.4;4551.5;1050.8;2139.8;1360.9
20;Totaal dierlijke mest;Stikstof in getransporteerde mest;1994;156.9;155.3;0.5;1.1;156.7;129.3;5.0;22.3;25.9;4.6;21.2;0.2
21;Totaal dierlijke mest;Stikstof in getransporteerde mest;1995;155.8;153.9;0.9;1.1;154.6;127.2;4.3;23.1;26.6;3.4;22.0;1.2
22;Totaal dierlijke mest;Stikstof in getransporteerde mest;1996;151.7;148.3;1.4;2.1;146.2;126.9;4.2;15.1;21.3;2.8;13.0;5.6
23;Totaal dierlijke mest;Stikstof in getransporteerde mest;1997;139.8;138.0;1.8;;138.9;123.7;4.2;11.0;14.4;2.4;11.0;0.9
24;Totaal dierlijke mest;Stikstof in getransporteerde mest;1998;102.4;98.3;3.8;0.3;99.7;80.9;8.8;10.1;17.4;5.0;9.8;2.7
25;Totaal dierlijke mest;Stikstof in getransporteerde mest;1999;122.3;117.1;4.5;0.7;121.4;98.2;9.7;13.5;18.9;5.2;12.9;0.8
26;Totaal dierlijke mest;Stikstof in getransporteerde mest;2000;107.5;102.5;3.7;1.3;101.9;78.0;7.9;16.0;24.6;4.3;14.7;5.6
27;Totaal dierlijke mest;Stikstof in getransporteerde mest;2001;107.5;103.9;3.1;0.4;104.0;77.3;8.3;18.4;26.6;5.1;18.0;3.5
28;Totaal dierlijke mest;Stikstof in getransporteerde mest;2002;102.5;97.3;3.3;1.9;100.0;70.0;8.3;21.6;27.3;5.1;19.7;2.5
29;Totaal dierlijke mest;Stikstof in getransporteerde mest;2003;92.0;87.3;3.0;1.7;85.1;65.1;6.7;13.3;22.2;3.7;11.6;6.9
30;Totaal dierlijke mest;Stikstof in getransporteerde mest;2004;96.3;91.1;3.2;2.0;90.9;65.2;8.2;17.5;25.9;5.0;15.5;5.3
31;Totaal dierlijke mest;Stikstof in getransporteerde mest;2005;97.2;92.0;3.3;1.9;95.7;70.8;8.2;16.8;21.2;4.9;14.9;1.5
32;Totaal dierlijke mest;Stikstof in getransporteerde mest;2006;113.3;101.7;10.3;1.4;105.9;72.3;12.0;21.6;29.4;1.7;20.3;7.4
33;Totaal dierlijke mest;Stikstof in getransporteerde mest;2007;139.6;125.9;12.2;1.5;130.4;81.8;13.6;35.0;44.1;1.4;33.5;9.2
