ID;Perioden;TotaalWettelijkeSocialeUitkeringen_1;WetOpDeArbeidsongeschiktheidWAO_2;TotaalArbeidsongeschiktheidsfonds_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WerkEnInkomenArbeidsvermogenWIA_7;WetArbeidsongeschiktheidZelfstWAZ_8;TotaalSectorfondsen_9;WerkloosheidswetWW_10;ZiektewetZW_11;WerkEnInkomenArbeidsvermogenWIA_12;TotaalAlgemeenWerkloosheidsfonds_13;WerkloosheidswetWW_14;WetArbeidEnZorgWAZO_15;ZiektewetZW_16;TotaalUitvoeringsfondsVoorDeOverheid_17;WerkloosheidswetWW_18;WetArbeidEnZorgWAZO_19;ZiektewetZW_20;AlgemeneOuderdomswetAOW_21;AlgemeneNabestaandenwetANW_22;AlgemeneWetBijzondereZiekteknAWBZ_23;ZorgverzekeringswetZVW_24;ZiekenfondswetZFW_25;TotaalWettelijkeSocialePremies_26;Arbeidsongeschiktheidskas_27;Arbeidsongeschiktheidsfonds_28;Werkhervattingskas_29;ArbeidsongeschiktheidsfondsZelfst_30;AlgemeenWerkloosheidsfonds_31;Sectorfondsen_32;UitvoeringsfondsVoorDeOverheid_33;AlgemeenOuderdomsfonds_34;AlgemeenNabestaandenfonds_35;AlgemeenFondsBijzondereZiektekosten_36;Zorgverzekeringsfonds_37;AlgemeneKas_38;TotaalWetSocUitkeringenRegeling_39;WetOpDeArbeidsongeschiktheidWAO_40;WerkEnInkomenArbeidsvermogenWIA_41;WetArbeidsongeschiktheidZelfstWAZ_42;WerkloosheidswetWW_43;WetArbeidEnZorgWAZO_44;ZiektewetZW_45;AlgemeneOuderdomswetAOW_46;AlgemeneNabestaandenwetANW_47;AlgemeneWetBijzondereZiekteknAWBZ_48;ZorgverzekeringswetZVW_49;ZiekenfondswetZFW_50
0;2002 1e kwartaal;16365;636;1654;1654;0;0;0;124;343;228;115;0;604;364;114;127;27;9;14;4;5287;385;3623;0;3682;16594;824;2678;0;303;1357;256;93;4555;363;2986;0;3180;16365;2290;0;124;601;128;246;5287;385;3623;0;3682
1;2002 2e kwartaal;17690;747;1752;1752;0;0;0;137;323;215;108;0;624;376;117;131;39;13;21;6;5294;378;4631;0;3765;15179;736;2227;0;169;1221;317;56;4486;360;2963;0;2644;17690;2499;0;137;603;138;245;5294;378;4631;0;3765
2;2002 3e kwartaal;17092;712;1564;1564;0;0;0;118;332;221;111;0;699;421;132;147;75;25;40;11;5388;378;4178;0;3649;14975;659;2388;0;169;1239;244;87;4394;352;2902;0;2540;17092;2276;0;118;666;171;269;5388;378;4178;0;3649
3;2002 4e kwartaal;17256;739;1594;1594;0;0;0;124;289;192;96;0;674;406;127;142;67;22;36;9;5414;388;4104;0;3864;14971;728;2002;0;241;1186;173;74;4701;377;3105;0;2384;17256;2333;0;124;619;162;248;5414;388;4104;0;3864
4;2002;68403;2835;6564;6564;0;0;0;502;1286;856;430;0;2602;1565;489;547;208;68;111;29;21383;1528;16536;0;14959;61718;2947;9295;0;882;5003;990;310;18136;1452;11955;0;10748;68403;9399;0;502;2489;600;1007;21383;1528;16536;0;14959
5;2003 1e kwartaal;17826;736;1649;1649;0;0;0;129;453;338;115;0;762;483;145;135;112;53;42;17;5605;361;4013;0;4006;17594;931;2023;0;264;1180;401;104;4782;383;3673;0;3853;17826;2386;0;129;873;187;267;5605;361;4013;0;4006
6;2003 2e kwartaal;18947;766;1645;1645;0;0;0;132;432;322;109;0;797;505;151;141;72;34;27;11;5589;398;5018;0;4098;17611;924;1954;0;183;1154;443;116;5105;410;4055;0;3268;18947;2411;0;132;861;178;261;5589;398;5018;0;4098
7;2003 3e kwartaal;18365;755;1604;1604;0;0;0;133;448;334;114;0;872;552;165;154;77;36;29;12;5601;382;4631;0;3863;14928;874;2003;0;144;1151;431;83;3810;305;3036;0;3089;18365;2359;0;133;922;194;279;5601;382;4631;0;3863
8;2003 4e kwartaal;18501;782;1685;1685;0;0;0;131;463;345;117;0;851;539;161;151;90;42;34;13;5633;365;4390;0;4111;15640;829;2127;0;276;1055;412;116;4239;339;3377;0;2870;18501;2468;0;131;926;195;281;5633;365;4390;0;4111
9;2003;73639;3040;6583;6583;0;0;0;525;1795;1340;455;0;3281;2077;623;581;350;166;132;53;22428;1506;18052;0;16079;65772;3557;8108;0;867;4540;1687;419;17935;1437;14142;0;13080;73639;9623;0;525;3583;754;1089;22428;1506;18052;0;16079
