ID;GeneratieVanBeidePartners;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;ManAutochtoon_2;TotaalMannenNietWesters_3;ManMarokko_4;ManNederlandseAntillenEnAruba_5;ManSuriname_6;ManTurkije_7;ManOverigNietWesters_8;ManWestersExclusiefAutochtoon_9
0;Totaal echtparen;Totaal vrouwen;2004 (Twee jaar getrouwd);69390.0;54915.0;8447.0;1897.0;402.0;1110.0;2277.0;2761.0;6028.0
1;Totaal echtparen;Totaal vrouwen;2005 (Eén jaar getrouwd);67328.0;54557.0;6716.0;1471.0;445.0;979.0;1539.0;2282.0;6055.0
2;Totaal echtparen;Totaal vrouwen;2006 (Nog geen jaar getrouwd);63948.0;53786.0;4720.0;961.0;405.0;904.0;1007.0;1443.0;5442.0
3;Totaal echtparen;Vrouw: autochtoon;2004 (Twee jaar getrouwd);51831.0;46887.0;1326.0;149.0;172.0;243.0;222.0;540.0;3618.0
4;Totaal echtparen;Vrouw: autochtoon;2005 (Eén jaar getrouwd);51476.0;46679.0;1249.0;140.0;189.0;262.0;147.0;511.0;3548.0
5;Totaal echtparen;Vrouw: autochtoon;2006 (Nog geen jaar getrouwd);51231.0;46512.0;1211.0;143.0;181.0;258.0;159.0;470.0;3508.0
6;Totaal echtparen;Totaal vrouwen niet-westers;2004 (Twee jaar getrouwd);9709.0;2617.0;6633.0;1680.0;187.0;793.0;1968.0;2005.0;459.0
7;Totaal echtparen;Totaal vrouwen niet-westers;2005 (Eén jaar getrouwd);8011.0;2552.0;4979.0;1260.0;216.0;659.0;1276.0;1568.0;480.0
8;Totaal echtparen;Totaal vrouwen niet-westers;2006 (Nog geen jaar getrouwd);5707.0;2221.0;3142.0;772.0;200.0;574.0;780.0;816.0;344.0
9;Totaal echtparen;Vrouw: Marokko;2004 (Twee jaar getrouwd);1935.0;146.0;1750.0;1642.0;6.0;14.0;13.0;75.0;39.0
10;Totaal echtparen;Vrouw: Marokko;2005 (Eén jaar getrouwd);1455.0;126.0;1301.0;1211.0;2.0;12.0;13.0;63.0;28.0
11;Totaal echtparen;Vrouw: Marokko;2006 (Nog geen jaar getrouwd);949.0;121.0;807.0;739.0;3.0;19.0;9.0;37.0;21.0
12;Totaal echtparen;Vrouw: Nederlandse Antillen en Aruba;2004 (Twee jaar getrouwd);461.0;245.0;185.0;5.0;130.0;23.0;5.0;22.0;31.0
13;Totaal echtparen;Vrouw: Nederlandse Antillen en Aruba;2005 (Eén jaar getrouwd);456.0;212.0;200.0;3.0;161.0;21.0;2.0;13.0;44.0
14;Totaal echtparen;Vrouw: Nederlandse Antillen en Aruba;2006 (Nog geen jaar getrouwd);427.0;211.0;186.0;6.0;147.0;17.0;3.0;13.0;30.0
15;Totaal echtparen;Vrouw: Suriname;2004 (Twee jaar getrouwd);1329.0;469.0;793.0;12.0;19.0;698.0;11.0;53.0;67.0
16;Totaal echtparen;Vrouw: Suriname;2005 (Eén jaar getrouwd);1193.0;466.0;651.0;13.0;21.0;574.0;9.0;34.0;76.0
17;Totaal echtparen;Vrouw: Suriname;2006 (Nog geen jaar getrouwd);1016.0;400.0;566.0;7.0;21.0;499.0;7.0;32.0;50.0
18;Totaal echtparen;Vrouw: Turkije;2004 (Twee jaar getrouwd);2130.0;123.0;1943.0;1.0;0.0;6.0;1914.0;22.0;64.0
19;Totaal echtparen;Vrouw: Turkije;2005 (Eén jaar getrouwd);1453.0;137.0;1269.0;8.0;0.0;6.0;1233.0;22.0;47.0
20;Totaal echtparen;Vrouw: Turkije;2006 (Nog geen jaar getrouwd);904.0;111.0;768.0;3.0;1.0;5.0;747.0;12.0;25.0
21;Totaal echtparen;Vrouw: overig niet-westers;2004 (Twee jaar getrouwd);3854.0;1634.0;1962.0;20.0;32.0;52.0;25.0;1833.0;258.0
22;Totaal echtparen;Vrouw: overig niet-westers;2005 (Eén jaar getrouwd);3454.0;1611.0;1558.0;25.0;32.0;46.0;19.0;1436.0;285.0
23;Totaal echtparen;Vrouw: overig niet-westers;2006 (Nog geen jaar getrouwd);2411.0;1378.0;815.0;17.0;28.0;34.0;14.0;722.0;218.0
24;Totaal echtparen;Vrouw: westers (exclusief autochtoon);2004 (Twee jaar getrouwd);7850.0;5411.0;488.0;68.0;43.0;74.0;87.0;216.0;1951.0
25;Totaal echtparen;Vrouw: westers (exclusief autochtoon);2005 (Eén jaar getrouwd);7841.0;5326.0;488.0;71.0;40.0;58.0;116.0;203.0;2027.0
26;Totaal echtparen;Vrouw: westers (exclusief autochtoon);2006 (Nog geen jaar getrouwd);7010.0;5053.0;367.0;46.0;24.0;72.0;68.0;157.0;1590.0
27;Beiden autochtoon;Totaal vrouwen;2004 (Twee jaar getrouwd);46887.0;46887.0;;;;;;;
28;Beiden autochtoon;Totaal vrouwen;2005 (Eén jaar getrouwd);46679.0;46679.0;;;;;;;
29;Beiden autochtoon;Totaal vrouwen;2006 (Nog geen jaar getrouwd);46512.0;46512.0;;;;;;;
30;Beiden autochtoon;Vrouw: autochtoon;2004 (Twee jaar getrouwd);46887.0;46887.0;;;;;;;
31;Beiden autochtoon;Vrouw: autochtoon;2005 (Eén jaar getrouwd);46679.0;46679.0;;;;;;;
32;Beiden autochtoon;Vrouw: autochtoon;2006 (Nog geen jaar getrouwd);46512.0;46512.0;;;;;;;
33;Beiden autochtoon;Totaal vrouwen niet-westers;2004 (Twee jaar getrouwd);;;;;;;;;
34;Beiden autochtoon;Totaal vrouwen niet-westers;2005 (Eén jaar getrouwd);;;;;;;;;
35;Beiden autochtoon;Totaal vrouwen niet-westers;2006 (Nog geen jaar getrouwd);;;;;;;;;
36;Beiden autochtoon;Vrouw: Marokko;2004 (Twee jaar getrouwd);;;;;;;;;
37;Beiden autochtoon;Vrouw: Marokko;2005 (Eén jaar getrouwd);;;;;;;;;
38;Beiden autochtoon;Vrouw: Marokko;2006 (Nog geen jaar getrouwd);;;;;;;;;
39;Beiden autochtoon;Vrouw: Nederlandse Antillen en Aruba;2004 (Twee jaar getrouwd);;;;;;;;;
40;Beiden autochtoon;Vrouw: Nederlandse Antillen en Aruba;2005 (Eén jaar getrouwd);;;;;;;;;
41;Beiden autochtoon;Vrouw: Nederlandse Antillen en Aruba;2006 (Nog geen jaar getrouwd);;;;;;;;;
42;Beiden autochtoon;Vrouw: Suriname;2004 (Twee jaar getrouwd);;;;;;;;;
43;Beiden autochtoon;Vrouw: Suriname;2005 (Eén jaar getrouwd);;;;;;;;;
44;Beiden autochtoon;Vrouw: Suriname;2006 (Nog geen jaar getrouwd);;;;;;;;;
45;Beiden autochtoon;Vrouw: Turkije;2004 (Twee jaar getrouwd);;;;;;;;;
46;Beiden autochtoon;Vrouw: Turkije;2005 (Eén jaar getrouwd);;;;;;;;;
47;Beiden autochtoon;Vrouw: Turkije;2006 (Nog geen jaar getrouwd);;;;;;;;;
