ID;Opleidingsniveau;BedrijfsgrootteSBI93;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal opleidingsniveau;Totaal bedrijfsgrootte;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal opleidingsniveau;Totaal bedrijfsgrootte;2003;;;;;;
2;Totaal opleidingsniveau;Bedrijfsgrootte < 10 werknemers;2002;1123.5;545.7;15.08;1591.0;20.4;30.8
3;Totaal opleidingsniveau;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
4;Totaal opleidingsniveau;Bedrijfsgrootte 10-99 werknemers;2002;1774.8;1104.3;16.28;1916.0;25.8;33.4
5;Totaal opleidingsniveau;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
6;Totaal opleidingsniveau;Bedrijfsgrootte >- 100 werknemers;2002;4098.1;2237.2;18.22;2076.0;27.9;37.8
7;Totaal opleidingsniveau;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
8;Totaal opleidingsniveau;SBI'93 totaal;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
9;Totaal opleidingsniveau;SBI'93 totaal;2003;;;;;;
10;Totaal opleidingsniveau;01-05 Landbouw en visserij;2002;101.0;58.0;13.62;1540.0;19.8;26.8
11;Totaal opleidingsniveau;01-05 Landbouw en visserij;2003;;;;;;
12;Totaal opleidingsniveau;10-45 Industrie en bouwnijverheid;2002;1354.4;1142.3;17.31;2300.0;31.4;34.2
13;Totaal opleidingsniveau;10-45 Industrie en bouwnijverheid;2003;;;;;;
14;Totaal opleidingsniveau;50-74 Commerciële dienstverlening;2002;3278.7;1733.7;16.37;1811.0;24.2;35.9
15;Totaal opleidingsniveau;50-74 Commerciële dienstverlening;2003;;;;;;
16;Totaal opleidingsniveau;75-93 Niet-commerciële dienstverlening;2002;2262.2;953.1;18.69;1984.0;26.2;37.1
17;Totaal opleidingsniveau;75-93 Niet-commerciële dienstverlening;2003;;;;;;
18;Totaal opleidingsniveau;01-05 Landbouw en visserij;2002;101.0;58.0;13.62;1540.0;19.8;26.8
19;Totaal opleidingsniveau;01-05 Landbouw en visserij;2003;;;;;;
20;Totaal opleidingsniveau;10-14 Delftstoffenwinnig;2002;8.6;7.9;26.71;3813.0;54.2;56.2
21;Totaal opleidingsniveau;10-14 Delftstoffenwinnig;2003;;;;;;
22;Totaal opleidingsniveau;15-37 Industrie;2002;915.4;750.2;17.13;2257.0;31.0;34.2
23;Totaal opleidingsniveau;15-37 Industrie;2003;;;;;;
24;Totaal opleidingsniveau;40-41 Energie- en waterleidingbedrijven;2002;30.1;26.1;22.83;3070.0;42.2;44.7
25;Totaal opleidingsniveau;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
26;Totaal opleidingsniveau;45 Bouwnijverheid;2002;400.4;358.1;17.1;2307.0;31.1;32.9
27;Totaal opleidingsniveau;45 Bouwnijverheid;2003;;;;;;
28;Totaal opleidingsniveau;50-52 Handel;2002;1190.0;613.0;14.5;1545.0;20.7;31.5
29;Totaal opleidingsniveau;50-52 Handel;2003;;;;;;
30;Totaal opleidingsniveau;55 Horeca;2002;260.9;79.5;11.78;962.0;12.3;24.2
31;Totaal opleidingsniveau;55 Horeca;2003;;;;;;
32;Totaal opleidingsniveau;60-64 Vervoer en communicatie;2002;444.9;320.7;16.2;2046.0;29.0;34.6
33;Totaal opleidingsniveau;60-64 Vervoer en communicatie;2003;;;;;;
34;Totaal opleidingsniveau;65-67 Financiële instellingen;2002;262.2;184.1;21.96;2768.0;40.4;47.8
35;Totaal opleidingsniveau;65-67 Financiële instellingen;2003;;;;;;
36;Totaal opleidingsniveau;70-74 Zakelijke dienstverlening;2002;1120.7;536.5;17.63;1974.0;25.1;39.3
37;Totaal opleidingsniveau;70-74 Zakelijke dienstverlening;2003;;;;;;
38;Totaal opleidingsniveau;75 Openbaar bestuur;2002;514.0;376.7;20.19;2573.0;34.1;38.0
39;Totaal opleidingsniveau;75 Openbaar bestuur;2003;;;;;;
40;Totaal opleidingsniveau;801-803 Gesubsidieerde onderwijs;2002;431.9;200.7;20.68;2294.0;30.5;40.4
41;Totaal opleidingsniveau;801-803 Gesubsidieerde onderwijs;2003;;;;;;
42;Totaal opleidingsniveau;85 Gezondheids- en welzijnzorg;2002;1019.3;238.2;17.35;1622.0;21.2;34.6
43;Totaal opleidingsniveau;85 Gezondheids- en welzijnzorg;2003;;;;;;
44;Totaal opleidingsniveau;90-93,804 Cultuur en overige dienstv.;2002;297.1;137.6;16.57;1758.0;23.1;33.9
45;Totaal opleidingsniveau;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
46;Totaal opleidingsniveau;15-16 Voedings- en genotmiddelenind.;2002;139.5;104.0;17.27;2147.0;29.5;35.3
47;Totaal opleidingsniveau;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
48;Totaal opleidingsniveau;22 Grafische industrie;2002;78.6;57.9;19.9;2518.0;33.5;38.1
49;Totaal opleidingsniveau;22 Grafische industrie;2003;;;;;;
50;Totaal opleidingsniveau;23-25 Aardolie- en chemische industrie;2002;109.1;95.1;20.41;2773.0;39.2;41.7
51;Totaal opleidingsniveau;23-25 Aardolie- en chemische industrie;2003;;;;;;
52;Totaal opleidingsniveau;27-35 Metaal- en elektrotechnische ind.;2002;344.9;303.6;17.32;2363.0;32.7;34.6
53;Totaal opleidingsniveau;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
54;Totaal opleidingsniveau;Rest industrie;2002;243.3;189.7;14.34;1855.0;24.9;27.9
55;Totaal opleidingsniveau;Rest industrie;2003;;;;;;
56;Totaal opleidingsniveau;50 Autohandel en - reparatie;2002;130.0;96.1;14.58;1817.0;23.7;28.4
57;Totaal opleidingsniveau;50 Autohandel en - reparatie;2003;;;;;;
58;Totaal opleidingsniveau;51 Groothandel;2002;428.4;329.1;17.32;2261.0;31.1;36.0
59;Totaal opleidingsniveau;51 Groothandel;2003;;;;;;
60;Totaal opleidingsniveau;52 Detailhandel;2002;631.6;187.8;11.6;1003.0;13.0;25.2
61;Totaal opleidingsniveau;52 Detailhandel;2003;;;;;;
62;Totaal opleidingsniveau;60 Openbaar vervoer en wegvervoer;2002;188.9;148.5;14.06;1855.0;28.3;32.6
63;Totaal opleidingsniveau;60 Openbaar vervoer en wegvervoer;2003;;;;;;
64;Totaal opleidingsniveau;61-64 Rest vervoer en communicatie;2002;256.0;172.2;17.9;2187.0;29.6;36.3
65;Totaal opleidingsniveau;61-64 Rest vervoer en communicatie;2003;;;;;;
66;Totaal opleidingsniveau;8511 Ziekenhuizen;2002;285.3;98.7;19.32;2002.0;26.5;36.7
67;Totaal opleidingsniveau;8511 Ziekenhuizen;2003;;;;;;
68;Totaal opleidingsniveau;8531 Verpleeg- en bejaardentehuizen;2002;350.8;66.2;15.8;1427.0;18.9;30.5
69;Totaal opleidingsniveau;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
70;Totaal opleidingsniveau;Rest gezondheids- en welzijnzorg;2002;383.2;73.2;17.09;1516.0;19.6;35.4
71;Totaal opleidingsniveau;Rest gezondheids- en welzijnzorg;2003;;;;;;
72;Basisonderwijs;Totaal bedrijfsgrootte;2002;659.7;317.1;12.66;1292.0;17.1;27.6
73;Basisonderwijs;Totaal bedrijfsgrootte;2003;;;;;;
74;Basisonderwijs;Bedrijfsgrootte < 10 werknemers;2002;134.3;78.1;14.3;1581.0;20.5;29.9
75;Basisonderwijs;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
76;Basisonderwijs;Bedrijfsgrootte 10-99 werknemers;2002;178.9;88.8;12.06;1215.0;16.4;26.8
77;Basisonderwijs;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
78;Basisonderwijs;Bedrijfsgrootte >- 100 werknemers;2002;346.5;150.2;12.27;1220.0;16.1;26.8
79;Basisonderwijs;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
80;Basisonderwijs;SBI'93 totaal;2002;659.7;317.1;12.66;1292.0;17.1;27.6
81;Basisonderwijs;SBI'93 totaal;2003;;;;;;
82;Basisonderwijs;01-05 Landbouw en visserij;2002;;;;;;
83;Basisonderwijs;01-05 Landbouw en visserij;2003;;;;;;
84;Basisonderwijs;10-45 Industrie en bouwnijverheid;2002;163.4;139.7;13.55;1805.0;24.7;26.8
85;Basisonderwijs;10-45 Industrie en bouwnijverheid;2003;;;;;;
86;Basisonderwijs;50-74 Commerciële dienstverlening;2002;370.1;119.1;12.25;1076.0;14.1;30.2
87;Basisonderwijs;50-74 Commerciële dienstverlening;2003;;;;;;
88;Basisonderwijs;75-93 Niet-commerciële dienstverlening;2002;104.9;43.1;12.1;1199.0;15.7;24.2
89;Basisonderwijs;75-93 Niet-commerciële dienstverlening;2003;;;;;;
90;Basisonderwijs;01-05 Landbouw en visserij;2002;;;;;;
91;Basisonderwijs;01-05 Landbouw en visserij;2003;;;;;;
92;Basisonderwijs;10-14 Delftstoffenwinnig;2002;;;;;;
93;Basisonderwijs;10-14 Delftstoffenwinnig;2003;;;;;;
94;Basisonderwijs;15-37 Industrie;2002;122.6;100.6;13.19;1738.0;23.6;26.0
95;Basisonderwijs;15-37 Industrie;2003;;;;;;
96;Basisonderwijs;40-41 Energie- en waterleidingbedrijven;2002;;;;;;
97;Basisonderwijs;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
98;Basisonderwijs;45 Bouwnijverheid;2002;39.7;38.1;14.5;1997.0;28.0;28.7
99;Basisonderwijs;45 Bouwnijverheid;2003;;;;;;
100;Basisonderwijs;50-52 Handel;2002;157.7;45.0;10.15;851.0;10.9;22.9
101;Basisonderwijs;50-52 Handel;2003;;;;;;
102;Basisonderwijs;55 Horeca;2002;55.4;14.7;13.39;988.0;11.6;27.9
103;Basisonderwijs;55 Horeca;2003;;;;;;
104;Basisonderwijs;60-64 Vervoer en communicatie;2002;44.4;32.1;13.71;1721.0;24.8;29.9
105;Basisonderwijs;60-64 Vervoer en communicatie;2003;;;;;;
106;Basisonderwijs;65-67 Financiële instellingen;2002;;;;;;
107;Basisonderwijs;65-67 Financiële instellingen;2003;;;;;;
108;Basisonderwijs;70-74 Zakelijke dienstverlening;2002;108.9;25.3;13.68;1160.0;15.0;44.4
109;Basisonderwijs;70-74 Zakelijke dienstverlening;2003;;;;;;
110;Basisonderwijs;75 Openbaar bestuur;2002;17.4;12.4;13.93;1761.0;23.5;27.0
111;Basisonderwijs;75 Openbaar bestuur;2003;;;;;;
112;Basisonderwijs;801-803 Gesubsidieerde onderwijs;2002;7.7;3.5;11.61;1233.0;16.2;21.1
113;Basisonderwijs;801-803 Gesubsidieerde onderwijs;2003;;;;;;
114;Basisonderwijs;85 Gezondheids- en welzijnzorg;2002;49.1;10.9;11.57;990.0;12.7;20.6
115;Basisonderwijs;85 Gezondheids- en welzijnzorg;2003;;;;;;
116;Basisonderwijs;90-93,804 Cultuur en overige dienstv.;2002;30.7;16.4;11.66;1206.0;16.0;25.2
117;Basisonderwijs;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
118;Basisonderwijs;15-16 Voedings- en genotmiddelenind.;2002;18.3;11.2;15.41;1862.0;25.3;32.8
119;Basisonderwijs;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
120;Basisonderwijs;22 Grafische industrie;2002;;;;;;
121;Basisonderwijs;22 Grafische industrie;2003;;;;;;
122;Basisonderwijs;23-25 Aardolie- en chemische industrie;2002;;;;;;
123;Basisonderwijs;23-25 Aardolie- en chemische industrie;2003;;;;;;
124;Basisonderwijs;27-35 Metaal- en elektrotechnische ind.;2002;34.9;33.4;13.33;1887.0;26.0;26.6
125;Basisonderwijs;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
126;Basisonderwijs;Rest industrie;2002;60.3;47.7;12.06;1557.0;21.0;23.3
127;Basisonderwijs;Rest industrie;2003;;;;;;
128;Basisonderwijs;50 Autohandel en - reparatie;2002;;;;;0.0;
129;Basisonderwijs;50 Autohandel en - reparatie;2003;;;;;;
130;Basisonderwijs;51 Groothandel;2002;34.1;15.5;14.59;1563.0;20.8;30.5
131;Basisonderwijs;51 Groothandel;2003;;;;;;
132;Basisonderwijs;52 Detailhandel;2002;106.1;18.8;7.97;550.0;6.8;18.9
133;Basisonderwijs;52 Detailhandel;2003;;;;;;
134;Basisonderwijs;60 Openbaar vervoer en wegvervoer;2002;26.7;21.4;12.8;1709.0;26.3;30.0
135;Basisonderwijs;60 Openbaar vervoer en wegvervoer;2003;;;;;;
136;Basisonderwijs;61-64 Rest vervoer en communicatie;2002;17.7;10.7;15.33;1738.0;22.7;29.6
137;Basisonderwijs;61-64 Rest vervoer en communicatie;2003;;;;;;
138;Basisonderwijs;8511 Ziekenhuizen;2002;8.9;3.2;13.04;1224.0;16.3;23.6
139;Basisonderwijs;8511 Ziekenhuizen;2003;;;;;;
140;Basisonderwijs;8531 Verpleeg- en bejaardentehuizen;2002;24.8;5.4;11.02;933.0;12.0;19.5
141;Basisonderwijs;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
142;Basisonderwijs;Rest gezondheids- en welzijnzorg;2002;15.4;2.2;11.5;945.0;11.7;19.0
143;Basisonderwijs;Rest gezondheids- en welzijnzorg;2003;;;;;;
144;Mavo;Totaal bedrijfsgrootte;2002;631.1;234.1;12.66;1158.0;15.3;28.1
