ID;Perioden;WoningenBouwvergunningVerleend_1;WoningenBegonnen_2;WoningenNogNietBegonnen_3;WoningenInUitvoering_4;WoningenNogNietGereed_5;WoningenToevoegingTotaal_6;WoningenToevoegingDoorNieuwbouw_7;WoningenToevoegingAnderszins_8;Woningonttrekkingen_9;WoningenSaldovermeerdering_10;WoningvoorraadOp31December_11
0;1921;;39697.0;;39873.0;;40364;;;1895;38469;1480
1;1922;;44358.0;;39206.0;;45496;;;2035;43461;1524
2;1923;;39837.0;;38068.0;;43132;;;2629;40503;1564
3;1924;;40201.0;;34773.0;;46640;;;3616;43024;1607
4;1925;;43867.0;;28334.0;;47191;;;4477;42714;1650
5;1926;;48411.0;;26983.0;;51289;48833.0;2456.0;6926;44363;1694
6;1927;;47869.0;;24309.0;;52358;50246.0;2112.0;7668;44690;1739
7;1928;;49737.0;;26189.0;;50073;47335.0;2738.0;9371;40702;1780
8;1929;;47780.0;;25991.0;;49823;47347.0;2476.0;8669;41154;1821
9;1930;;52859.0;;27206.0;;53741;51501.0;2240.0;9210;44531;1865
10;1931;;49374.0;;25177.0;;53062;50580.0;2482.0;9992;43070;1909
11;1932;;34174.0;;17308.0;;44229;41341.0;2888.0;6928;37301;1946
12;1933;;55960.0;;28353.0;;47565;44425.0;3140.0;5939;41626;1987
13;1934;;47821.0;;22875.0;;55798;52591.0;3207.0;5858;49940;2037
14;1935;;38202.0;;15050.0;;50598;45231.0;5367.0;7605;42993;2080
15;1936;;28184.0;;12352.0;;38226;30285.0;7941.0;10887;27339;2108
16;1937;;33404.0;;16300.0;;36339;29119.0;7220.0;11362;24977;2133
17;1938;;40063.0;;17792.0;;42909;38375.0;4534.0;8778;34131;2167
18;1939;;33073.0;;13295.0;;41316;36830.0;4486.0;9108;32208;2199
19;1940;;14531.0;;9873.0;;21097;17661.0;3436.0;34158;-13061;2186
20;1941;;20099.0;;12862.0;;20028;16450.0;3578.0;5910;14118;2200
21;1942;;1843.0;;6379.0;;11783;8355.0;3428.0;5387;6396;2207
22;1943;;349.0;;3273.0;;5557;3228.0;2329.0;13587;-8030;2198
23;1944;;199.0;;838.0;;2103;675.0;1428.0;23579;-21476;2177
24;1945;;566.0;;3303.0;;1453;389.0;1064.0;29381;-27928;2149
25;1946;;9685.0;;11513.0;;5900;1593.0;4307.0;7586;-1686;2147
26;1947;;37945.0;;40290.0;;12382;9243.0;3139.0;3669;8713;2095
27;1948;;37114.0;;40812.0;;38880;36391.0;2489.0;1917;36963;2132
28;1949;;41283.0;;39181.0;;47095;42791.0;4304.0;2484;44611;2178
29;1950;;61217.0;;52719.0;;55403;47300.0;8103.0;3154;52249;2230
30;1951;;42805.0;;36603.0;;65141;58666.0;6475.0;3238;61903;2291
31;1952;;69372.0;;51260.0;;57614;54601.0;3013.0;3423;54191;2345
32;1953;66483.0;77160.0;;68472.0;;63354;59597.0;3757.0;8343;55011;2399
33;1954;61087.0;61254.0;;60709.0;;70884;68487.0;2397.0;9976;60908;2460
34;1955;69183.0;76430.0;;76122.0;;61921;60819.0;1102.0;9601;52320;2512
35;1956;85548.0;86437.0;;94000.0;;69175;68284.0;891.0;9604;59571;2583
36;1957;80841.0;84783.0;;90113.0;;89250;88397.0;853.0;9138;80112;2664
37;1958;77755.0;83396.0;;84106.0;;89960;89037.0;923.0;9476;80484;2744
38;1959;84372.0;87085.0;;87611.0;;84306;83632.0;674.0;10337;73969;2818
39;1960;85362.0;86025.0;;89812.0;;84609;83815.0;794.0;11062;73547;2872
40;1961;103191.0;101768.0;;108799.0;;83354;82687.0;667.0;12817;70537;2942
41;1962;81724.0;91880.0;;122272.0;;78876;78375.0;501.0;13163;65713;3008
42;1963;90024.0;93766.0;;136292.0;;80137;79523.0;614.0;13375;66762;3072
43;1964;116132.0;108799.0;;143517.0;;101695;100978.0;717.0;13910;87785;3160
44;1965;127651.0;120908.0;;148466.0;;115608;115027.0;581.0;14464;101144;3261
45;1966;118606.0;114536.0;;140572.0;;122136;121699.0;437.0;16901;105235;3366
46;1967;136695.0;134733.0;;145016.0;;128010;127433.0;577.0;16898;111112;3477
47;1968;130439.0;127653.0;;148880.0;;123426;122773.0;653.0;18290;105136;3582
48;1969;128635.0;121228.0;;145764.0;;123827;123117.0;710.0;18309;105518;3687
49;1970;130669.0;127302.0;;153663.0;;118035;117284.0;751.0;18544;99491;3787
50;1971;132450.0;139481.0;;153848.0;;137538;136595.0;943.0;18590;118948;3906
51;1972;162105.0;156211.0;;156872.0;;153008;152272.0;736.0;16641;136367;4042
52;1973;144234.0;141135.0;;141652.0;;156329;155412.0;917.0;15321;141008;4183
53;1974;117873.0;111960.0;;106648.0;;147240;146174.0;1066.0;17079;130161;4313
54;1975;112445.0;111385.0;;96848.0;;121919;120774.0;1145.0;14667;107252;4388
55;1976;120779.0;118926.0;;108761.0;;108212;106813.0;1399.0;14724;93488;4480
56;1977;107389.0;109125.0;;106581.0;;112570;111047.0;1523.0;14719;97851;4578
57;1978;104110.0;103008.0;;103507.0;;107306;105725.0;1581.0;13468;93838;4672
58;1979;104965.0;99343.0;;115109.0;;89558;87522.0;2036.0;14008;75550;4747
59;1980;108652.0;105672.0;;106183.0;;116368;113756.0;2612.0;15002;101366;4850
60;1981;126376.0;120286.0;;107419.0;;121582;117759.0;3823.0;14229;107353;4957
61;1982;114017.0;111375.0;;105406.0;;126261;123310.0;2951.0;12572;113689;5072
62;1983;116821.0;114273.0;49321.0;105479.0;154800.0;114397;111127.0;3270.0;11304;103093;5178
63;1984;106428.0;107544.0;37243.0;98751.0;135994.0;117387;112732.0;4655.0;11590;105797;5289
64;1985;106384.0;96794.0;42993.0;96332.0;139325.0;103355;98131.0;5224.0;10121;93234;5384
65;1986;109188.0;111482.0;37108.0;97911.0;135019.0;108887;103330.0;5557.0;11524;97363;5483
66;1987;110343.0;99143.0;44844.0;87395.0;132239.0;115729;110091.0;5638.0;12445;103284;5589
67;1988;121280.0;119248.0;43656.0;86412.0;130068.0;123523;118446.0;5077.0;12673;110850;5699
68;1989;102657.0;107588.0;34767.0;80098.0;114865.0;115577;111233.0;4344.0;12953;102624;5802
69;1990;89747.0;97274.0;24714.0;78876.0;103590.0;101399;97384.0;4015.0;11548;89851;5892
70;1991;82160.0;84798.0;19965.0;76566.0;96531.0;86914;82888.0;4026.0;12754;74160;5966
71;1992;87034.0;85140.0;20529.0;71625.0;92154.0;90461;86164.0;4297.0;11659;78802;6043
72;1993;89534.0;85997.0;22197.0;72067.0;94264.0;87669;83689.0;3980.0;12984;74685;6116
73;1994;107764.0;102929.0;25200.0;84899.0;110099.0;92327;87369.0;4958.0;15561;76766;6192
74;1995;98405.0;95918.0;26741.0;86801.0;113542.0;98759;93836.0;4923.0;13691;85068;6276
75;1996;102119.0;95817.0;31168.0;92587.0;123755.0;94582;88934.0;5648.0;11513;83069;6358
76;1997;101501.0;98002.0;33235.0;97521.0;130756.0;96645;92315.0;4330.0;12527;84118;6441
77;1998;87673.0;85871.0;33618.0;90745.0;124097.0;95477;90516.0;4961.0;13098;82379;6522
78;1999;84201.0;83400.0;32702.0;94741.0;127443.0;82576;78625.0;3951.0;14354;68222;6590
