ID;RegioS;Periode;TotaleVaarweglengte_1;Rivier_2;RivierGekanaliseerd_3;Vaargeul_4;Kanaal_5;Voorhaven_6;MeerPlassengebied_7;VaarwegenInHavens_8;VaarwegkarakterOnbekend_9;Rijk_10;Provincies_11;Waterschappen_12;Gemeenten_13;Havenbedrijven_14;ParticuliereBeheerders_15;BeheerderOnbekend_16;Hoofdtransportas_17;Hoofdvaarweg_18;OverigeVaarweg_19;EconomischBelangOnbekend_20;KleineVaartuigenEnRecreatievaart0_21;SpitsI_22;KempenaarII_23;DortmundEemskanaalIII_24;RijnHernekanaalschipEenbaksduwstIV_25;GrootRijnschipEenbaksduwstelVa_26;TweebaksduwstelLangeFormatieVb_27;TweebaksduwstelBredeFormatieVla_28;VierbaksduwstelVlb_29;ZesbaksduwstelVlc_30;BevaarbaarheidOnbekend_31;VerbindingVoorMotorbotenAM_32;VerbindingVoorZeilMotorbotenAZM_33;OntsluitingVoorMotorbotenBM_34;OntsluitingVoorZeilMotorbotenBZM_35;BeperkteOntslVoorMotorbotenCM_36;BeperkteOntslVZeilMotorbotenCZM_37;BeperkteOntslVoorMotorbotenDM_38;RecreatievaartklasseOnbekend_39
0;Nederland;2005;6183;587;822;696;2689;62;801;425;101;2548;1681;931;462;183;14;363;553;895;4417;318;1542;406;862;309;488;1121;309;111;382;346;307;545;1100;1525;510;160;1;603;1738
1;Nederland;2006;6211;590;823;698;2688;62;801;434;115;2551;1676;932;468;184;14;386;555;896;4432;327;1557;408;882;322;508;1212;310;118;401;379;112;546;1101;1526;511;161;1;615;1750
2;Nederland;2007;6215;590;823;680;2686;62;795;438;141;2526;1674;946;468;180;14;406;551;900;4403;361;1552;408;883;301;507;1213;313;116;404;371;147;547;1082;1526;511;161;1;615;1773
3;Nederland;2008;6215;590;823;695;2686;62;806;440;112;2548;1675;946;482;172;14;377;552;900;4431;332;1556;372;920;322;516;1205;313;116;404;366;125;547;1102;1526;511;161;1;615;1752
4;Nederland;2009;6214;590;823;695;2686;61;806;440;112;2552;1666;955;527;124;14;377;552;899;4431;332;1559;372;920;322;515;1206;313;116;404;366;121;547;1102;1526;511;161;1;615;1752
5;Nederland;2010;6220;590;823;695;2686;61;807;442;116;2543;1666;955;536;124;14;383;552;899;4432;336;1560;372;920;322;515;1206;313;116;404;366;126;547;1102;1526;511;161;1;616;1757
6;Nederland;2011;6219;590;823;695;2687;61;806;442;115;2543;1664;954;525;135;13;383;552;899;4432;335;1562;372;920;322;515;1204;313;116;404;366;125;564;1102;1508;511;161;1;616;1756
7;Nederland;2012;6237;590;823;695;2687;61;806;446;129;2535;1672;954;524;135;13;404;552;899;4431;354;1551;371;893;318;515;1127;236;116;404;366;340;564;1102;1508;511;161;1;615;1775
8;Nederland;2013;6242;591;823;693;2681;61;750;444;199;2522;1672;942;510;135;13;446;552;899;4419;371;1553;371;893;318;514;1124;236;116;388;366;362;564;1059;1507;512;161;1;588;1850
9;Nederland;2014;6251;591;823;696;2687;62;804;448;140;2659;1555;954;531;135;13;403;553;900;4433;366;1553;371;893;317;515;1126;233;116;404;369;352;564;1070;1507;512;161;1;615;1819
10;Nederland;2015;6261;591;823;696;2687;62;804;448;150;2659;1555;954;531;135;13;413;553;900;4433;376;1553;371;893;317;515;1126;233;116;404;369;362;564;1070;1507;512;161;1;615;1829
11;Nederland;2016;6256;591;823;696;2674;61;804;436;169;2762;1459;954;529;135;13;403;553;900;4430;374;1553;371;876;317;530;1124;233;116;404;369;362;564;1069;1507;512;161;1;615;1826
12;Nederland;2017;6257;591;823;696;2674;61;804;436;170;2732;1489;954;533;136;13;399;553;897;4441;367;1553;371;876;317;538;1123;233;116;404;369;356;564;1069;1507;512;161;1;615;1827
13;Nederland;2018;6297;591;819;673;2541;56;790;553;273;2728;1487;953;531;135;12;449;552;897;4353;495;1531;369;814;317;537;1121;233;116;404;368;487;564;1068;1504;512;161;1;596;1892
14;Noord-Nederland (LD);2005;1616;0;168;55;1070;2;237;36;49;159;938;283;164;0;0;72;0;126;1467;23;871;178;117;74;140;131;84;0;0;0;23;25;337;287;161;103;0;402;302
15;Noord-Nederland (LD);2006;1632;0;168;55;1070;2;237;36;62;159;933;283;170;0;0;87;0;126;1479;27;883;178;119;76;146;134;84;0;0;0;12;25;337;287;161;103;0;414;306
