ID;Bedrijfstakken;Model;Perioden;Productie_1;InterneLeveringen_2;GeconsolideerdeProductieMlnEuro_3;GeconsolideerdeProductie2000100_4;IntermediairVerbruik_5;InterneLeveringen_6;GeconsolideerdIntermediairVerbruik_7;GeconsolideerdVerbruikEnergie_8;GeconsolideerdVerbruikMaterialen_9;GeconsolideerdVerbruikDiensten_10;GeconsolideerdIntermediairVerbruik_11;GeconsolideerdVerbruikEnergie_12;GeconsolideerdVerbruikMaterialen_13;GeconsolideerdVerbruikDiensten_14;ToegevoegdeWaardeMlnEuro_15;ToegevoegdeWaarde2000100_16;GewerkteUren_17;BeloningVanArbeidMlnEuro_18;BeloningVanArbeid2000100_19;KapitaaldienstenMlnEuro_20;Kapitaaldiensten2000100_21;KapitaaldienstenGewerktUurEuro_22;KapitaaldienstenGewerktUur2000100_23;TotaleInputKLEMS_24;TotaleInputKapitaalEnArbeid_25;TotaleInputKLEMS_26;TotaleInputKapitaalEnArbeid_27;Multifactorproductiviteitsontwikkeling_28;Arbeidsproductiviteitsontwikkeling_29;Multifactorproductiviteit2000100_30;Arbeidsproductiviteit2000100_31;Multifactorproductiviteitsontwikkeling_32;Arbeidsproductiviteitsontwikkeling_33;Multifactorproductiviteit2000100_34;Arbeidsproductiviteit2000100_35;GeconsolideerdeProductie_36;BijdrageArbeid_37;BijdrageKapitaal_38;BijdrageVerbruik_39;BijdrageEnergie_40;BijdrageMaterialen_41;BijdrageDiensten_42;BijdrageMultifactorproductiviteit_43;ToegevoegdeWaarde_44;BijdrageArbeid_45;BijdrageKapitaal_46;BijdrageMultifactorproductiviteit_47
0;0000g Commerciële sector;Officiële CBS berekeningen;1995;486515.0;173001.0;313514.0;79.1;268895.0;173001.0;95894.0;8373.0;51387.0;36134.0;75.9;89.3;80.4;68.1;217620.0;80.6;8947.0;146653.0;88.7;63734.0;80.7;7.1;91.6;306281.0;210387.0;82.8;86.5;;;95.5;89.7;;;93.2;91.4;;;;;;;;;;;;
1;0000g Commerciële sector;Officiële CBS berekeningen;1996;515659.0;187130.0;328529.0;81.9;288980.0;187130.0;101850.0;10391.0;52593.0;38866.0;78.9;92.0;82.9;71.9;226679.0;83.4;9219.0;153004.0;90.8;61274.0;83.5;6.6;91.9;316128.0;214278.0;85.4;88.7;0.6;0.6;96.0;90.2;0.8;0.4;93.9;91.8;3.7;1.1;0.7;1.3;0.1;0.5;0.7;0.6;3.5;1.6;1.0;0.8
2;0000g Commerciële sector;Officiële CBS berekeningen;1997;554309.0;199751.0;354558.0;86.6;311873.0;199751.0;112122.0;11378.0;57418.0;43326.0;85.2;94.7;89.0;79.1;242436.0;87.3;9478.0;162103.0;93.3;64754.0;87.5;6.8;93.7;338979.0;226857.0;89.5;91.8;0.8;2.8;96.8;92.7;1.3;1.9;95.2;93.5;5.7;1.4;0.9;2.5;0.1;1.2;1.2;0.9;4.7;2.0;1.4;1.3
3;0000g Commerciële sector;Officiële CBS berekeningen;1998;583376.0;211827.0;371549.0;90.7;327594.0;211827.0;115767.0;8530.0;60130.0;47107.0;90.0;95.1;93.7;85.1;255782.0;91.0;9673.0;173330.0;95.3;63993.0;89.9;6.6;94.3;353089.0;237322.0;92.5;93.8;1.3;2.6;98.0;95.1;2.0;2.1;97.0;95.5;4.7;1.0;0.5;1.9;0.0;0.9;1.0;1.3;4.2;1.5;0.8;2.0
4;0000g Commerciële sector;Officiële CBS berekeningen;1999;620139.0;226006.0;394133.0;95.1;348518.0;226006.0;122512.0;10723.0;60538.0;51251.0;93.7;92.5;96.4;90.9;271621.0;95.7;9924.0;184663.0;97.8;61417.0;94.9;6.2;97.0;368592.0;246080.0;95.9;97.1;1.1;2.2;99.1;97.2;1.6;2.5;98.6;97.8;4.8;1.3;1.0;1.3;-0.1;0.5;0.9;1.1;5.1;2.0;1.5;1.6
5;0000g Commerciële sector;Officiële CBS berekeningen;2000;689350.0;250303.0;439047.0;100.0;393923.0;250303.0;143620.0;19400.0;66273.0;57947.0;100.0;100.0;100.0;100.0;295427.0;100.0;10147.0;197888.0;100.0;67569.0;100.0;6.7;100.0;409076.0;265456.0;100.0;100.0;0.9;2.9;100.0;100.0;1.5;2.2;100.0;100.0;5.2;1.1;0.9;2.2;0.2;0.6;1.4;1.0;4.5;1.7;1.3;1.5
6;0000g Commerciële sector;Officiële CBS berekeningen;2001;726890.0;263997.0;462893.0;101.9;412091.0;263997.0;148094.0;19020.0;65983.0;63091.0;102.3;105.2;98.6;105.5;314799.0;101.8;10257.0;211114.0;101.3;73483.0;104.4;7.2;103.3;432691.0;284597.0;102.2;102.1;-0.2;0.9;99.8;100.9;-0.3;0.7;99.7;100.7;1.9;0.6;0.7;0.8;0.2;-0.2;0.8;-0.2;1.8;1.0;1.1;-0.3
7;0000g Commerciële sector;Officiële CBS berekeningen;2002;737189.0;261018.0;476171.0;101.8;407930.0;261018.0;146912.0;17855.0;64967.0;64090.0;101.9;104.6;99.0;104.3;329259.0;101.8;10143.0;220790.0;100.2;77785.0;106.5;7.7;106.5;445486.0;298574.0;101.8;101.8;0.2;1.0;100.0;101.9;0.3;1.1;100.0;101.8;-0.1;-0.5;0.3;-0.1;0.0;0.1;-0.2;0.2;0.0;-0.8;0.5;0.3
8;0000g Commerciële sector;Officiële CBS berekeningen;2003;743775.0;260617.0;483158.0;101.3;405562.0;260617.0;144945.0;18121.0;62012.0;64812.0;99.5;105.4;95.5;102.2;338213.0;102.1;9983.0;227123.0;98.9;78378.0;106.5;7.9;108.3;450446.0;305502.0;100.4;100.8;0.9;1.1;100.9;102.9;1.2;1.9;101.2;103.7;-0.5;-0.6;0.0;-0.8;0.0;-0.5;-0.3;0.9;0.3;-1.0;0.0;1.2
9;0000g Commerciële sector;Officiële CBS berekeningen;2004;769942.0;269844.0;500098.0;104.0;423276.0;269844.0;153432.0;21483.0;65368.0;66581.0;101.8;108.4;99.1;102.9;346666.0;105.0;9916.0;232527.0;97.7;79121.0;108.4;8.0;110.9;465080.0;311648.0;100.8;100.4;2.3;3.4;103.2;106.4;3.4;3.6;104.6;107.5;2.7;-0.6;0.3;0.7;0.1;0.5;0.1;2.3;2.9;-0.9;0.4;3.3
