ID;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3
0;2006 1e kwartaal;  98,2   ;       ;     
1;2006 2e kwartaal;  100,1  ;  1,9  ;     
2;2006 3e kwartaal;  101,1  ;  1,0  ;     
3;2006 4e kwartaal;  100,5  ; -0,6  ;     
4;2006 jaargemiddelde;  100,0  ;       ;     
5;2007 1e kwartaal;  102,1  ;  1,6  ;  4,0
6;2007 2e kwartaal;  104,1  ;  2,0  ;  4,0
7;2007 3e kwartaal;  104,2  ;  0,1  ;  3,1
8;2007 4e kwartaal;  104,0  ; -0,2  ;  3,5
9;2007 jaargemiddelde;  103,6  ;       ;  3,6
