ID;RegioS;SamenstellingVanHetHuishouden;Totaal_1;Totaal_2;HuishoudensMetEenLaagInkomen_3;HuishOnderOfRondHetSociaalMinimum_4;Totaal_5;HuishMetEenLangdurigLaagInkomen_6;HuishLangdurigOnderOfRondSocMin_7
0;Nederland;Totaal particulier huishouden;6753.4;6501.9;10.0;9.0;5754.4;3.0;3.0
1;Nederland;Eenpersoonshuishouden;2153.9;2036.4;16.0;15.0;1810.7;5.0;5.0
2;Nederland;Paar zonder kinderen;1956.6;1932.5;4.0;4.0;1775.2;1.0;1.0
3;Nederland;Paar met kinderen;2003.1;1943.8;6.0;4.0;1700.9;2.0;1.0
4;Nederland;Eenoudergezin;405.9;369.6;25.0;26.0;293.9;8.0;8.0
5;Noord-Nederland (LD);Totaal particulier huishouden;701.1;677.5;11.0;9.0;603.8;3.0;3.0
6;Noord-Nederland (LD);Eenpersoonshuishouden;216.0;205.7;18.0;16.0;184.8;6.0;5.0
7;Noord-Nederland (LD);Paar zonder kinderen;220.5;217.8;4.0;4.0;200.7;1.0;1.0
8;Noord-Nederland (LD);Paar met kinderen;208.2;202.0;7.0;4.0;176.3;2.0;1.0
9;Noord-Nederland (LD);Eenoudergezin;38.2;34.9;28.0;29.0;28.1;8.0;9.0
10;Oost-Nederland (LD);Totaal particulier huishouden;1362.7;1317.6;9.0;8.0;1173.9;2.0;2.0
11;Oost-Nederland (LD);Eenpersoonshuishouden;387.3;367.9;16.0;14.0;328.7;4.0;4.0
12;Oost-Nederland (LD);Paar zonder kinderen;402.4;398.2;4.0;4.0;368.4;1.0;1.0
13;Oost-Nederland (LD);Paar met kinderen;448.9;436.0;6.0;4.0;383.7;1.0;1.0
14;Oost-Nederland (LD);Eenoudergezin;73.7;67.5;24.0;26.0;53.5;7.0;7.0
15;West-Nederland (LD);Totaal particulier huishouden;3238.8;3106.5;10.0;9.0;2725.4;3.0;3.0
16;West-Nederland (LD);Eenpersoonshuishouden;1133.2;1066.5;16.0;14.0;941.4;6.0;5.0
17;West-Nederland (LD);Paar zonder kinderen;879.3;867.7;4.0;4.0;791.2;1.0;1.0
18;West-Nederland (LD);Paar met kinderen;894.2;869.0;6.0;4.0;756.1;2.0;1.0
19;West-Nederland (LD);Eenoudergezin;216.4;195.9;25.0;26.0;155.1;8.0;9.0
20;Zuid-Nederland (LD);Totaal particulier huishouden;1450.7;1400.3;9.0;8.0;1251.2;3.0;2.0
21;Zuid-Nederland (LD);Eenpersoonshuishouden;417.3;396.2;16.0;14.0;355.8;5.0;5.0
22;Zuid-Nederland (LD);Paar zonder kinderen;454.5;448.8;4.0;4.0;414.9;1.0;1.0
23;Zuid-Nederland (LD);Paar met kinderen;451.8;436.8;6.0;3.0;384.7;1.0;1.0
24;Zuid-Nederland (LD);Eenoudergezin;77.6;71.4;25.0;26.0;57.2;8.0;8.0
25;Groningen (PV);Totaal particulier huishouden;239.8;230.6;12.0;10.0;203.3;4.0;3.0
26;Groningen (PV);Eenpersoonshuishouden;82.1;77.8;19.0;17.0;68.7;7.0;6.0
27;Groningen (PV);Paar zonder kinderen;72.6;71.5;4.0;4.0;65.1;1.0;1.0
28;Groningen (PV);Paar met kinderen;64.8;62.7;8.0;5.0;54.7;2.0;1.0
29;Groningen (PV);Eenoudergezin;13.9;12.7;29.0;31.0;10.3;9.0;10.0
30;Friesland (PV);Totaal particulier huishouden;263.0;254.2;11.0;9.0;226.4;3.0;3.0
31;Friesland (PV);Eenpersoonshuishouden;79.1;75.3;18.0;17.0;67.8;6.0;5.0
32;Friesland (PV);Paar zonder kinderen;82.0;80.9;4.0;4.0;74.4;1.0;1.0
33;Friesland (PV);Paar met kinderen;81.3;79.0;7.0;4.0;69.0;2.0;1.0
34;Friesland (PV);Eenoudergezin;14.5;13.2;28.0;29.0;10.4;8.0;8.0
35;Drenthe (PV);Totaal particulier huishouden;198.3;192.7;9.0;8.0;174.1;2.0;2.0
36;Drenthe (PV);Eenpersoonshuishouden;54.8;52.6;15.0;14.0;48.2;4.0;4.0
37;Drenthe (PV);Paar zonder kinderen;65.9;65.4;4.0;4.0;61.2;1.0;1.0
38;Drenthe (PV);Paar met kinderen;62.0;60.2;7.0;4.0;52.7;2.0;1.0
39;Drenthe (PV);Eenoudergezin;9.8;9.1;25.0;28.0;7.4;7.0;8.0
40;Overijssel (PV);Totaal particulier huishouden;437.6;422.9;9.0;8.0;379.3;3.0;2.0
41;Overijssel (PV);Eenpersoonshuishouden;124.9;118.9;16.0;15.0;107.3;5.0;4.0
42;Overijssel (PV);Paar zonder kinderen;130.3;128.9;4.0;4.0;119.4;1.0;1.0
43;Overijssel (PV);Paar met kinderen;144.4;139.9;6.0;4.0;123.6;2.0;1.0
44;Overijssel (PV);Eenoudergezin;22.0;20.2;25.0;26.0;16.3;7.0;7.0
45;Flevoland (PV);Totaal particulier huishouden;141.7;135.8;10.0;9.0;118.1;2.0;2.0
46;Flevoland (PV);Eenpersoonshuishouden;36.2;33.8;17.0;15.0;29.9;5.0;5.0
47;Flevoland (PV);Paar zonder kinderen;37.3;36.9;4.0;4.0;33.5;1.0;1.0
48;Flevoland (PV);Paar met kinderen;51.8;50.1;7.0;4.0;43.2;1.0;1.0
49;Flevoland (PV);Eenoudergezin;10.9;9.7;26.0;27.0;7.6;8.0;8.0
50;Gelderland (PV);Totaal particulier huishouden;783.4;758.9;9.0;7.0;676.5;2.0;2.0
51;Gelderland (PV);Eenpersoonshuishouden;226.3;215.2;15.0;13.0;191.6;4.0;4.0
52;Gelderland (PV);Paar zonder kinderen;234.8;232.5;3.0;3.0;215.5;1.0;1.0
53;Gelderland (PV);Paar met kinderen;252.7;246.1;6.0;3.0;216.9;1.0;0.0
54;Gelderland (PV);Eenoudergezin;40.7;37.6;24.0;25.0;29.5;6.0;7.0
55;Utrecht (PV);Totaal particulier huishouden;478.1;462.3;8.0;7.0;407.0;2.0;2.0
56;Utrecht (PV);Eenpersoonshuishouden;154.9;146.8;13.0;12.0;129.0;4.0;4.0
57;Utrecht (PV);Paar zonder kinderen;133.9;132.7;3.0;3.0;120.4;1.0;1.0
58;Utrecht (PV);Paar met kinderen;146.8;143.4;6.0;3.0;126.2;1.0;0.0
59;Utrecht (PV);Eenoudergezin;26.3;24.2;22.0;23.0;19.3;7.0;7.0
60;Noord-Holland (PV);Totaal particulier huishouden;1142.5;1094.1;11.0;10.0;954.4;4.0;3.0
61;Noord-Holland (PV);Eenpersoonshuishouden;430.5;405.2;17.0;15.0;354.8;6.0;6.0
62;Noord-Holland (PV);Paar zonder kinderen;296.6;292.2;4.0;4.0;264.8;1.0;1.0
63;Noord-Holland (PV);Paar met kinderen;294.3;286.2;7.0;4.0;248.3;2.0;1.0
64;Noord-Holland (PV);Eenoudergezin;81.2;73.4;25.0;26.0;58.7;8.0;8.0
65;Zuid-Holland (PV);Totaal particulier huishouden;1458.2;1396.5;10.0;9.0;1225.4;3.0;3.0
66;Zuid-Holland (PV);Eenpersoonshuishouden;499.6;469.1;16.0;15.0;415.8;6.0;6.0
67;Zuid-Holland (PV);Paar zonder kinderen;396.2;390.9;4.0;4.0;357.8;1.0;1.0
68;Zuid-Holland (PV);Paar met kinderen;406.4;394.5;7.0;4.0;342.0;2.0;1.0
69;Zuid-Holland (PV);Eenoudergezin;100.7;90.8;26.0;27.0;71.1;9.0;10.0
70;Zeeland (PV);Totaal particulier huishouden;160.0;153.5;9.0;8.0;138.6;2.0;2.0
71;Zeeland (PV);Eenpersoonshuishouden;48.3;45.5;15.0;14.0;41.8;4.0;4.0
72;Zeeland (PV);Paar zonder kinderen;52.6;51.8;4.0;4.0;48.2;1.0;1.0
73;Zeeland (PV);Paar met kinderen;46.6;44.8;5.0;3.0;39.5;1.0;0.0
74;Zeeland (PV);Eenoudergezin;8.2;7.5;27.0;29.0;5.9;6.0;8.0
75;Noord-Brabant (PV);Totaal particulier huishouden;975.9;945.8;8.0;7.0;847.5;2.0;2.0
76;Noord-Brabant (PV);Eenpersoonshuishouden;276.4;262.8;15.0;14.0;236.0;5.0;4.0
77;Noord-Brabant (PV);Paar zonder kinderen;303.7;300.8;3.0;3.0;279.1;1.0;1.0
78;Noord-Brabant (PV);Paar met kinderen;311.6;303.5;5.0;3.0;268.6;1.0;1.0
79;Noord-Brabant (PV);Eenoudergezin;50.5;46.5;24.0;25.0;37.4;7.0;7.0
80;Limburg (PV);Totaal particulier huishouden;474.9;454.5;10.0;9.0;403.8;3.0;3.0
81;Limburg (PV);Eenpersoonshuishouden;140.9;133.4;18.0;16.0;119.8;6.0;6.0
82;Limburg (PV);Paar zonder kinderen;150.8;148.0;4.0;4.0;135.8;1.0;1.0
83;Limburg (PV);Paar met kinderen;140.2;133.3;7.0;4.0;116.1;2.0;1.0
84;Limburg (PV);Eenoudergezin;27.1;24.9;26.0;29.0;19.8;9.0;10.0
85;Oost-Groningen (CR);Totaal particulier huishouden;64.7;62.2;11.0;9.0;56.2;3.0;2.0
86;Oost-Groningen (CR);Eenpersoonshuishouden;18.3;17.3;18.0;17.0;16.1;5.0;5.0
87;Oost-Groningen (CR);Paar zonder kinderen;21.6;21.3;5.0;4.0;19.8;1.0;1.0
88;Oost-Groningen (CR);Paar met kinderen;19.5;18.7;8.0;4.0;16.3;2.0;1.0
89;Oost-Groningen (CR);Eenoudergezin;3.5;3.1;28.0;28.0;2.6;7.0;7.0
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;21.5;20.9;11.0;10.0;18.9;3.0;3.0
91;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.3;6.0;18.0;16.0;5.5;6.0;6.0
92;Delfzijl en omgeving (CR);Paar zonder kinderen;7.1;7.1;4.0;4.0;6.7;;
93;Delfzijl en omgeving (CR);Paar met kinderen;6.2;6.0;9.0;5.0;5.3;3.0;
94;Delfzijl en omgeving (CR);Eenoudergezin;1.2;1.2;35.0;38.0;0.9;11.0;12.0
95;Overig Groningen (CR);Totaal particulier huishouden;153.5;147.5;12.0;11.0;128.2;4.0;4.0
96;Overig Groningen (CR);Eenpersoonshuishouden;57.5;54.4;20.0;17.0;47.1;8.0;7.0
97;Overig Groningen (CR);Paar zonder kinderen;43.9;43.1;4.0;4.0;38.6;1.0;1.0
98;Overig Groningen (CR);Paar met kinderen;39.1;38.0;8.0;5.0;33.1;2.0;1.0
99;Overig Groningen (CR);Eenoudergezin;9.2;8.4;29.0;31.0;6.8;10.0;11.0
100;Noord-Friesland (CR);Totaal particulier huishouden;135.5;130.6;11.0;10.0;114.8;3.0;3.0
101;Noord-Friesland (CR);Eenpersoonshuishouden;42.3;40.1;19.0;17.0;35.5;6.0;5.0
102;Noord-Friesland (CR);Paar zonder kinderen;41.1;40.5;5.0;4.0;36.8;1.0;1.0
103;Noord-Friesland (CR);Paar met kinderen;41.3;40.1;7.0;4.0;34.7;2.0;1.0
104;Noord-Friesland (CR);Eenoudergezin;7.6;7.0;29.0;30.0;5.5;8.0;10.0
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.2;41.8;10.0;9.0;37.8;3.0;3.0
106;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.9;12.3;18.0;17.0;11.3;6.0;6.0
