ID;Persoonskenmerken;Perioden;VertrouwenInVerkiezingen_1;Stemcomputer_2;PapierenStembiljet_3;PerTelefoon_4;PerComputerThuis_5;PerPost_6;Kerken_7;Leger_8;Rechters_9;Pers_10;Politie_11;Ambtenaren_12;GroteBedrijven_13;EuropeseUnie_14;NAVO_15;TweedeKamer_16;VertrouwenInAndereMensen_17
0;10000;2006;74.0;80.0;74.0;11.0;31.0;15.0;43.0;61.0;72.0;34.0;71.0;38.0;35.0;41.0;55.0;60.0;61.0
1;10000;2010;72.0;64.0;76.0;;;;34.0;74.0;70.0;33.0;70.0;51.0;47.0;45.0;66.0;59.0;57.0
2;10000;2012;69.0;;;;;;34.0;65.0;73.0;27.0;68.0;40.0;40.0;43.0;58.0;53.0;55.0
3;15400;2006;78.0;80.0;75.0;13.0;34.0;19.0;44.0;64.0;76.0;35.0;68.0;37.0;37.0;38.0;55.0;61.0;62.0
4;15400;2010;77.0;68.0;78.0;;;;32.0;75.0;71.0;34.0;67.0;51.0;46.0;43.0;68.0;60.0;58.0
5;15400;2012;74.0;;;;;;32.0;66.0;73.0;30.0;68.0;40.0;41.0;44.0;61.0;54.0;56.0
6;15450;2006;70.0;80.0;74.0;10.0;28.0;12.0;41.0;58.0;67.0;33.0;73.0;38.0;34.0;44.0;55.0;60.0;59.0
7;15450;2010;67.0;61.0;74.0;;;;36.0;74.0;69.0;32.0;72.0;52.0;47.0;46.0;64.0;58.0;56.0
8;15450;2012;64.0;;;;;;35.0;64.0;74.0;25.0;69.0;39.0;39.0;43.0;55.0;51.0;53.0
9;20930;2006;66.0;79.0;55.0;11.0;22.0;11.0;47.0;76.0;78.0;25.0;69.0;38.0;51.0;68.0;70.0;69.0;59.0
10;20930;2010;70.0;59.0;69.0;;;;40.0;90.0;79.0;31.0;67.0;59.0;64.0;69.0;79.0;66.0;59.0
11;20930;2012;63.0;;;;;;34.0;76.0;80.0;27.0;65.0;46.0;51.0;57.0;64.0;59.0;50.0
12;20940;2006;71.0;73.0;66.0;13.0;34.0;12.0;39.0;70.0;84.0;32.0;70.0;38.0;42.0;46.0;57.0;61.0;60.0
13;20940;2010;71.0;65.0;70.0;;;;38.0;80.0;78.0;35.0;69.0;52.0;46.0;51.0;74.0;59.0;58.0
14;20940;2012;74.0;;;;;;29.0;75.0;86.0;27.0;69.0;42.0;40.0;39.0;66.0;50.0;59.0
