ID;VerplaatsingenVanBedrijfsactiviteiten;Landengroepen;TotaalVerplaatsteActiviteiten_1;VerplaatsteHoofdactiviteiten_2;TotaalVerplaatsteHulpactiviteiten_3;DistributieEnLogistiek_4;MarketingVerkoopEnAftersales_5;ICTDiensten_6;AdministratieveEnStaffuncties_7;ConstructieEnGerelateerdeTechnische_8;ResearchDevelopment_9;AndereFuncties_10;TotaalVerplaatsteActiviteiten_11;VerplaatsteHoofdactiviteiten_12;TotaalVerplaatsteNevenactiviteiten_13;DistributieEnLogistiek_14;MarketingVerkoopEnAftersales_15;ICTDiensten_16;AdministratieveEnStaffuncties_17;ConstructieEnGerelateerdeTechnische_18;ResearchDevelopment_19;AndereFuncties_20
0;1;0;1405;560;845;195;103;197;170;34;103;42;100;100;100;100;100;100;100;100;100;100
1;1;Europese Unie;900;325;575;181;69;118;102;22;48;35;64;58;68;93;67;60;60;65;47;83
2;1;EU-15;505;124;381;115;55;106;58;4;35;8;36;22;45;59;53;54;34;12;34;19
3;1;Nieuwe EU-lidstaten vanaf 2004;395;201;194;66;14;12;44;18;13;27;28;36;23;34;14;6;26;53;13;64
4;1;Buiten EU;506;235;271;14;34;79;68;12;55;7;36;42;32;7;33;40;40;35;53;17
5;1;Azië;356;174;182;8;13;48;50;12;45;4;25;31;22;4;13;24;29;35;44;10
6;1;Overige landen;150;61;89;6;21;31;18;0;10;3;11;11;11;3;20;16;11;0;10;7
7;2;0;398;191;207;30;46;38;51;10;19;17;100;100;100;100;100;100;100;100;100;100
8;2;Europese Unie;143;79;64;8;12;8;38;0;0;0;36;41;31;27;26;21;75;0;0;0
9;2;EU-15;49;18;31;8;6;2;16;0;0;0;12;9;15;27;13;5;31;0;0;0
10;2;Nieuwe EU-lidstaten vanaf 2004;94;61;33;0;6;6;22;0;0;0;24;32;16;0;13;16;43;0;0;0
11;2;Buiten EU;255;112;143;22;34;30;13;10;19;17;64;59;69;73;74;79;25;100;100;100
12;2;Azië;181;80;101;17;22;14;10;8;15;17;45;42;49;57;48;37;20;80;79;100
13;2;Overige landen;74;32;42;5;12;16;3;2;4;0;19;17;20;17;26;42;6;20;21;0
