ID;BedrijfskenmerkenSBI1993;Perioden;Ziekteverzuimpercentage_1
0;A t/m O Totaal SBI 1993;2004 1e kwartaal;4.8
1;A t/m O Totaal SBI 1993;2004 2e kwartaal;4.2
2;A t/m O Totaal SBI 1993;2004 3e kwartaal;3.9
3;A t/m O Totaal SBI 1993;2004 4e kwartaal;4.5
4;A t/m O Totaal SBI 1993;2004;4.3
5;A t/m O Totaal SBI 1993;2005 1e kwartaal;4.8
6;A t/m O Totaal SBI 1993;2005 2e kwartaal;4.2
7;A t/m O Totaal SBI 1993;2005 3e kwartaal;3.9
8;A t/m O Totaal SBI 1993;2005 4e kwartaal;4.5
9;A t/m O Totaal SBI 1993;2005;4.3
10;A t/m O Totaal SBI 1993;2006 1e kwartaal;4.9
11;A t/m O Totaal SBI 1993;2006 2e kwartaal;4.3
12;A t/m O Totaal SBI 1993;2006 3e kwartaal;4.0
13;A t/m O Totaal SBI 1993;2006 4e kwartaal;4.6
14;A t/m O Totaal SBI 1993;2006;4.4
15;A t/m O Totaal SBI 1993;2007 1e kwartaal;4.9
16;A t/m O Totaal SBI 1993;2007 2e kwartaal;4.3
17;A t/m O Totaal SBI 1993;2007 3e kwartaal;4.0
18;A t/m O Totaal SBI 1993;2007 4e kwartaal;4.6
19;A t/m O Totaal SBI 1993;2007;4.4
20;A t/m O Totaal SBI 1993;2008 1e kwartaal;4.6
21;A t/m O Totaal SBI 1993;2008 2e kwartaal;4.0
22;A t/m O Totaal SBI 1993;2008 3e kwartaal;3.7
23;A t/m O Totaal SBI 1993;2008 4e kwartaal;4.2
24;A t/m O Totaal SBI 1993;2008;4.1
25;A t/m O Totaal SBI 1993;2009 1e kwartaal;4.5
26;A t/m O Totaal SBI 1993;2009 2e kwartaal;3.8
27;A t/m O Totaal SBI 1993;2009 3e kwartaal;3.7
28;A t/m O Totaal SBI 1993;2009 4e kwartaal;4.4
29;A t/m O Totaal SBI 1993;2009;4.1
30;A t/m O Totaal SBI 1993;2010 1e kwartaal;4.4
31;A t/m O Totaal SBI 1993;2010 2e kwartaal;4.0
32;A t/m O Totaal SBI 1993;2010 3e kwartaal;3.9
33;A t/m O Totaal SBI 1993;2010 4e kwartaal;4.4
34;A t/m O Totaal SBI 1993;2010;4.2
35;A t/m O Totaal SBI 1993;2011 1e kwartaal;4.6
36;A t/m O Totaal SBI 1993;2011 2e kwartaal;4.1
37;A t/m O Totaal SBI 1993;2011 3e kwartaal;3.8
38;A, B Landbouw, bosbouw en visserij;2004 1e kwartaal;
39;A, B Landbouw, bosbouw en visserij;2004 2e kwartaal;
40;A, B Landbouw, bosbouw en visserij;2004 3e kwartaal;
41;A, B Landbouw, bosbouw en visserij;2004 4e kwartaal;
42;A, B Landbouw, bosbouw en visserij;2004;2.7
43;A, B Landbouw, bosbouw en visserij;2005 1e kwartaal;
44;A, B Landbouw, bosbouw en visserij;2005 2e kwartaal;
45;A, B Landbouw, bosbouw en visserij;2005 3e kwartaal;
46;A, B Landbouw, bosbouw en visserij;2005 4e kwartaal;
47;A, B Landbouw, bosbouw en visserij;2005;2.8
48;A, B Landbouw, bosbouw en visserij;2006 1e kwartaal;
49;A, B Landbouw, bosbouw en visserij;2006 2e kwartaal;
50;A, B Landbouw, bosbouw en visserij;2006 3e kwartaal;
51;A, B Landbouw, bosbouw en visserij;2006 4e kwartaal;
52;A, B Landbouw, bosbouw en visserij;2006;2.6
53;A, B Landbouw, bosbouw en visserij;2007 1e kwartaal;
54;A, B Landbouw, bosbouw en visserij;2007 2e kwartaal;
55;A, B Landbouw, bosbouw en visserij;2007 3e kwartaal;
56;A, B Landbouw, bosbouw en visserij;2007 4e kwartaal;
57;A, B Landbouw, bosbouw en visserij;2007;2.5
58;A, B Landbouw, bosbouw en visserij;2008 1e kwartaal;2.4
59;A, B Landbouw, bosbouw en visserij;2008 2e kwartaal;2.0
60;A, B Landbouw, bosbouw en visserij;2008 3e kwartaal;2.6
61;A, B Landbouw, bosbouw en visserij;2008 4e kwartaal;3.0
62;A, B Landbouw, bosbouw en visserij;2008;2.5
63;A, B Landbouw, bosbouw en visserij;2009 1e kwartaal;2.8
64;A, B Landbouw, bosbouw en visserij;2009 2e kwartaal;2.8
65;A, B Landbouw, bosbouw en visserij;2009 3e kwartaal;2.8
66;A, B Landbouw, bosbouw en visserij;2009 4e kwartaal;2.9
67;A, B Landbouw, bosbouw en visserij;2009;2.8
68;A, B Landbouw, bosbouw en visserij;2010 1e kwartaal;2.6
69;A, B Landbouw, bosbouw en visserij;2010 2e kwartaal;2.6
70;A, B Landbouw, bosbouw en visserij;2010 3e kwartaal;2.6
71;A, B Landbouw, bosbouw en visserij;2010 4e kwartaal;2.6
72;A, B Landbouw, bosbouw en visserij;2010;2.6
73;A, B Landbouw, bosbouw en visserij;2011 1e kwartaal;3.4
74;A, B Landbouw, bosbouw en visserij;2011 2e kwartaal;2.6
75;A, B Landbouw, bosbouw en visserij;2011 3e kwartaal;2.7
76;C t/m F Nijverheid en energievoorziening;2004 1e kwartaal;
77;C t/m F Nijverheid en energievoorziening;2004 2e kwartaal;
78;C t/m F Nijverheid en energievoorziening;2004 3e kwartaal;
79;C t/m F Nijverheid en energievoorziening;2004 4e kwartaal;
80;C t/m F Nijverheid en energievoorziening;2004;5.1
81;C t/m F Nijverheid en energievoorziening;2005 1e kwartaal;
82;C t/m F Nijverheid en energievoorziening;2005 2e kwartaal;
83;C t/m F Nijverheid en energievoorziening;2005 3e kwartaal;
84;C t/m F Nijverheid en energievoorziening;2005 4e kwartaal;
85;C t/m F Nijverheid en energievoorziening;2005;5.2
86;C t/m F Nijverheid en energievoorziening;2006 1e kwartaal;
87;C t/m F Nijverheid en energievoorziening;2006 2e kwartaal;
88;C t/m F Nijverheid en energievoorziening;2006 3e kwartaal;
89;C t/m F Nijverheid en energievoorziening;2006 4e kwartaal;
90;C t/m F Nijverheid en energievoorziening;2006;5.2
91;C t/m F Nijverheid en energievoorziening;2007 1e kwartaal;
92;C t/m F Nijverheid en energievoorziening;2007 2e kwartaal;
93;C t/m F Nijverheid en energievoorziening;2007 3e kwartaal;
94;C t/m F Nijverheid en energievoorziening;2007 4e kwartaal;
