ID;AangebodenDiensten;SoortCijfers;Perioden;TotaalAanbod_1;TotaalBedrijven_2;TotaalHorecabedrijven_3;Accommodatiebedrijven_4;RestaurantsEnCafes_5;TotaalVervoersbedrijven_6;Vervoersbedrijven_7;ReisbureausED_8;TotaalCultuurSportEnRecreatie_9;CultureleInstellingen_10;OverigeRecreatiebedrijven_11;OverigeBedrijven_12;AanbodViaInvoer_13;AanbodViaProductgebBelEnSubs_14;AanbodViaHandelsVervoersmarges_15
0;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2001;29998;26029;11522;3607;7921;5964;5053;909;5059;2518;2540;3526;1857;172;1954
1;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2002;29661;25671;11087;3530;7562;5998;5069;928;5130;2552;2577;3488;1855;189;1953
2;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2003;28937;25024;10470;3393;7080;5956;4990;966;5134;2534;2599;3481;1831;164;1928
3;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2004;29280;25367;10442;3462;6981;6174;5194;980;5146;2552;2594;3610;1835;159;1932
4;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2005;29832;25696;10514;3551;6963;6354;5390;964;5164;2560;2604;3664;1917;200;2019
5;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2006;30878;26552;10792;3658;7134;6538;5580;959;5405;2679;2726;3815;2006;205;2113
6;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2007;31978;27447;11025;3801;7222;6906;5901;1006;5536;2723;2812;3969;2098;267;2210
7;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2008;31966;27322;10640;3718;6920;7085;6053;1033;5557;2728;2829;4036;2136;298;2250
8;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2009;30317;25971;9893;3477;6414;6722;5758;966;5517;2687;2831;3841;2024;250;2132
9;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2010;30421;25901;9644;3385;6257;6815;5836;981;5498;2681;2819;3964;2092;273;2205
10;Tot.aanbod interne toeristische diensten;Prijsniveau 2005;2011;30918;26272;9781;3446;6333;7015;6004;1013;5470;2666;2806;4033;2135;308;2249
11;Tot.aanbod interne toeristische diensten;Lopende prijzen;2001;27487;23643;10196;3248;6948;5560;4714;846;4530;2215;2315;3357;1779;192;1873
12;Tot.aanbod interne toeristische diensten;Lopende prijzen;2002;28406;24509;10466;3390;7076;5877;4986;891;4772;2327;2446;3394;1811;179;1907
13;Tot.aanbod interne toeristische diensten;Lopende prijzen;2003;28167;24339;10141;3329;6812;5819;4872;947;4955;2412;2543;3424;1806;120;1902
14;Tot.aanbod interne toeristische diensten;Lopende prijzen;2004;28783;24908;10267;3428;6839;6018;5059;959;5056;2498;2558;3567;1818;142;1915
