ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
0;Total sex;Total personal characteristics;2000;12750.0;8043.0;7798.0;246.0;4706.0;63.1;61.2;3.1;6863.0;5640.0;1223.0;876.0;59.0;1430.0;1656.0;4709.0;3.0;32.6;37.0;1017.0;1313.0;1325.0;923.0;954.0;139.0;747.0;484.0;633.0;226.0
1;Total sex;Total personal characteristics;2001 before revision;12848.0;8115.0;7892.0;223.0;4733.0;63.2;61.4;2.7;6996.0;5819.0;1177.0;849.0;47.0;1442.0;1707.0;4740.0;3.0;32.4;40.0;1005.0;1335.0;1373.0;964.0;985.0;123.0;776.0;494.0;688.0;109.0
2;Total sex;Total personal characteristics;2001 after revision;12847.0;8104.0;7899.0;206.0;4743.0;63.1;61.5;2.5;6898.0;5668.0;1230.0;940.0;60.0;1571.0;1682.0;4633.0;12.0;32.1;37.0;1012.0;1241.0;1348.0;978.0;974.0;127.0;788.0;484.0;682.0;229.0
3;Total sex;Total personal characteristics;2002;12936.0;8255.0;8001.0;254.0;4681.0;63.8;61.9;3.1;6976.0;5737.0;1240.0;970.0;52.0;1612.0;1807.0;4559.0;24.0;31.6;36.0;1002.0;1327.0;1397.0;965.0;1019.0;125.0;791.0;495.0;724.0;120.0
4;Total sex;Total personal characteristics;2003;13004.0;8217.0;7876.0;341.0;4788.0;63.2;60.6;4.1;6852.0;5658.0;1194.0;974.0;49.0;1528.0;1875.0;4447.0;26.0;31.7;33.0;1005.0;1358.0;1399.0;923.0;990.0;126.0;744.0;480.0;708.0;110.0
5;Total sex;Total personal characteristics;2004;13062.0;8271.0;7851.0;419.0;4791.0;63.3;60.1;5.1;6793.0;5596.0;1198.0;1012.0;46.0;1536.0;1897.0;4391.0;26.0;31.6;34.0;840.0;1426.0;1424.0;955.0;1061.0;124.0;736.0;495.0;690.0;66.0
6;Total sex;Total personal characteristics;2005;13119.0;8349.0;7908.0;441.0;4770.0;63.6;60.3;5.3;6814.0;5562.0;1253.0;1042.0;50.0;1572.0;1926.0;4382.0;28.0;31.6;35.0;789.0;1442.0;1423.0;994.0;1088.0;124.0;760.0;481.0;713.0;59.0
7;Total sex;Total personal characteristics;2006;13173.0;8398.0;8032.0;366.0;4775.0;63.8;61.0;4.4;6905.0;5544.0;1361.0;1078.0;48.0;1575.0;1983.0;4442.0;31.0;31.7;36.0;853.0;1470.0;1396.0;977.0;1114.0;121.0;753.0;473.0;745.0;95.0
8;Total sex;Total personal characteristics;2007;13234.0;8570.0;8265.0;306.0;4663.0;64.8;62.5;3.6;7087.0;5552.0;1535.0;1126.0;50.0;1611.0;2077.0;4538.0;38.0;31.6;36.0;894.0;1531.0;1451.0;991.0;1154.0;121.0;750.0;475.0;760.0;103.0
9;Total sex;Total personal characteristics;2008;13315.0;8722.0;8454.0;267.0;4594.0;65.5;63.5;3.1;7249.0;5642.0;1607.0;1163.0;42.0;1610.0;2198.0;4612.0;33.0;31.7;36.0;911.0;1605.0;1506.0;1012.0;1180.0;114.0;754.0;480.0;754.0;102.0
10;Total sex;Total personal characteristics;2009;13393.0;8786.0;8460.0;327.0;4607.0;65.6;63.2;3.7;7237.0;5636.0;1601.0;1180.0;42.0;1617.0;2276.0;4531.0;36.0;31.5;35.0;921.0;1631.0;1511.0;998.0;1218.0;120.0;728.0;453.0;726.0;118.0
11;Total sex;Total personal characteristics;2010;13457.0;8761.0;8371.0;390.0;4696.0;65.1;62.2;4.5;7137.0;5533.0;1604.0;1186.0;46.0;1590.0;2313.0;4421.0;46.0;31.3;33.0;911.0;1686.0;1511.0;955.0;1178.0;119.0;687.0;447.0;718.0;126.0
12;Total sex;Total personal characteristics;2011;13521.0;8757.0;8369.0;389.0;4764.0;64.8;61.9;4.4;7114.0;5482.0;1632.0;1202.0;52.0;1571.0;2347.0;4392.0;59.0;31.2;32.0;892.0;1700.0;1545.0;955.0;1183.0;120.0;653.0;450.0;712.0;127.0
13;Total sex;Total personal characteristics;2012;13631.0;8893.0;8424.0;469.0;4739.0;65.2;61.8;5.3;7132.0;5403.0;1729.0;1245.0;47.0;1598.0;2404.0;4357.0;65.0;31.0;;;;;;;;;;;
14;Total sex;Total personal characteristics;2013;13753.0;8965.0;8365.0;600.0;4788.0;65.2;60.8;6.7;7018.0;5211.0;1806.0;1304.0;43.0;1610.0;2417.0;4260.0;79.0;30.8;;;;;;;;;;;
15;Total sex;15-25 yrs;2000;1873.0;1327.0;1246.0;81.0;546.0;70.8;66.5;6.1;1209.0;688.0;521.0;32.0;6.0;538.0;186.0;522.0;;24.5;8.0;28.0;60.0;138.0;193.0;292.0;42.0;136.0;67.0;214.0;71.0
