ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1981;;;;;1573267.0;1104.4;20657429.0;14500.5;13.1
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1982;;;;;1598843.0;1117.3;20422551.0;14271.7;12.8
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1983;;;;;1605464.0;1117.5;19971377.0;13901.2;12.3
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1984;;;;;1565164.0;1084.9;19076083.0;13222.7;12.1
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1985;;;;;1554166.0;1072.3;18663607.0;12876.9;12.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1986;;;;;1537658.0;1054.9;18122631.0;12433.4;11.8
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1987;;;;;1509122.0;1028.9;17356249.0;11833.7;11.5
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1988;;;;;1508988.0;1022.2;17052714.0;11553.0;11.3
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1989;;;;;1527300.0;1028.4;16776187.0;11296.7;11.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1990;;;;;1520970.0;1016.9;16305230.0;10901.5;10.6
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1991;;;;;1528055.0;1013.9;16098047.0;10681.7;10.5
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1992;;;;;1546279.0;1018.4;15869986.0;10452.0;10.3
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1993;2089853.0;1366.8;531790.0;347.7;1558063.0;1019.0;15607863.0;10207.7;10.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1994;2178260.0;1416.0;590195.0;383.7;1588066.0;1032.3;15403720.0;10013.4;9.6
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1995;2222548.0;1438.0;647264.0;418.7;1575284.0;1019.2;15012068.0;9712.5;9.5
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1996;2274871.0;1464.8;697589.0;449.2;1577282.0;1015.5;14777700.0;9515.5;9.3
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1997;2309180.0;1479.0;742589.0;475.7;1566592.0;1003.5;14357951.0;9196.9;9.1
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1998;2332365.0;1484.5;794291.0;505.6;1538074.0;979.0;13887623.0;8839.5;9.0
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;1999;2346051.0;1483.6;836109.0;528.7;1509942.0;954.9;13138404.0;8308.9;8.6
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2000;2354064.0;1477.9;884258.0;555.2;1469806.0;922.7;12411800.0;7792.5;8.3
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2001;2440147.0;1520.9;981393.0;611.7;1458754.0;909.2;11997070.0;7477.6;8.1
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2002;2615974.0;1620.0;1105733.0;684.7;1510241.0;935.2;11784603.0;7297.8;7.8
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2003;2782968.0;1715.3;1214005.0;748.2;1568963.0;967.0;11700914.0;7212.0;7.5
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2004;2993696.0;1839.0;1344487.0;825.9;1649209.0;1013.0;11626135.0;7142.1;7.0
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2005;3130192.0;1918.4;1437059.0;880.7;1693133.0;1037.6;11542497.0;7073.8;6.8
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2006;3307964.0;2023.8;1567680.0;959.0;1740284.0;1064.6;11444917.0;7002.1;6.5
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2007;3472275.0;2119.8;1688873.0;1031.0;1783380.0;1088.9;11268649.0;6880.1;6.3
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2008;3647540.0;2217.6;1804531.0;1097.0;1843009.0;1120.5;11209074.0;6815.1;6.0
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2009;3848545.0;2328.1;1941580.0;1174.5;1906965.0;1153.5;11068816.0;6695.8;5.8
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2010;4049974.0;2437.5;2074506.0;1248.5;1975468.0;1188.9;10991423.0;6615.2;5.5
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2011;4259161.0;2551.8;2227694.0;1334.6;2031467.0;1217.0;10734765.0;6431.3;5.3
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;0;2012;4309708.0;2572.5;2330065.0;1390.8;1979643.0;1181.6;10295979.0;6145.7;5.1
32;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1981;;;;;15283.0;10.6;263952.0;185.3;17.2
33;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1982;;;;;16125.0;11.3;263016.0;183.8;16.2
34;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1983;;;;;16453.0;11.5;259074.0;180.3;15.6
35;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1984;;;;;15319.0;10.6;231952.0;160.8;15.1
36;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1985;;;;;15405.0;10.6;226465.0;156.1;14.6
37;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1986;;;;;15912.0;10.8;228383.0;156.6;14.3
38;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1987;;;;;14669.0;10.0;211018.0;143.8;14.3
39;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1988;;;;;15811.0;10.6;219611.0;148.8;13.8
40;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1989;;;;;15987.0;10.8;215260.0;145.0;13.5
41;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1990;;;;;15308.0;10.1;202964.0;135.6;13.3
42;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1991;;;;;16131.0;10.6;220709.0;146.5;13.6
43;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1992;;;;;16934.0;11.1;229421.0;151.1;13.5
44;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1993;20575.0;13.5;3362.0;2.2;17213.0;11.3;226420.0;148.1;13.1
45;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1994;22071.0;14.3;3519.0;2.2;18552.0;12.1;236750.0;153.8;12.8
46;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1995;21699.0;14.0;3430.0;2.2;18269.0;11.8;229518.0;148.5;12.6
47;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1996;22819.0;14.6;3670.0;2.4;19149.0;12.3;234047.0;150.6;12.1
48;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;1997;22283.0;14.3;3779.0;2.4;18504.0;11.8;224957.0;144.1;12.1
