ID;Perioden;TotaalLevendgeborenen_1;AutochtoneMoedersIncl2eGeneratie_2;Totaal1eGeneratieMoeders_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_26EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;2008;185110;153863;31247;22889;3218;4819;1183;5852;1491;2381;3945;8358;5432;1899;490;536
1;2009;180973;149798;31175;22368;3220;4938;1206;5590;1483;2229;3703;8807;5867;1924;489;527
2;2010;178203;147383;30820;21683;3184;4915;1216;5328;1479;2094;3467;9137;6194;1945;487;511
3;2011;177496;147080;30416;21004;3151;4845;1229;5075;1478;1975;3251;9412;6466;1962;485;499
4;2012;177329;147313;30016;20379;3121;4774;1248;4829;1482;1873;3052;9637;6683;1975;484;494
5;2013;177699;148065;29633;19819;3097;4715;1271;4587;1491;1784;2873;9814;6850;1985;485;494
6;2014;177651;148373;29278;19326;3077;4679;1300;4347;1504;1706;2714;9952;6976;1994;486;496
7;2015;178237;149266;28971;18906;3062;4672;1331;4112;1519;1636;2574;10065;7077;2001;486;500
8;2016;179148;150431;28717;18554;3048;4697;1363;3885;1537;1574;2451;10163;7163;2008;487;504
9;2017;180159;151634;28525;18270;3033;4757;1394;3667;1557;1519;2344;10255;7242;2016;488;509
10;2018;181291;152914;28377;18040;3017;4839;1423;3462;1579;1469;2250;10337;7311;2023;489;514
11;2019;182423;154162;28260;17843;3002;4927;1453;3269;1600;1426;2166;10417;7379;2028;491;519
12;2020;183635;155469;28166;17674;2986;5016;1482;3090;1621;1386;2093;10492;7443;2030;493;525
13;2021;184761;156664;28097;17529;2973;5101;1510;2925;1641;1351;2029;10568;7513;2030;496;530
14;2022;185773;157723;28050;17408;2960;5179;1538;2777;1660;1320;1973;10642;7581;2027;498;535
15;2023;186639;158615;28024;17309;2951;5251;1565;2645;1679;1293;1926;10715;7653;2021;501;541
16;2024;187319;159296;28023;17234;2943;5319;1592;2528;1698;1269;1886;10789;7727;2013;503;546
17;2025;187919;159873;28045;17179;2939;5384;1617;2425;1715;1248;1852;10866;7806;2004;505;552
18;2026;188395;160311;28084;17142;2936;5445;1641;2334;1731;1230;1824;10942;7885;1994;507;557
19;2027;188781;160640;28141;17119;2936;5501;1664;2255;1746;1216;1801;11023;7969;1983;508;563
20;2028;189080;160868;28213;17110;2937;5555;1686;2186;1758;1205;1783;11103;8053;1973;509;568
21;2029;189231;160937;28294;17110;2939;5604;1707;2127;1769;1196;1768;11184;8136;1963;510;574
22;2030;189225;160833;28392;17123;2943;5652;1727;2074;1779;1190;1756;11269;8223;1955;511;580
23;2031;189047;160549;28498;17146;2949;5700;1747;2028;1788;1187;1747;11352;8306;1948;511;586
24;2032;188653;160041;28612;17176;2957;5746;1766;1986;1797;1184;1739;11437;8388;1944;512;592
25;2033;188076;159339;28738;17213;2965;5792;1784;1949;1806;1184;1734;11525;8473;1941;512;599
26;2034;187295;158431;28864;17256;2974;5837;1802;1915;1814;1185;1730;11607;8549;1941;512;605
27;2035;186406;157411;28995;17303;2983;5881;1818;1884;1823;1188;1727;11692;8624;1943;512;612
28;2036;185416;156288;29128;17355;2993;5925;1834;1856;1832;1191;1725;11773;8696;1947;512;618
29;2037;184434;155174;29260;17409;3004;5966;1849;1830;1841;1195;1724;11851;8763;1952;512;625
30;2038;183528;154137;29391;17465;3014;6005;1863;1808;1851;1199;1724;11926;8825;1957;512;632
31;2039;182718;153200;29518;17521;3025;6043;1876;1787;1860;1204;1725;11997;8883;1964;512;638
32;2040;182025;152383;29641;17577;3036;6078;1889;1769;1870;1209;1726;12065;8938;1970;512;645
33;2041;181474;151712;29762;17632;3047;6112;1900;1752;1879;1213;1728;12130;8989;1977;512;652
34;2042;181068;151195;29873;17686;3058;6143;1911;1738;1888;1218;1731;12187;9033;1984;512;658
35;2043;180833;150852;29981;17737;3068;6172;1922;1725;1897;1221;1733;12244;9076;1990;512;665
36;2044;180752;150670;30081;17787;3079;6197;1931;1714;1905;1224;1735;12295;9115;1996;512;671
37;2045;180817;150639;30178;17834;3090;6222;1941;1705;1912;1227;1738;12344;9151;2003;512;678
38;2046;181016;150751;30265;17877;3100;6244;1949;1697;1919;1229;1740;12388;9183;2008;512;684
39;2047;181338;150993;30345;17916;3110;6261;1957;1690;1925;1230;1743;12429;9214;2013;512;689
40;2048;181755;151339;30416;17952;3120;6277;1964;1685;1931;1230;1744;12464;9241;2017;512;694
41;2049;182234;151756;30478;17983;3129;6290;1970;1683;1936;1230;1745;12495;9264;2021;512;698
