ID;DienstenAccountancy;Perioden;Prijsindexcijfers_1;Jaarmutaties_2;Prijsindexcijfers_3;Jaarmutaties_4;Prijsindexcijfers_5;Jaarmutaties_6;Prijsindexcijfers_7;Jaarmutaties_8
0;Totaal diensten accountancy;2006;100.0;;100.0;;100.0;;100.0;
1;Totaal diensten accountancy;2007;103.8;3.8;107.0;7.0;106.4;6.4;105.4;5.4
2;Totaal diensten accountancy;2008;108.9;4.9;111.8;4.5;109.0;2.5;107.8;2.3
3;Totaal diensten accountancy;2009;111.1;2.1;114.2;2.2;112.4;3.1;110.2;2.3
4;Totaal diensten accountancy;2010;112.4;1.1;115.0;0.7;112.1;-0.2;111.1;0.8
5;Totaal diensten accountancy;2011;113.9;1.3;116.4;1.2;115.4;3.0;113.5;2.1
6;Financiële administratie;2006;100.0;;100.0;;100.0;;100.0;
7;Financiële administratie;2007;102.4;2.4;106.4;6.4;106.0;6.0;104.8;4.8
8;Financiële administratie;2008;108.8;6.2;111.2;4.4;108.2;2.1;105.4;0.6
9;Financiële administratie;2009;112.9;3.8;115.7;4.1;113.5;4.8;110.7;5.0
10;Financiële administratie;2010;115.5;2.3;118.8;2.7;114.3;0.8;113.7;2.7
11;Financiële administratie;2011;119.6;3.5;122.9;3.4;120.5;5.4;117.3;3.1
12;Advisering (exclusief belastingadvies);2006;100.0;;100.0;;100.0;;100.0;
13;Advisering (exclusief belastingadvies);2007;103.3;3.3;106.1;6.1;105.7;5.7;103.6;3.6
14;Advisering (exclusief belastingadvies);2008;105.6;2.3;103.7;-2.2;103.1;-2.4;107.8;4.1
15;Advisering (exclusief belastingadvies);2009;106.7;1.0;107.8;3.9;100.7;-2.3;106.9;-0.8
16;Advisering (exclusief belastingadvies);2010;104.1;-2.4;103.7;-3.8;99.6;-1.1;109.6;2.5
17;Advisering (exclusief belastingadvies);2011;105.6;1.4;103.8;0.2;100.1;0.6;107.1;-2.3
18;Accountantscontrole;2006;100.0;;100.0;;100.0;;100.0;
19;Accountantscontrole;2007;105.0;5.0;109.2;9.2;106.4;6.4;105.2;5.2
20;Accountantscontrole;2008;107.8;2.6;112.5;3.0;108.5;2.0;105.6;0.3
21;Accountantscontrole;2009;107.3;-0.4;108.1;-3.9;109.5;0.9;104.9;-0.6
22;Accountantscontrole;2010;107.6;0.3;107.3;-0.8;104.4;-4.7;101.6;-3.1
23;Accountantscontrole;2011;104.1;-3.3;102.0;-4.9;103.2;-1.1;100.5;-1.1
24;Belastingadvies;2006;100.0;;100.0;;100.0;;100.0;
25;Belastingadvies;2007;107.9;7.9;106.0;6.0;104.8;4.8;106.5;6.5
26;Belastingadvies;2008;112.6;4.4;110.2;4.0;107.6;2.7;107.8;1.2
27;Belastingadvies;2009;113.7;1.0;111.9;1.5;108.8;1.1;109.8;1.9
28;Belastingadvies;2010;115.2;1.3;112.0;0.1;112.3;3.3;113.9;3.7
29;Belastingadvies;2011;119.3;3.5;117.6;5.0;115.1;2.5;113.3;-0.5
30;Overige dienstverlening;2006;100.0;;100.0;;100.0;;100.0;
31;Overige dienstverlening;2007;98.1;-1.9;104.4;4.4;110.9;10.9;106.9;6.9
32;Overige dienstverlening;2008;110.2;12.4;119.9;14.8;120.1;8.2;119.8;12.1
33;Overige dienstverlening;2009;118.5;7.6;135.0;12.6;130.6;8.8;125.9;5.0
34;Overige dienstverlening;2010;121.9;2.8;138.8;2.8;133.0;1.9;125.5;-0.3
35;Overige dienstverlening;2011;128.2;5.1;146.0;5.1;140.1;5.3;141.0;12.3
