ID;Geslacht;Kenmerken;Perioden;TotaalWerknemers_1;WilMeerUrenWerken_2;WilGelijkAantalUrenWerken_3;WilMinderUrenWerkenStoppenMetWerk_4;WilMeerUrenWerken_5;WilGelijkAantalUrenWerken_6;WilMinderUrenWerkenStoppenMetWerk_7
0;1100;10;1992;5258.0;329.0;4402.0;528.0;6.3;83.7;10.0
1;1100;10;1993;5261.0;344.0;4337.0;580.0;6.5;82.4;11.0
2;1100;10;1994;5222.0;374.0;4286.0;561.0;7.2;82.1;10.8
3;1100;10;1995;5357.0;410.0;4376.0;571.0;7.7;81.7;10.7
4;1100;10;1996;5452.0;415.0;4427.0;610.0;7.6;81.2;11.2
5;1100;10;1997;5628.0;416.0;4585.0;627.0;7.4;81.5;11.1
6;1100;10;1998;5850.0;405.0;4751.0;694.0;6.9;81.2;11.9
7;1100;10;1999;6042.0;385.0;4929.0;728.0;6.4;81.6;12.0
8;1100;10;2000;6116.0;392.0;4970.0;754.0;6.4;81.3;12.3
9;1100;10;2001 Voor revisie;6070.0;328.0;5132.0;611.0;5.4;84.5;10.1
10;1100;10;2001 Na revisie;6256.0;349.0;5145.0;763.0;5.6;82.2;12.2
11;1100;10;2002;6142.0;322.0;5268.0;552.0;5.3;85.8;9.0
12;1100;10;2003;6088.0;348.0;5240.0;500.0;5.7;86.1;8.2
13;1100;10;2004;6031.0;394.0;5167.0;471.0;6.5;85.7;7.8
14;1100;10;2005;6040.0;440.0;5137.0;462.0;7.3;85.1;7.6
15;1100;10;2006;6135.0;437.0;5265.0;433.0;7.1;85.8;7.1
16;1100;10;2007;6304.0;455.0;5351.0;498.0;7.2;84.9;7.9
17;1100;10;2008;6462.0;458.0;5510.0;494.0;7.1;85.3;7.6
18;1100;10;2009;6430.0;474.0;5496.0;460.0;7.4;85.5;7.2
19;1100;10;2010;6341.0;492.0;5393.0;456.0;7.8;85.0;7.2
20;1100;10;2011;6315.0;520.0;5350.0;445.0;8.2;84.7;7.0
21;1100;10;2012;6292.0;563.0;5306.0;423.0;9.0;84.3;6.7
22;1100;10;2013;6161.0;627.0;5113.0;421.0;10.2;83.0;6.8
23;1100;70400;1992;169.0;18.0;138.0;13.0;10.7;81.4;8.0
24;1100;70400;1993;148.0;17.0;111.0;20.0;11.4;75.0;13.6
25;1100;70400;1994;135.0;16.0;105.0;14.0;12.1;77.7;10.2
26;1100;70400;1995;129.0;22.0;96.0;12.0;16.8;74.2;9.1
27;1100;70400;1996;152.0;25.0;112.0;15.0;16.1;73.7;10.2
28;1100;70400;1997;175.0;24.0;136.0;15.0;13.7;77.5;8.7
29;1100;70400;1998;182.0;27.0;138.0;17.0;14.7;75.9;9.4
30;1100;70400;1999;211.0;27.0;162.0;22.0;12.6;76.8;10.6
31;1100;70400;2000;210.0;31.0;156.0;24.0;14.8;73.9;11.3
32;1100;70400;2001 Voor revisie;230.0;24.0;178.0;29.0;10.2;77.2;12.5
33;1100;70400;2001 Na revisie;231.0;26.0;179.0;25.0;11.5;77.6;11.0
34;1100;70400;2002;230.0;25.0;180.0;25.0;10.8;78.3;10.9
35;1100;70400;2003;214.0;24.0;168.0;22.0;11.1;78.6;10.3
36;1100;70400;2004;196.0;27.0;149.0;21.0;13.6;75.7;10.7
37;1100;70400;2005;186.0;22.0;144.0;19.0;12.0;77.7;10.4
38;1100;70400;2006;189.0;20.0;151.0;18.0;10.7;79.7;9.5
39;1100;70400;2007;210.0;26.0;160.0;24.0;12.2;76.2;11.5
40;1100;70400;2008;228.0;27.0;177.0;24.0;11.9;77.6;10.5
41;1100;70400;2009;208.0;27.0;160.0;21.0;13.0;76.8;10.1
42;1100;70400;2010;186.0;25.0;142.0;19.0;13.5;76.3;10.2
43;1100;70400;2011;185.0;30.0;136.0;19.0;16.1;73.6;10.3
44;1100;70400;2012;177.0;29.0;130.0;18.0;16.3;73.4;10.3
45;1100;70400;2013;161.0;26.0;117.0;18.0;16.2;72.6;11.2
46;1100;70500;1992;733.0;68.0;605.0;60.0;9.3;82.5;8.1
47;1100;70500;1993;696.0;79.0;555.0;63.0;11.3;79.6;9.0
48;1100;70500;1994;660.0;88.0;526.0;45.0;13.4;79.8;6.9
49;1100;70500;1995;623.0;90.0;495.0;38.0;14.4;79.4;6.2
50;1100;70500;1996;588.0;90.0;461.0;36.0;15.3;78.5;6.2
51;1100;70500;1997;597.0;84.0;470.0;43.0;14.1;78.8;7.1
52;1100;70500;1998;572.0;83.0;456.0;34.0;14.4;79.6;6.0
53;1100;70500;1999;596.0;70.0;481.0;44.0;11.8;80.8;7.4
54;1100;70500;2000;596.0;71.0;472.0;52.0;12.0;79.2;8.8
