ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
0;Total male and female;0 year;Percentage/average;1981;;;;;;;;;;
1;Total male and female;0 year;Percentage/average;1982;;;;;;;;;;
2;Total male and female;0 year;Percentage/average;1983;;;;;;;;;;
3;Total male and female;0 year;Percentage/average;1984;;;;;;;;;;
4;Total male and female;0 year;Percentage/average;1985;;;;;;;;;;
5;Total male and female;0 year;Percentage/average;1986;;;;;;;;;;
6;Total male and female;0 year;Percentage/average;1987;;;;;;;;;;
7;Total male and female;0 year;Percentage/average;1988;;;;;;;;;;
8;Total male and female;0 year;Percentage/average;1989;;;;;;;;;;
9;Total male and female;0 year;Percentage/average;1990;;;;;;;;;;
10;Total male and female;0 year;Percentage/average;1991;;;;;;;;;;
11;Total male and female;0 year;Percentage/average;1992;;;;;;;;;;
12;Total male and female;0 year;Percentage/average;1993;;;;;;;;;;
13;Total male and female;0 year;Percentage/average;1994;;;;;;;;;;
14;Total male and female;0 year;Percentage/average;1995;;;;;;;;;;
15;Total male and female;0 year;Percentage/average;1996;;;;;;;;;;
16;Total male and female;0 year;Percentage/average;1997;;;;;;;;;;
17;Total male and female;0 year;Percentage/average;1998;;;;;;;;;;
18;Total male and female;0 year;Percentage/average;1999;;;;;;;;;;
19;Total male and female;0 year;Percentage/average;2000;;;;;;;;;;
20;Total male and female;0 year;Percentage/average;2001;;;;;;;;;;
21;Total male and female;0 year;Percentage/average;2002;;;;;;;;;;
22;Total male and female;0 year;Percentage/average;2003;;;;;;;;;;
23;Total male and female;0 year;Percentage/average;2004;;;;;;;;;;
24;Total male and female;0 year;Percentage/average;2005;;;;;;;;;;
25;Total male and female;0 year;Percentage/average;2006;;;;;;;;;;
26;Total male and female;0 year;Percentage/average;2007;;;;;;;;;;
27;Total male and female;0 year;Percentage/average;2008;;;;;;;;;;
28;Total male and female;0 year;Percentage/average;2009;;;;;;;;;;
29;Total male and female;0 year;Percentage/average;2010;;;;;;;;;;
30;Total male and female;0 year;Percentage/average;2011;;;;;;;;;;
31;Total male and female;0 year;Percentage/average;2012;;;;;;;;;;
32;Total male and female;0 year;Percentage/average;2013;;;;;;;;;;
33;Total male and female;0 year;Percentage/average;2014;;;;;;;;;;
34;Total male and female;0 year;Percentage/average;2015;;;;;;;;;;
35;Total male and female;0 year;Percentage/average;2016;;;;;;;;;;
36;Total male and female;0 year;Percentage/average;2017;;;;;;;;;;
37;Total male and female;0 year;Percentage/average;2018;81.78;63.5;71.9;75.6;56.3;43.8;46.9;72.9;58.0;76.8
38;Total male and female;0 year;Percentage/average;2019;82.05;64.0;72.1;75.8;56.2;43.8;46.7;73.4;58.2;77.4
39;Total male and female;0 year;Percentage/average;2020;81.38;66.2;72.3;75.7;55.4;43.6;46.5;72.4;58.7;77.5
40;Total male and female;0 year;Percentage/average;2021;81.35;65.2;72.9;76.1;54.3;43.9;46.7;70.1;58.7;77.8
41;Total male and female;0 year;Percentage/average;2022;81.61;62.8;71.5;75.3;54.0;43.8;46.6;71.3;57.8;76.8
42;Total male and female;0 year;Percentage/average;2023;81.84;63.3;71.6;75.4;53.7;43.2;46.0;71.6;57.4;77.1
43;Total male and female;0 year;Standard errors;1981;;;;;;;;;;
44;Total male and female;0 year;Standard errors;1982;;;;;;;;;;
45;Total male and female;0 year;Standard errors;1983;;;;;;;;;;
46;Total male and female;0 year;Standard errors;1984;;;;;;;;;;
47;Total male and female;0 year;Standard errors;1985;;;;;;;;;;
48;Total male and female;0 year;Standard errors;1986;;;;;;;;;;
49;Total male and female;0 year;Standard errors;1987;;;;;;;;;;
50;Total male and female;0 year;Standard errors;1988;;;;;;;;;;
51;Total male and female;0 year;Standard errors;1989;;;;;;;;;;
52;Total male and female;0 year;Standard errors;1990;;;;;;;;;;
53;Total male and female;0 year;Standard errors;1991;;;;;;;;;;
54;Total male and female;0 year;Standard errors;1992;;;;;;;;;;
55;Total male and female;0 year;Standard errors;1993;;;;;;;;;;
56;Total male and female;0 year;Standard errors;1994;;;;;;;;;;
57;Total male and female;0 year;Standard errors;1995;;;;;;;;;;
58;Total male and female;0 year;Standard errors;1996;;;;;;;;;;
59;Total male and female;0 year;Standard errors;1997;;;;;;;;;;
60;Total male and female;0 year;Standard errors;1998;;;;;;;;;;
61;Total male and female;0 year;Standard errors;1999;;;;;;;;;;
62;Total male and female;0 year;Standard errors;2000;;;;;;;;;;
63;Total male and female;0 year;Standard errors;2001;;;;;;;;;;
64;Total male and female;0 year;Standard errors;2002;;;;;;;;;;
65;Total male and female;0 year;Standard errors;2003;;;;;;;;;;
66;Total male and female;0 year;Standard errors;2004;;;;;;;;;;
67;Total male and female;0 year;Standard errors;2005;;;;;;;;;;
68;Total male and female;0 year;Standard errors;2006;;;;;;;;;;
69;Total male and female;0 year;Standard errors;2007;;;;;;;;;;
70;Total male and female;0 year;Standard errors;2008;;;;;;;;;;
71;Total male and female;0 year;Standard errors;2009;;;;;;;;;;
72;Total male and female;0 year;Standard errors;2010;;;;;;;;;;
73;Total male and female;0 year;Standard errors;2011;;;;;;;;;;
74;Total male and female;0 year;Standard errors;2012;;;;;;;;;;
