ID;Geslacht;Leeftijd;Herkomst;Generatie;PercentageAOWOpbouw;SoortInactieve;Perioden;AantalInactieven_1;OpgebouwdeJaarlijkseAanspraken_2;ContanteWaarde_3;TeBereikenJaarlijkseAanspraken_4;Vervangingspercentage_5;OpgebouwdeJaarlijkseAanspraken_6;ContanteWaarde_7;TeBereikenJaarlijkseAanspraken_8;Vervangingspercentage_9;VierdePijler_10;OpgebouwdeJaarlijkseAanspraken_11;ContanteWaarde_12;TeBereikenJaarlijkseAanspraken_13;Vervangingspercentage_14
0;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Totaal inactieven;2005;4105300.0;3900.0;30000.0;9200.0;104.0;2100.0;18900.0;2800.0;31.0;29.0;6000.0;48900.0;12000.0;135.0
1;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Arbeidsongeschiktheidsuitkering;2005;599550.0;6000.0;46600.0;9000.0;53.0;3600.0;29700.0;5300.0;31.0;38.0;9600.0;76300.0;14300.0;84.0
2;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Werkloosheidsuitkering;2005;195700.0;5000.0;33100.0;8600.0;41.0;4000.0;30800.0;5100.0;25.0;41.0;9000.0;63900.0;13700.0;66.0
3;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Bijstandsuitkering;2005;364100.0;4400.0;29100.0;9100.0;80.0;200.0;1500.0;300.0;3.0;2.0;4600.0;30600.0;9400.0;83.0
4;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Overige uitkering;2005;161550.0;5300.0;38400.0;8900.0;42.0;4500.0;35900.0;5600.0;26.0;42.0;9800.0;74300.0;14500.0;68.0
5;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Pensioen;2005;342150.0;7900.0;82900.0;8600.0;28.0;12100.0;124300.0;13900.0;44.0;68.0;20000.0;207200.0;22500.0;72.0
6;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Scholier/student;2005;1207800.0;800.0;1600.0;10900.0;611.0;0.0;100.0;100.0;7.0;1.0;800.0;1700.0;11000.0;618.0
7;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;Overig inactief;2005;1217050.0;4300.0;34200.0;8100.0;635.0;600.0;3900.0;1000.0;77.0;46.0;4900.0;38100.0;9100.0;712.0
8;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW opbouw;Totaal inactieven;2005;483400.0;1800.0;12500.0;6400.0;82.0;1400.0;12600.0;1600.0;21.0;15.0;3200.0;25100.0;8000.0;103.0
9;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW opbouw;Arbeidsongeschiktheidsuitkering;2005;38000.0;3400.0;27200.0;5800.0;34.0;2500.0;21300.0;3400.0;20.0;21.0;5900.0;48500.0;9200.0;54.0
