ID;Sex;Age;CausesOfDeath;Periods;Deaths_1
0;Total male and female;Total;A00-Y99 Total;1996;137561
1;Total male and female;Total;A00-Y99 Total;1997;135783
2;Total male and female;Total;A00-Y99 Total;1998;137482
3;Total male and female;Total;A00-Y99 Total;1999;140487
4;Total male and female;Total;A00-Y99 Total;2000;140527
5;Total male and female;Total;A00-Y99 Total;2001;140377
6;Total male and female;Total;A00-Y99 Total;2002;142355
7;Total male and female;Total;A00-Y99 Total;2003;141936
8;Total male and female;Total;A00-Y99 Total;2004;136553
9;Total male and female;Total;A00-Y99 Total;2005;136402
10;Total male and female;Total;A00-Y99 Total;2006;135372
11;Total male and female;Total;A00-Y99 Total;2007;133022
12;Total male and female;Total;A00-Y99 Total;2008;135136
13;Total male and female;Total;A00-Y99 Total;2009;134235
14;Total male and female;Total;A00-Y99 Total;2010;136058
15;Total male and female;Total;A00-Y99 Total;2011;135741
16;Total male and female;Total;A00-Y99 Total;2012;140813
17;Total male and female;Total;A00-Y99 Total;2013;141245
18;Total male and female;Total;A00-Y99 Total;2014;139223
19;Total male and female;Total;A00-Y99 Total;2015;147134
20;Total male and female;Total;A00-Y99 Total;2016;148997
21;Total male and female;Total;A00-Y99 Total;2017;150214
22;Total male and female;Total;A00-Y99 Total;2018;153363
23;Total male and female;Total;A00-Y99 Total;2019;151885
24;Total male and female;Total;A00-Y99 Total;2020;168678
25;Total male and female;Total;A00-Y99 Total;2021;170972
26;Total male and female;Total;A00-Y99 Total;2022;170112
27;Total male and female;Total;A00-Y99 Total;2023;169521
28;Total male and female;Total;A00-B99 Total infectious disease;1996;1601
29;Total male and female;Total;A00-B99 Total infectious disease;1997;1452
30;Total male and female;Total;A00-B99 Total infectious disease;1998;1511
31;Total male and female;Total;A00-B99 Total infectious disease;1999;1634
32;Total male and female;Total;A00-B99 Total infectious disease;2000;1630
33;Total male and female;Total;A00-B99 Total infectious disease;2001;1648
34;Total male and female;Total;A00-B99 Total infectious disease;2002;1739
35;Total male and female;Total;A00-B99 Total infectious disease;2003;1892
36;Total male and female;Total;A00-B99 Total infectious disease;2004;1869
37;Total male and female;Total;A00-B99 Total infectious disease;2005;1830
38;Total male and female;Total;A00-B99 Total infectious disease;2006;1925
39;Total male and female;Total;A00-B99 Total infectious disease;2007;1848
