ID;Periods;Turnover_1;Price_2;Volume_3;Turnover_4;Price_5;Volume_6
0;1993 January;67;;;;;
1;1993 February;69;;;;;
2;1993 March;78;;;;;
3;1993 1st quarter;71;;;;;
4;1993 April;78;;;;;
5;1993 May;79;;;;;
6;1993 June;79;;;;;
7;1993 2nd quarter;78;;;;;
8;1993 July;80;;;;;
9;1993 August;70;;;;;
10;1993 September;77;;;;;
11;1993 3rd quarter;76;;;;;
12;1993 October;76;;;;;
13;1993 November;72;;;;;
14;1993 December;91;;;;;
15;1993 4th quarter;80;;;;;
16;1993;76;;;;;
17;1994 January;70;;;4.3;;
18;1994 February;71;;;2.9;;
19;1994 March;88;;;13.0;;
20;1994 1st quarter;76;;;7.0;;
21;1994 April;80;;;2.3;;
22;1994 May;79;;;0.6;;
23;1994 June;84;;;6.2;;
24;1994 2nd quarter;81;;;3.0;;
25;1994 July;77;;;-4.4;;
26;1994 August;73;;;5.3;;
27;1994 September;77;;;0.1;;
28;1994 3rd quarter;76;;;0.1;;
29;1994 October;76;;;-0.4;;
30;1994 November;76;;;5.4;;
31;1994 December;91;;;0.3;;
32;1994 4th quarter;81;;;1.6;;
33;1994;79;;;2.9;;
34;1995 January;69;;;-1.2;;
35;1995 February;73;;;2.6;;
36;1995 March;85;;;-3.1;;
37;1995 1st quarter;76;;;-0.8;;
38;1995 April;78;;;-1.6;;
39;1995 May;82;;;3.8;;
40;1995 June;85;;;1.8;;
41;1995 2nd quarter;82;;;1.3;;
42;1995 July;75;;;-2.1;;
43;1995 August;78;;;6.7;;
44;1995 September;81;;;4.7;;
45;1995 3rd quarter;78;;;3.0;;
46;1995 October;78;;;3.0;;
47;1995 November;79;;;4.3;;
48;1995 December;90;;;-1.0;;
49;1995 4th quarter;83;;;1.9;;
50;1995;80;;;1.4;;
51;1996 January;74;;;6.7;;
52;1996 February;77;;;6.4;;
53;1996 March;85;;;-0.4;;
54;1996 1st quarter;79;;;3.9;;
55;1996 April;81;;;3.2;;
56;1996 May;90;;;9.2;;
57;1996 June;83;;;-2.2;;
58;1996 2nd quarter;85;;;3.3;;
59;1996 July;82;;;9.7;;
60;1996 August;83;;;5.7;;
61;1996 September;79;;;-2.8;;
62;1996 3rd quarter;81;;;4.1;;
63;1996 October;86;;;9.9;;
64;1996 November;82;;;2.9;;
65;1996 December;91;;;0.8;;
66;1996 4th quarter;86;;;4.4;;
67;1996;83;;;3.9;;
68;1997 January;81;;;9.2;;
69;1997 February;78;;;1.2;;
70;1997 March;87;;;2.1;;
71;1997 1st quarter;82;;;4.0;;
72;1997 April;85;;;4.8;;
73;1997 May;94;;;4.8;;
74;1997 June;85;;;2.4;;
75;1997 2nd quarter;88;;;4.0;;
76;1997 July;89;;;8.3;;
77;1997 August;82;;;-1.3;;
78;1997 September;85;;;7.9;;
79;1997 3rd quarter;85;;;4.9;;
80;1997 October;92;;;7.5;;
81;1997 November;85;;;3.3;;
82;1997 December;99;;;8.8;;
83;1997 4th quarter;92;;;6.7;;
84;1997;87;;;4.9;;
85;1998 January;85;;;5.6;;
86;1998 February;82;;;4.6;;
87;1998 March;88;;;1.7;;
88;1998 1st quarter;85;;;3.9;;
89;1998 April;92;;;8.6;;
90;1998 May;94;;;0.2;;
91;1998 June;89;;;4.8;;
92;1998 2nd quarter;92;;;4.4;;
93;1998 July;95;;;6.9;;
94;1998 August;82;;;0.3;;
95;1998 September;90;;;6.7;;
96;1998 3rd quarter;89;;;4.7;;
97;1998 October;94;;;1.9;;
98;1998 November;83;;;-2.0;;
99;1998 December;106;;;7.4;;
100;1998 4th quarter;95;;;2.7;;
101;1998;90;;;3.9;;
102;1999 January;84;;;-0.9;;
103;1999 February;84;;;2.5;;
104;1999 March;97;;;10.3;;
105;1999 1st quarter;89;;;4.1;;
106;1999 April;95;;;3.2;;
107;1999 May;94;;;-0.1;;
108;1999 June;98;;;9.9;;
109;1999 2nd quarter;96;;;4.3;;
110;1999 July;100;;;4.9;;
111;1999 August;87;;;5.9;;
112;1999 September;97;;;7.8;;
113;1999 3rd quarter;95;;;6.2;;
114;1999 October;97;;;3.3;;
115;1999 November;93;;;12.5;;
116;1999 December;116;;;9.2;;
117;1999 4th quarter;102;;;8.2;;
118;1999;95;;;5.7;;
119;2000 January;88;100.0;89.0;4.4;;
120;2000 February;94;100.0;94.0;12.2;;
121;2000 March;104;99.0;104.0;6.8;;
122;2000 1st quarter;95;100.0;96.0;7.7;;
123;2000 April;97;100.0;98.0;2.8;;
124;2000 May;104;100.0;104.0;10.2;;
125;2000 June;101;100.0;102.0;3.2;;
126;2000 2nd quarter;101;100.0;101.0;5.4;;
127;2000 July;99;100.0;99.0;-1.3;;
128;2000 August;99;100.0;99.0;13.8;;
129;2000 September;100;100.0;100.0;2.8;;
130;2000 3rd quarter;99;100.0;99.0;4.7;;
131;2000 October;98;100.0;98.0;0.6;;
132;2000 November;102;101.0;101.0;9.2;;
133;2000 December;114;101.0;113.0;-2.2;;
134;2000 4th quarter;104;101.0;104.0;2.2;;
135;2000;100;100.0;100.0;4.9;;
136;2001 January;95;105.0;91.0;8.0;5.4;2.5
137;2001 February;98;105.0;93.0;3.9;5.6;-1.6
138;2001 March;112;105.0;107.0;8.2;5.8;2.3
139;2001 1st quarter;102;105.0;97.0;6.8;5.6;1.1
140;2001 April;103;105.0;98.0;6.2;5.5;0.6
141;2001 May;112;105.0;107.0;8.2;5.6;2.4
142;2001 June;111;105.0;105.0;9.5;5.5;3.8
143;2001 2nd quarter;109;105.0;103.0;8.0;5.5;2.3
144;2001 July;102;106.0;97.0;3.2;5.7;-2.4
145;2001 August;107;106.0;101.0;8.1;5.8;2.2
146;2001 September;102;106.0;96.0;1.8;5.6;-3.6
147;2001 3rd quarter;104;106.0;98.0;4.4;5.7;-1.3
148;2001 October;106;106.0;100.0;8.3;5.7;2.4
149;2001 November;107;106.0;100.0;4.7;5.7;-1.0
150;2001 December;117;107.0;109.0;2.6;5.4;-2.7
151;2001 4th quarter;110;106.0;103.0;5.0;5.6;-0.5
152;2001;106;106.0;100.0;6.0;5.6;0.4
153;2002 January;102;110.0;93.0;7.3;5.0;2.2
154;2002 February;100;111.0;90.0;2.1;5.1;-2.9
155;2002 March;115;111.0;103.0;2.0;5.2;-3.1
156;2002 1st quarter;106;111.0;96.0;3.7;5.1;-1.4
157;2002 April;106;111.0;95.0;2.0;5.6;-3.4
158;2002 May;119;111.0;107.0;6.2;5.5;0.7
159;2002 June;111;111.0;100.0;0.4;5.5;-4.8
160;2002 2nd quarter;112;111.0;101.0;2.9;5.5;-2.5
161;2002 July;110;111.0;99.0;8.0;5.5;2.4
162;2002 August;110;111.0;99.0;3.3;5.3;-1.9
163;2002 September;105;112.0;95.0;3.4;5.5;-2.0
164;2002 3rd quarter;109;111.0;97.0;4.9;5.4;-0.5
165;2002 October;115;112.0;103.0;7.9;5.3;2.5
166;2002 November;111;112.0;100.0;4.6;5.2;-0.5
167;2002 December;119;112.0;106.0;2.0;5.2;-3.0
168;2002 4th quarter;115;112.0;103.0;4.9;5.2;-0.2
169;2002;110;111.0;99.0;4.1;5.3;-1.2
170;2003 January;104;116.0;90.0;1.6;5.1;-3.3
171;2003 February;101;117.0;86.0;1.3;5.8;-4.2
172;2003 March;108;117.0;92.0;-5.6;5.8;-10.8
173;2003 1st quarter;104;117.0;89.0;-1.1;5.6;-6.3
174;2003 April;112;118.0;95.0;6.1;6.1;0.0
175;2003 May;120;118.0;102.0;0.2;6.0;-5.5
176;2003 June;113;118.0;96.0;1.5;6.1;-4.3
177;2003 2nd quarter;115;118.0;98.0;2.5;6.1;-3.4
178;2003 July;115;118.0;98.0;4.3;5.7;-1.3
179;2003 August;109;117.0;93.0;-1.6;5.4;-6.6
180;2003 September;105;118.0;89.0;-0.6;5.5;-5.8
181;2003 3rd quarter;109;118.0;93.0;0.7;5.5;-4.5
182;2003 October;114;118.0;97.0;-0.6;5.2;-5.5
183;2003 November;109;117.0;93.0;-2.0;4.9;-6.6
184;2003 December;121;118.0;103.0;1.9;5.0;-3.0
185;2003 4th quarter;115;117.0;98.0;-0.4;5.0;-5.2
186;2003;111;117.0;94.0;0.4;5.5;-4.8
187;2004 January;108;121.0;89.0;3.7;4.2;-0.5
188;2004 February;105;121.0;86.0;3.4;3.4;-0.1
189;2004 March;115;121.0;95.0;6.5;3.2;3.1
190;2004 1st quarter;109;121.0;90.0;4.5;3.6;0.9
191;2004 April;116;121.0;96.0;3.4;2.8;0.6
192;2004 May;113;121.0;94.0;-5.6;2.5;-7.9
