ID;Perioden;AantalBeursNvS_1;TotaleVasteActiva_2;TotaleImMaterieleVasteActiva_3;ImmaterieleVasteActiva_4;MaterieleActivaTbvBedrijfsuitoefening_5;MaterActNietTbvBedrijfsuitoefening_6;TotaleFinancieleVasteActiva_7;Deelnemingen_8;BeleggingenInVastgoed_9;BeleggingenInEffecten_10;Hypotheken_11;LeningenOpSchuldbekentenis_12;BancaireKredietverlening_13;OverigeFinancieleVasteActiva_14;TotaleVlottendeActiva_15;TotaleKortlopendeVorderingen_16;VorderingenBankiers_17;OverigeKortlopendeVorderingen_18;Effecten_19;TotaleLiquideMiddelen_20;KasmiddelenBankbedrijf_21;OverigeLiquideMiddelen_22;TotaleVermogen_23;TotaleEigenVermogen_24;TotaleGeplaatstEnGestortKapitaal_25;GewoonGestortEnOpgevraagdKapitaal_26;OverigGestortEnOpgevraagdKapitaal_27;TotaleReserves_28;Agioreserve_29;Herwaarderingsreserve_30;IngehoudenWinstEnOverigeReserves_31;TotaleVreemdVermogen_32;TotaleLanglopendeSchulden_33;TotaleNietRentedragendeLanglSchulden_34;BelangVanDerden_35;TotaleVoorzieningen_36;Pensioenvoorzieningen_37;Belastingvoorzieningen_38;OverigeVoorzieningen_39;TotaleRentedragendeLanglSchulden_40;AchtergesteldeLeningen_41;TotaleObligatieleningenEnSchuldbew_42;ConverteerbareObligatieleningen_43;OverigeObligatieleningenEnSchuldbew_44;Deelnemingen_45;OverigeLanglopendeSchulden_46;AlleVerzekeringtechnischeVoorzieningen_47;Levensverzekering_48;Schadeverzekering_49;AlleToevertrouwdeMiddelenBankbedrijf_50;Spaargelden_51;OverigeToevertrouwdeMiddelen_52;TotaleKortlopendeSchulden_53;NietRentedragendeKortlopendeSchulden_54;TotaleRentedragendeKortlSchulden_55;AflossingsverplOpLanglopendeSchulden_56;OverigeRentedragendeKortlSchulden_57;TotaleVermogen_58;AansprakelijkGroepsvermogen_59;TotaleVasteActiva_60;TotaleImMaterieleVasteActiva_61;ImmaterieleVasteActiva_62;MaterieleActivaTbvBedrijfsuitoefening_63;MaterActNietTbvBedrijfsuitoefening_64;TotaleFinancieleVasteActiva_65;Deelnemingen_66;BeleggingenInVastgoed_67;BeleggingenInEffecten_68;Hypotheken_69;LeningenOpSchuldbekentenis_70;BancaireKredietverlening_71;OverigeFinancieleVasteActiva_72;TotaleVlottendeActiva_73;TotaleKortlopendeVorderingen_74;VorderingenBankiers_75;OverigeKortlopendeVorderingen_76;Effecten_77;TotaleLiquideMiddelen_78;KasmiddelenBank_79;OverigeLiquideMiddelen_80;TotaleVermogen_81;TotaleEigenVermogen_82;TotaleGeplaatstEnGestortKapitaal_83;GewoonGestortEnOpgevraagdKapitaal_84;OverigGestortEnOpgevraagdKapitaal_85;TotaleReserves_86;Agioreserve_87;Herwaarderingsreserve_88;IngehoudenWinstEnOverigeReserves_89;TotaleVreemdVermogen_90;TotaleLanglopendeSchulden_91;TotaleNietRentedragendeLanglSchulden_92;BelangVanDerden_93;TotaleVoorzieningen_94;Pensioenvoorzieningen_95;Belastingvoorzieningen_96;OverigeVoorzieningen_97;TotaleRentedragendeLanglSchulden_98;AchtergesteldeLeningen_99;TotaleObligatieleningenEnSchuldbew_100;ConverteerbareObligatieleningen_101;OverigeObligatieleningenEnSchuldbew_102;Deelnemingen_103;OverigeLanglopendeSchulden_104;AlleVerzekeringtechnischeVoorzieningen_105;Levensverzekering_106;Schadeverzekering_107;AlleToevertrouwdeMiddelenBankbedrijf_108;Spaargelden_109;OverigeToevertrouwdeMiddelen_110;TotaleKortlopendeSchulden_111;NietRentedragendeKortlopendeSchulden_112;TotaleRentedragendeKortlSchulden_113;AflossingsverplOpLanglopendeSchulden_114;OverigeRentedragendeKortlSchulden_115;TotaleVermogen_116;AansprakelijkGroepsvermogen_117;TotaleResultaatUitBedrijfsvoering_118;TotaleRentemargeBankbedrijf_119;RentebatenBankbedrijf_120;RentelastenBankbedrijf_121;ProvisiemargeEnPremieInkomen_122;OpbrengstenBeleggingen_123;OverigeBedrijfsopbrengsten_124;KostenVanDeOmzet_125;TotaleBeheerskosten_126;Personeelskosten_127;Afschrijvingen_128;Bedrijfsresultaat_129;TotaleFinancieleResultaten_130;ResultaatDeelnemingen_131;Rentelasten_132;OverigeFinancieleResultaten_133;SaldoBuitengewoneBatenEnLasten_134;ResultaatVoorBelastingen_135;Belastingen_136;ResultaatNaBelastingen_137;AandeelVanDerden_138;Nettoresultaat_139;ContantDividend_140;KeuzeDividend_141;OverigeUitkeringen_142;Reserveringen_143;TotaleResultaatUitBedrijfsvoering_144;TotaleRentemargeBankbedrijf_145;RentebatenBankbedrijf_146;RentelastenBankbedrijf_147;ProvisiemargeEnPremieInkomen_148;OpbrengstenBeleggingen_149;OverigeBedrijfsopbrengsten_150;KostenVanDeOmzet_151;TotaleBeheerskosten_152;Personeelskosten_153;Afschrijvingen_154;Bedrijfsresultaat_155;TotaleFinancieleResultaten_156;ResultaatDeelnemingen_157;Rentelasten_158;OverigeFinancieleResultaten_159;SaldoBuitengewoneBatenEnLasten_160;ResultaatVoorBelastingen_161;Belastingen_162;ResultaatNaBelastingen_163;AandeelVanDerden_164;Nettoresultaat_165;ContantDividend_166;KeuzeDividend_167;OverigeUitkeringen_168;Reserveringen_169;Verslagjaar_170;VorigJaar_171;RentabiliteitEigenVermogen_172;PayoutRatio_173;OmzetPerWerknemer_174
0;1990;18;231870.2;4221.1;0.1;3396.5;824.5;227649.1;3204.5;5611.5;43526.4;47898.1;13655.1;101208.2;12545.3;125910.5;103363.0;69793.2;33569.8;14547.0;8000.5;7454.6;545.9;357780.8;18632;2663.6;1927.4;736.2;15967.9;4109.9;2847.9;9010.1;339149.5;115070.1;1573.3;512.7;1060.6;54.6;770.1;235.9;113496.8;5136.6;34897.0;;34897.0;1.4;73461.8;53821.2;48007.4;5813.8;102903.7;39816.1;63087.6;67354.5;23843.3;43511.2;527.3;42983.9;357780.8;24280.6;215669.6;3117.8;0.2;3117.4;0.2;212551.8;3021.5;5264.3;41290.4;44236.6;13043.3;94331.5;11364.2;111945.2;92799.5;61801.9;30997.6;11420.5;7725.2;7026.7;698.5;328335.2;18131;2447.0;2417.6;29.4;15683.6;3402.8;4123.2;8157.6;310204.7;106838.4;1743.5;350.1;1393.4;332.8;853.5;207.1;105094.9;4629.6;33727.6;;33727.6;111.1;66626.6;49942.4;44237.4;5705.0;91872.4;35519.3;56353.1;61551.5;23443.7;38107.8;583.1;37524.7;328335.2;23110.3;22046.6;5049.6;5051.6;2.0;11719.7;4887.6;389.7;14736.6;4388.7;3967.5;421.2;2921.3;-344.6;229.0;468.6;-125.7;20.7;2576.8;526.4;2050.4;47.6;2002.7;104.0;890.6;0.9;1007.2;21212.1;4780.9;4820.2;39.3;11447.9;4606.0;377.3;14109.4;4084.5;3688.8;395.7;3018.2;-341.4;185.4;415.3;-248.0;136.5;2676.9;520.4;2156.5;32.3;2124.1;75.0;87.5;0.1;1961.5;146.1;139.8;10.9;49.7;150.9
1;1991;17;278077.5;4991.2;0.1;4080.4;910.7;273086.3;3070.4;5606.6;50276.8;53884.8;14106.4;131316.8;14824.5;106687.8;82556.2;68547.0;14009.2;14429.2;9702.4;7920.5;1781.9;384765.5;19635;2487.3;1634.2;853.1;17147.6;4468.8;3475.4;9203.4;365130.6;111775.2;1904.9;379.0;1525.9;87.6;987.7;450.6;109870.3;5514.5;28816.9;;28816.9;978.4;74560.5;61818.3;53940.2;7878.1;136330.4;42194.8;94135.6;55206.7;9723.9;45482.8;927.5;44555.3;384765.5;25528.4;254039.9;3866.8;0.1;3866.6;0.1;250173.1;2981.3;5095.2;42775.7;49485.1;13654.1;123816.7;12365.0;105485.0;82467.3;69182.4;13284.9;14341.0;8676.7;7229.1;1447.6;360460.5;18447;2663.6;1927.4;736.2;15783.6;4109.1;2813.3;8861.2;342013.2;108320.1;1858.8;512.6;1346.2;77.5;849.1;419.6;106461.3;4311.1;27929.6;;27929.6;889.4;73331.2;53234.8;47421.0;5813.8;129483.4;39936.3;89547.1;50974.9;9829.5;41145.4;527.3;40618.1;360460.5;23270.9;26079.9;5700.2;11425.5;5725.3;13284.0;6251.4;844.3;17321.3;4727.1;4285.9;441.2;4031.5;-1085.9;238.9;962.8;-417.4;55.4;2945.6;671.3;2274.3;30.6;2243.7;191.5;912.7;1.4;1138.0;22965.7;5047.8;10419.3;5371.5;11780.9;5365.1;771.9;15112.3;4293.6;3895.2;398.4;3559.7;-982.6;229.0;823.0;-409.3;20.7;2577.2;526.8;2050.3;47.7;2002.7;104.0;890.6;0.9;1007.2;146.1;143.9;11.8;49.2;178.5
2;1992;18;311054.5;5597.0;0.0;4416.6;1180.4;305457.5;3211.4;5805.6;61602.5;63167.0;14752.6;139721.2;17197.2;113393.6;88721.1;73194.9;15526.2;14032.7;10639.8;9075.6;1564.2;424448.3;21168;2558.8;1689.8;869.0;18608.8;4548.5;3810.3;10250.0;403281.0;120938.2;2343.5;541.1;1802.4;74.2;1293.5;434.7;118594.7;6239.0;28035.9;;28035.9;1595.0;82724.8;70622.0;61995.8;8626.2;149965.0;58725.0;91240.0;61755.8;10390.9;51364.9;569.5;50795.4;424448.3;27947.6;277078.1;4080.6;0.1;4080.4;0.1;272997.5;3072.8;5606.6;50435.4;53885.1;14106.4;131315.3;14575.9;106785.9;82559.3;68547.0;14012.3;14519.3;9707.3;7920.5;1786.8;384774.6;19639;2490.0;1636.9;853.1;17149.1;4470.6;3475.7;9202.8;365135.5;110463.5;1905.2;379.0;1526.2;87.7;987.8;450.7;108558.3;5514.5;27500.9;;27500.9;979.6;74563.3;61818.3;53940.2;7878.1;137646.3;52156.7;85489.6;55207.4;9725.8;45481.6;927.5;44554.1;384774.6;25532.6;27801.9;6278.3;12369.8;6091.5;14277.4;6766.7;479.5;18736.3;5068.8;4594.2;474.6;3996.8;-886.1;366.2;991.7;-340.2;79.6;3110.6;727.8;2382.8;20.9;2361.9;198.7;979.4;1.2;1182.7;25672.9;5700.1;11426.4;5726.3;13284.7;6251.4;436.7;17333.1;4715.8;4274.4;441.4;3624.0;-680.6;345.3;962.8;-118.5;55.4;2943.3;671.4;2271.9;30.6;2241.3;191.8;912.7;1.4;1135.4;156.9;145.1;11.6;49.9;177.2
3;1993;18;353053.0;5845.0;0.0;4743.7;1101.3;347208.0;4472.7;5457.7;70035.9;72674.5;15114.1;147218.7;32234.4;115656.6;91727.4;75799.5;15927.9;16094.6;7834.6;6561.4;1273.2;468709.5;26732;2741.7;1737.9;1003.8;23989.9;5222.2;6745.5;12022.2;441977.8;51716.2;4046.2;575.8;3470.4;82.3;2249.2;1138.9;47670.0;6514.6;31920.5;;31920.5;1955.5;7279.4;89799.8;82922.1;6877.7;191507.5;62609.6;128897.9;108954.3;18505.6;90448.7;446.5;90002.2;468709.5;33821.9;311217.2;4416.6;0.0;4416.6;0.0;306800.6;2916.2;5805.6;62080.0;66213.3;14752.6;137922.9;17110.0;106061.4;88576.7;73085.3;15491.4;10837.0;6647.7;5342.1;1305.6;418459.0;21168;2558.8;1689.8;869.0;18608.8;4548.5;3810.3;10250.0;397291.4;48908.9;3341.6;541.1;2800.5;80.7;1996.6;723.2;45567.3;6238.0;32426.2;;32426.2;1595.0;5308.1;70612.0;61995.8;8616.2;177747.5;58724.1;119023.4;100023.0;16672.5;83350.5;569.5;82781.0;418459.0;27946.7;32586.2;6812.3;25845.5;19033.2;16461.6;8554.1;758.2;22190.3;5581.0;5038.0;543.0;4814.9;-749.0;359.7;1198.5;-241.0;330.8;4066.0;1259.7;2806.2;51.5;2754.7;216.6;1099.1;0.7;1438.2;28166.7;6362.9;27730.7;21367.8;14334.1;6782.8;686.9;18759.3;5069.7;4595.1;474.6;4337.7;-1120.9;310.3;991.7;-519.0;79.5;3216.8;764.6;2452.3;20.9;2431.4;198.7;979.4;1.2;1252.1;167.7;156.5;11.5;47.8;194.3
4;1994;18;368175.7;6424.9;5.6;4940.2;1479.1;361750.8;4780.1;5291.9;75123.0;83214.2;16303.7;142272.0;34765.9;119444.7;91200.1;74980.3;16219.8;21349.4;6895.2;5507.5;1387.7;487620.3;26874;2845.3;1786.8;1058.5;24028.2;5407.0;5279.6;13341.6;460746.8;57389.5;4212.7;753.4;3459.3;78.8;2033.4;1347.1;53176.8;7121.4;36819.7;;36819.7;2114.2;7121.5;96814.0;89537.6;7276.4;194038.0;64493.4;129544.6;112505.3;22809.3;89696.0;511.9;89184.1;487620.3;34748.3;351827.6;4752.8;1.5;4749.8;1.5;347074.8;4476.0;5457.7;70020.8;74056.8;15114.1;145718.8;32230.6;115770.4;91775.7;75799.5;15976.2;16117.4;7877.3;6604.1;1273.2;468793.8;26751;2745.2;1741.4;1003.8;24005.9;5222.3;6762.0;12021.6;442042.8;50700.4;4074.4;602.4;3472.0;82.5;2253.2;1136.3;46626.0;6514.6;31055.6;;31055.6;1955.5;7100.3;89799.9;82979.3;6820.6;192453.3;62609.6;129843.7;109089.2;18488.1;90601.1;446.5;90154.6;468793.8;33867.9;33330.4;7609.6;24752.7;17143.1;17783.3;7060.6;876.9;21853.6;5786.0;5167.4;618.6;5690.8;-1424.1;372.5;1187.1;-691.9;82.4;4266.7;1098.2;3168.6;51.4;3117.1;242.1;1285.9;0.5;1588.7;31538.0;6793.4;25853.5;19060.1;16831.2;7157.6;755.8;21146.9;5583.9;5040.9;543.0;4807.3;-739.5;366.2;1198.5;-238.0;330.8;4067.8;1259.9;2807.9;52.3;2755.6;216.6;1099.1;0.7;1439.2;167.7;167.9;11.6;49.0;198.8
5;1995;18;400929.2;7020.4;5.5;5372.8;1642.1;393908.8;5068.7;5085.7;84364.7;91346.3;17536.6;151065.7;39441.1;130065.7;98479.8;78867.8;19612.0;27788.3;3797.6;2629.7;1167.9;530995.0;28689;2898.4;1883.2;1015.2;25790.4;5529.3;5883.7;14377.4;502306.0;66799.9;4781.6;877.9;3903.7;151.3;2181.5;1570.9;62018.3;8020.7;45785.9;;45785.9;2303.6;5908.1;106974.2;98556.9;8417.3;203514.0;70859.5;132654.5;125017.9;24429.1;100588.8;643.9;99944.9;530995.0;37587.5;364364.7;5264.0;5.6;5252.8;5.6;359100.7;4708.4;4979.7;75378.0;83214.1;15994.9;141963.4;32862.2;119028.1;91065.8;74733.0;16332.8;21349.4;6612.9;5467.8;1145.1;484866.4;26846;2845.3;1786.8;1058.5;24001.0;5407.0;5236.6;13357.4;458020.0;58406.4;4214.1;753.4;3460.7;80.3;2033.4;1347.0;54192.3;7121.4;36881.4;;36881.4;2052.9;8136.6;96958.7;89633.3;7325.4;193534.8;67123.6;126411.2;109120.1;19840.8;89279.3;489.2;88790.1;484866.4;34721.1;36630.6;7868.4;26205.0;18336.6;19917.1;7841.3;1003.8;24534.7;6261.0;5630.2;630.8;5834.9;-916.7;409.5;1224.8;-117.4;16.0;4918.2;1295.2;3623.0;62.6;3560.4;267.7;1497.2;6.1;1789.4;34067.7;7650.9;24751.8;17100.9;18619.8;6940.6;856.4;22586.9;5755.5;5136.9;618.6;5725.2;-1425.4;374.2;1116.3;-685.3;2.0;4300.0;1126.0;3174.1;51.4;3122.6;242.1;1285.9;0.5;1594.1;173.1;167.7;12.8;49.6;211.7
6;1996;15;464406.5;7358.1;5.4;5638.6;1714.1;457048.4;6545.4;5425.3;106313.4;102759.8;19897.5;168071.2;48035.8;135845.4;95516.2;72420.8;23095.4;35677.9;4651.3;3641.0;1010.3;600251.8;36306;2564.9;1577.2;987.7;33740.6;6418.6;10930.8;16391.2;563946.3;79564.8;5479.8;1319.9;4159.9;205.2;2003.3;1951.4;74085.0;9578.1;54704.9;;54704.9;3383.4;6418.6;126245.5;116025.8;10219.7;213190.3;76189.5;137000.8;144945.7;27289.9;117655.8;933.7;116722.1;600251.8;47203.4;391403.3;5284.3;5.5;5273.3;5.5;386119.0;5222.5;5102.9;83707.0;89863.2;18378.4;145109.9;38735.1;127009.5;95999.4;76764.8;19234.6;27235.6;3774.5;2610.0;1164.5;520030.2;28188;2489.4;1476.8;1012.6;25698.5;5532.2;5883.4;14282.9;491842.3;65202.8;4756.1;877.9;3878.2;150.7;2180.7;1546.8;60446.7;7699.3;45422.1;;45422.1;2388.0;4937.3;106974.2;98556.9;8417.3;195409.0;67238.6;128170.4;124256.3;24037.6;100218.7;705.2;99513.5;520030.2;36765.1;42177.2;8704.2;27381.9;18677.7;23561.2;8892.1;1019.7;28935.1;7087.5;6318.7;768.8;6154.7;-224.2;610.5;1173.8;347.7;-8.6;5930.5;1448.2;4482.4;95.8;4386.6;354.5;1753.3;8.9;2269.9;36347.7;7654.6;25478.3;17823.7;19933.0;7776.1;984.0;24520.4;6094.4;5495.9;598.5;5732.9;-919.1;455.4;1224.8;-119.2;-30.5;4813.8;1287.8;3526.0;62.6;3463.4;265.5;1470.8;6.1;1721.1;182.1;170.0;13.6;48.1;231.7
7;1997;16;626645.6;8523.5;5.0;6613.5;1905.0;618122.1;7350.3;6100.3;157742.5;138464.4;23677.0;217546.6;67241.0;192509.9;118684.7;89158.1;29526.6;66206.8;7618.4;6014.3;1604.1;819155.2;49611;2724.6;1716.5;1008.1;46886.4;8620.5;16862.1;21403.8;769543.9;105140.5;7574.3;2312.3;5262.0;160.6;2615.9;2485.5;97566.2;11946.8;73652.7;;73652.7;4387.6;7579.1;181919.7;169724.7;12195.0;276824.6;91397.7;185426.9;205659.1;48171.8;157487.3;1154.8;156332.5;819155.2;63870.2;465579.6;5650.0;5.4;5639.2;5.4;459929.6;6716.5;5425.3;106313.4;102970.2;19897.5;170507.6;48099.1;136400.5;96002.5;72882.8;23119.7;35704.2;4693.8;3640.9;1052.9;603688.8;39697;2638.9;1651.2;987.7;37058.4;6456.4;10930.8;19671.2;563991.7;79562.8;5479.8;1319.9;4159.9;205.3;2003.3;1951.3;74083.0;9578.1;54704.9;;54704.9;3383.4;6416.6;126245.5;116025.8;10219.7;213190.3;76189.5;137000.8;144993.1;27320.5;117672.6;933.7;116738.9;603688.8;50595.2;53228.3;10253.9;32390.5;22136.6;30285.0;11391.6;1297.8;37455.1;8515.9;7614.3;901.6;7257.2;359.7;973.6;1385.7;769.6;2.2;7617.0;1825.8;5791.2;169.0;5622.2;506.3;2139.5;11.6;2964.9;42193.5;8704.2;27381.9;18677.7;23563.5;8891.8;1034.0;28939.4;7090.6;6321.6;769.0;6163.6;-193.0;641.6;1200.7;374.7;-8.6;5970.4;1448.2;4522.3;95.8;4426.5;400.5;1721.1;8.9;2296.0;205.0;184.9;12.6;47.1;259.7
8;1998;17;741801.1;10310.0;6.2;8527.0;1776.8;731491.1;7501.1;6979.6;197414.0;156158.4;25740.8;259131.3;78565.9;255820.9;153745.4;113411.8;40333.6;93462.8;8612.7;7690.7;922.0;997622.0;56382;2806.5;1807.9;998.6;53575.9;6741.9;7260.6;39573.4;941239.7;130709.4;9276.9;4211.9;5065.0;843.8;2043.5;2177.7;121432.5;11861.4;82266.2;;82266.2;68.2;27236.7;201134.1;187241.2;13892.9;344402.6;109491.5;234911.1;264993.6;71790.5;193203.1;744.3;192458.8;997622.0;72455.6;624914.2;6623.5;5.0;6613.5;5.0;618290.7;7513.6;6105.7;156101.2;138621.4;23648.8;217201.2;69098.8;192507.7;118647.1;89122.7;29524.4;66206.8;7653.8;6634.6;1019.2;819316.2;50068;2724.6;1716.5;1008.1;47343.5;5613.8;6172.5;35557.2;769248.0;115569.2;7798.8;2312.3;5486.5;726.9;2569.8;2189.8;107770.4;11946.8;71765.0;;71765.0;174.3;23884.3;181919.7;169724.7;12195.0;276584.6;91173.9;185410.7;195174.5;47160.5;148014.0;1153.3;146860.7;819316.2;64327.3;69482.0;12656.7;31833.7;19177.0;39984.3;15052.9;1788.1;49094.0;10403.8;9721.9;681.9;9984.2;-494.5;944.4;1546.8;94.5;13.4;9489.6;2232.0;7257.7;216.6;7041.1;502.2;2702.3;11.6;3825.0;53478.3;10035.1;25229.4;15194.3;30285.0;11810.6;1347.6;37694.8;8169.3;7614.8;554.5;7614.3;402.5;747.7;1416.5;1069.1;2.2;8016.8;1882.5;6134.3;169.0;5965.3;485.4;2503.4;11.6;2964.9;276.5;205.0;13.2;45.5;251.3
9;1999;17;987415.3;12004.7;4.9;10002.5;1997.3;975410.6;15569.1;7818.2;281108.9;192028.1;34002.2;315580.1;129304.0;232622.9;138332.3;91268.7;47063.6;80888.2;13402.4;12370.5;1031.9;1220038.1;70460;2845.1;1855.1;990.0;67614.7;9401.4;9826.4;48386.9;1149578.5;192292.8;15882.8;6446.5;9436.3;208.1;3578.8;5649.4;176410.0;13922.1;123447.2;;123447.2;76.6;38964.1;314771.5;296643.7;18127.8;403787.6;125146.8;278640.8;238726.6;68484.8;170241.8;503.9;169737.9;1220038.1;90828.3;736660.2;8584.6;5.5;8573.6;5.5;728075.6;7587.4;6980.9;197331.0;158729.2;25741.1;253140.4;78565.6;254126.6;153447.9;113693.6;39754.3;92338.9;8339.8;7417.1;922.7;992455.5;56113;2761.8;1783.8;978.0;53351.1;6551.6;7228.9;39570.6;936342.6;124407.3;9264.4;4186.3;5078.1;89.1;1851.6;3137.4;115142.9;11704.5;75936.2;;75936.2;68.2;27434.0;201134.7;187242.2;13892.5;347497.5;110426.6;237070.9;263303.1;70826.7;192476.4;744.7;191731.7;992455.5;72003.7;83993.4;14548.4;35420.3;20871.9;47265.8;20098.2;2081.0;58757.2;13592.7;12771.9;820.8;11643.6;2562.0;1763.1;1570.1;2353.3;15.7;14205.5;3167.9;11037.6;474.1;10563.5;579.3;3305.8;0.0;6678.4;69138.4;12630.7;31592.6;18961.9;40078.6;14653.9;1775.2;48292.4;11290.6;10605.0;685.6;9555.4;-111.4;1321.1;1546.4;100.5;13.4;9444.0;2235.9;7208.0;216.2;6991.9;503.8;2435.4;0.0;4052.6;284.8;277.4;16.7;36.8;294.9
