ID;PlantenEnDierentuinen;Perioden;AantalTuinen_1;TotaalOppervlakte_2;GemiddeldPerTuin_3;k_05Ha_4;k_515Ha_5;k_15HaOfMeer_6;GeheleJaarOpen_7;GedeelteVanHetJaarOpen_8;Volwassenen_9;k_65Plussers_10;Kinderen_11;MJKHouders_12;Volwassenen_13;k_65Plussers_14;Kinderen_15;TuinenDieZaadlijstUitgeven_16;GemAantalSoortenPlantenPerTuin_17;GemAantalDiersoortenPerTuin_18;AantalDeelnemendeTuinen_19;GemiddeldAantalDeelnemendeDiersoorten_20;HortusBotanischeTuin_21;ArboretumPinetum_22;HeemKruidentuin_23;SierKijktuin_24;ModelEnOverigeTuinen_25;Dierentuin_26;ReptielenzooAquarium_27;OverigDierentuinen_28;StichtingNederlandsePlantentuinen_29;EuropeseVerVanDierentuinenAquaria_30;StichtingMuseumJaarkaart_31;NederlandseMuseumVereniging_32;StichtingNederlandsePlantentuinen_33;NietAangesloten_34;Horeca_35;Winkelverkoop_36;NietPermanenteTentoonstellingen_37;OntvangstRondleidingenSchoolklassen_38;RondleidingenAndereBezoekers_39;Kinderactiviteiten_40;UitgaveBlad_41;AndereActiviteiten_42;AlsPercentageVanAlleTuinen_43;AantalAbonnementhouders_44;TotaalAbonnementenEnJaarkaarten_45;TotaalPersoonlijkeAbonnementen_46;GemiddeldePrijs_47;Gezinsabonnementen_48;OverigeAbonnementen_49;AlsPercentageVanAlleTuinen_50;AantalLedenVriendenvereniging_51;TotaalBezoeken_52;Volwassenen_53;Kinderen_54;TotaalMetDagkaartInclKorting_55;Volwassenen_56;Kinderen_57;TotaalAbonnementhoudersLeden_58;Volwassenen_59;Kinderen_60;TotaalMuseumjaarkaarthouders_61;Volwassenen_62;Kinderen_63;TotaalNietBetalendeBezoekers_64;Volwassenen_65;Kinderen_66;k_15_67;k_510_68;k_1015_69;k_1520_70;k_20EnMeer_71;GemiddeldBuitenlandsBezoekPerTuin_72;BuitenlBezAlsVanTotaalBezoek_73;EntreegeldenAbonnementen_74;SponsoringAdoptie_75;VoedselVerzorging_76;PromotiePR_77;TotaalPersoneel_78;Fulltime_79;Parttime_80;TotaalPersoneelInLoondienst_81;Fulltime_82;Parttime_83;TotaalOverigBezoldigdPersoneel_84;Fulltime_85;Parttime_86;TotaalOnbezoldigdPersoneel_87;Fulltime_88;Parttime_89;TotaalPersoneel_90;PersoneelInLoondienst_91;OverigBezoldigdPersoneel_92;OnbezoldigdPersoneel_93
0;1;1997;99;698.1;7.1;71;17;12;51;48;;;;;;;;;;;;;;;;;;;;;20.0;7.0;3.0;11.0;29.0;48.0;55;48;40;58;68;39;22;28;28;;;;;;;27.0;39.5;11397;7941;3455;6948;4930;2018;3139;2119;1020;166.0;166.0;;1143;726;418;23;51;8;7.0;10.0;8.7;8.7;56484.0;181.0;2414.0;4365.0;3978;1071;2907;2126;906;1220;313;101;212;1539;64;1475;1555;1246;167;142
1;1;1999;131;783.2;6.0;76;15;9;73;58;;;;;;;;;;;;;;;;;;;;;;;;;;;50;48;31;56;69;34;29;26;32;435.9;267.1;193.3;;72.9;0.9;;;12156;8599;3557;7325;5431;1892;3279;2206;1072;160.0;156.0;4.0;1393;806;588;52;33;16;5.0;15.0;;10.9;65756.0;576.0;3040.0;4223.0;4520;1131;3389;2374;1011;1363;577;102;475;1569;18;1551;1931;1557;224;150
2;2;1997;75;304.7;4.1;80;12;8;32;43;32.0;36.0;61.0;4.0;2.8;2.7;1.5;19.0;2123.0;;;;16.0;14.0;13.0;15.0;17.0;;;;17.0;;3.0;8.0;18.0;42.0;43;40;37;47;61;25;17;27;19;;;;;;;24.0;23.8;1612;1412;199;947;841;105;104;100;3;166.0;166.0;;395;304;91;16;43;6;6.0;4.0;7.2;9.0;4855.0;40.0;366.0;516.0;1212;228;984;228;130;98;98;65;33;886;33;853;289;165;76;47
3;2;1999;104;384.1;3.7;83;12;6;53;51;42.0;44.0;74.0;5.0;3.0;2.8;1.9;18.0;2140.0;;;;20.0;15.0;28.0;32.0;9.0;;;;;;;;;;40;41;30;52;67;24;25;26;24;45.7;27.6;16.4;14.9;11.1;0.1;;;1801;1573;228;1012;941;70;140;135;4;160.0;156.0;4.0;490;341;149;52;26;15;4.0;7.0;;11.6;5174.0;368.0;462.0;675.0;1620;277;1343;351;191;160;212;80;132;1057;6;1051;383;223;87;73
4;3;1997;24;393.4;14.6;42;33;25;19;5;4.0;4.0;4.0;;6.4;5.6;4.9;;;183.0;15.0;16.0;;;;;;10.0;8.0;6.0;3.0;7.0;;3.0;11.0;6.0;92;75;50;92;88;83;38;33;58;;;;;;;38.0;15.7;9785;6529;3256;6001;4089;1912;3036;2019;1017;;;;748;421;327;7;8;2;1.0;6.0;13.4;7.7;51630.0;140.0;2048.0;3849.0;2766;843;1923;1898;776;1122;215;36;179;653;31;622;1266;1081;90;95
5;3;1999;27;399.1;15.4;48;30;22;20;7;4.0;4.0;4.0;;6.8;5.8;5.1;;;202.0;15.0;17.0;;;;;;10.0;8.0;9.0;;;;;;;85;70;33;70;74;78;44;26;63;390.2;239.5;176.9;25.0;61.8;0.8;;;10355;7026;3329;6313;4490;1822;3139;2071;1068;;;;903;465;439;10;7;1;1.0;8.0;;10.8;60582.0;209.0;2577.0;3548.0;2900;854;2046;2023;820;1203;365;22;343;512;12;500;1548;1335;137;76
6;4;1997;11;363.0;33.0;9;45;45;9;2;0.0;0.0;0.0;;9.2;8.1;7.3;;;278.0;11.0;20.0;;;;;;;;;3.0;6.0;;3.0;5.0;0.0;100;100;45;100;100;100;55;18;100;;;;;;;36.0;9.2;8916;5930;2986;5360;3663;1697;3008;1997;1012;;;;548;271;277;4;5;1;1.0;;5.7;6.8;;;;;2483;784;1699;1815;740;1075;169;23;146;499;21;478;1132;1017;57;57
7;4;1999;11;364.5;33.1;9;45;45;9;2;0.0;0.0;0.0;;10.3;9.2;8.4;;;310.0;10.0;24.0;;;;;;;;;;;;;;;100;100;55;82;100;100;82;27;100;388.3;238.4;176.1;29.8;61.5;0.8;;;9371;6358;3013;5550;3987;1563;3130;2064;1065;;;;691;307;384;4;5;1;;1.0;;9.7;;;;;2634;786;1848;1925;776;1149;316;4;312;393;6;387;1412;1276;96;40
8;5;1997;13;30.4;2.5;69;23;8;10;3;8.0;8.0;8.0;;3.9;3.2;2.5;;;96.0;4.0;4.0;;;;;;;;;;1.0;;;6.0;6.0;85;54;54;85;77;69;23;46;23;;;;;;;38.0;6.5;869;599;270;642;427;215;28;22;5;;;;200;150;50;3;3;1;;6.0;19.8;16.9;;;;;283;59;244;83;36;47;46;13;33;154;10;144;134;64;33;37
9;5;1999;16;34.6;2.3;75;19;6;11;5;6.0;6.0;6.0;;4.2;3.3;2.8;;;128.0;5.0;3.0;;;;;;;;;;;;;;;75;50;19;63;56;50;19;25;38;1.9;1.1;0.8;16.1;0.3;0.0;;;984;668;316;763;504;259;9;6;3;;;;212;158;55;6;2;0;1.0;7.0;;20.7;;;;;266;68;198;98;44;54;49;18;31;119;6;113;135;59;40;36
