ID;ProvincialLevies;Regions;Periods;ProvincialLeviesInMillionOfEuros_1
0;Total provincial levies;The Netherlands;1995;281.9
1;Total provincial levies;The Netherlands;1996;345.8
2;Total provincial levies;The Netherlands;1997;596.5
3;Total provincial levies;The Netherlands;1998;677.1
4;Total provincial levies;The Netherlands;1999;693.6
5;Total provincial levies;The Netherlands;2000;730.5
6;Total provincial levies;The Netherlands;2001;759.2
7;Total provincial levies;The Netherlands;2002;817.3
8;Total provincial levies;The Netherlands;2003;885.0
9;Total provincial levies;The Netherlands;2004;986.8
10;Total provincial levies;The Netherlands;2005;1068.5
11;Total provincial levies;The Netherlands;2006;1136.0
12;Total provincial levies;The Netherlands;2007;1214.9
13;Total provincial levies;The Netherlands;2008;1317.6
14;Total provincial levies;The Netherlands;2009;1399.1
15;Total provincial levies;The Netherlands;2010;1441.3
16;Total provincial levies;The Netherlands;2011;1472.6
17;Total provincial levies;The Netherlands;2012;1486.4
18;Total provincial levies;The Netherlands;2013;1479.8
19;Total provincial levies;The Netherlands;2014;1550.2
20;Total provincial levies;The Netherlands;2015;1567.7
21;Total provincial levies;The Netherlands;2016;1559.8
22;Total provincial levies;The Netherlands;2017;1596.5
23;Total provincial levies;The Netherlands;2018;1632.2
24;Total provincial levies;The Netherlands;2019;1672.9
25;Total provincial levies;The Netherlands;2020;1690.5
26;Total provincial levies;The Netherlands;2021;1733.6
27;Total provincial levies;The Netherlands;2022;1768.2
28;Total provincial levies;The Netherlands;2023;1837.9
29;Total provincial levies;The Netherlands;2024;1923.9
30;Total provincial levies;The Netherlands;2025;2045.7
31;Total provincial levies;Noord-Nederland (LD);1995;46.8
32;Total provincial levies;Noord-Nederland (LD);1996;48.3
33;Total provincial levies;Noord-Nederland (LD);1997;87.3
34;Total provincial levies;Noord-Nederland (LD);1998;94.4
35;Total provincial levies;Noord-Nederland (LD);1999;96.7
36;Total provincial levies;Noord-Nederland (LD);2000;70.9
37;Total provincial levies;Noord-Nederland (LD);2001;74.2
38;Total provincial levies;Noord-Nederland (LD);2002;80.9
39;Total provincial levies;Noord-Nederland (LD);2003;90.4
40;Total provincial levies;Noord-Nederland (LD);2004;97.2
41;Total provincial levies;Noord-Nederland (LD);2005;109.8
42;Total provincial levies;Noord-Nederland (LD);2006;119.0
43;Total provincial levies;Noord-Nederland (LD);2007;126.4
44;Total provincial levies;Noord-Nederland (LD);2008;137.7
45;Total provincial levies;Noord-Nederland (LD);2009;145.3
46;Total provincial levies;Noord-Nederland (LD);2010;147.4
47;Total provincial levies;Noord-Nederland (LD);2011;154.4
48;Total provincial levies;Noord-Nederland (LD);2012;161.5
49;Total provincial levies;Noord-Nederland (LD);2013;161.9
50;Total provincial levies;Noord-Nederland (LD);2014;169.7
51;Total provincial levies;Noord-Nederland (LD);2015;176.8
52;Total provincial levies;Noord-Nederland (LD);2016;161.6
53;Total provincial levies;Noord-Nederland (LD);2017;164.6
54;Total provincial levies;Noord-Nederland (LD);2018;170.1
55;Total provincial levies;Noord-Nederland (LD);2019;173.0
56;Total provincial levies;Noord-Nederland (LD);2020;190.8
57;Total provincial levies;Noord-Nederland (LD);2021;193.9
58;Total provincial levies;Noord-Nederland (LD);2022;198.3
59;Total provincial levies;Noord-Nederland (LD);2023;203.2
60;Total provincial levies;Noord-Nederland (LD);2024;205.3
61;Total provincial levies;Noord-Nederland (LD);2025;211.1
62;Total provincial levies;Oost-Nederland (LD);1995;36.2
63;Total provincial levies;Oost-Nederland (LD);1996;36.8
64;Total provincial levies;Oost-Nederland (LD);1997;112.8
65;Total provincial levies;Oost-Nederland (LD);1998;140.6
66;Total provincial levies;Oost-Nederland (LD);1999;148.1
67;Total provincial levies;Oost-Nederland (LD);2000;162.9
68;Total provincial levies;Oost-Nederland (LD);2001;170.3
69;Total provincial levies;Oost-Nederland (LD);2002;183.9
70;Total provincial levies;Oost-Nederland (LD);2003;199.4
71;Total provincial levies;Oost-Nederland (LD);2004;214.0
