ID;Arrondissementen;Perioden;Totaal_1;OpEigenAangifte_2;Overige_3;Totaal_4;OpEigenAangifte_5;OpVerzoekCrediteuren_6;TotaalOp1JanLopendeFaillisementen_7;UitgesprokenInDeLoopVanHetJaar_8;VernietigdInDeLoopVanHetJaar_9;BeeindigdInDeLoopVanHetJaar_10;Op31DecLopendeFaillissementen_11
0;1;1993;13182;2550;10632;6428;2507;3810;10536;6428;192;3946;12826
1;1;1994;13031;2441;10590;6464;2376;3917;12806;6464;208;5006;14056
2;1;1995;11731;2327;9404;5847;2358;3419;14056;5847;201;5466;14236
3;1;1996;11559;2081;9478;5577;2090;3416;14231;5577;189;5210;14409
4;1;1997;11347;2171;9176;5547;2181;3366;14409;5547;149;5405;14402
5;1;1998;10656;1944;8712;5031;2005;3026;14402;5031;196;5029;14208
6;1;1999;9195;1394;7801;3840;1336;2504;14208;3840;183;4648;13217
7;2;1993;1180;268;912;608;275;327;1036;608;16;275;1353
8;2;1994;1003;189;814;506;184;322;1353;506;12;499;1348
9;2;1995;932;198;734;443;191;251;1348;443;13;474;1304
10;2;1996;941;175;766;448;175;273;1304;448;17;427;1308
11;2;1997;978;160;818;415;152;263;1308;415;23;523;1177
12;2;1998;860;171;689;374;175;199;1177;374;7;413;1131
13;2;1999;884;156;728;295;91;204;1131;295;14;354;1058
14;3;1993;889;195;694;368;149;213;712;368;4;229;847
15;3;1994;1030;183;847;476;176;292;847;476;8;340;975
16;3;1995;844;181;663;416;184;222;975;416;3;377;1011
17;3;1996;833;151;682;379;158;221;1011;379;1;360;1029
18;3;1997;777;148;629;347;159;188;1029;347;1;382;993
19;3;1998;803;133;670;363;132;231;993;363;0;331;1025
20;3;1999;728;127;601;301;114;187;1025;301;4;377;945
21;4;1993;471;78;393;206;75;131;372;206;4;97;477
22;4;1994;495;80;415;213;76;130;477;213;12;135;543
23;4;1995;395;61;334;184;63;121;543;184;2;154;571
24;4;1996;432;58;374;166;60;106;570;166;3;172;561
25;4;1997;438;61;377;141;56;85;561;141;4;204;494
26;4;1998;404;73;331;162;68;94;494;162;4;183;469
27;4;1999;272;56;216;111;49;62;469;111;6;121;453
28;5;1993;407;69;338;161;57;98;244;161;3;124;278
29;5;1994;384;48;336;151;46;105;277;151;3;176;249
30;5;1995;428;60;368;164;59;105;249;164;5;130;278
31;5;1996;369;62;307;155;60;95;278;155;6;118;308
32;5;1997;316;62;254;161;56;105;308;161;5;158;306
33;5;1998;327;54;273;124;53;71;306;124;4;129;297
34;5;1999;293;31;262;115;29;86;297;115;7;116;289
35;6;1993;782;123;659;407;122;265;801;407;8;341;859
36;6;1994;755;134;621;405;133;242;859;405;14;344;906
37;6;1995;668;117;551;317;115;175;906;317;10;330;883
38;6;1996;733;113;620;332;115;217;884;332;4;279;933
39;6;1997;724;135;589;358;142;216;933;358;16;299;976
40;6;1998;673;124;549;313;138;175;976;313;14;307;968
41;6;1999;563;70;493;222;81;141;968;222;7;309;874
42;7;1993;405;88;317;218;89;129;301;218;7;110;402
43;7;1994;534;87;447;252;86;134;402;252;9;133;512
44;7;1995;512;93;419;247;90;156;512;247;12;179;568
45;7;1996;522;82;440;236;79;157;567;236;18;210;575
46;7;1997;482;75;407;211;72;139;575;211;8;292;486
47;7;1998;454;96;358;227;92;135;486;227;15;185;513
48;7;1999;372;81;291;191;81;110;513;191;7;208;489
49;8;1993;579;118;461;304;113;191;474;304;14;107;657
50;8;1994;565;122;443;291;127;164;655;291;8;312;626
51;8;1995;477;77;400;238;88;150;626;238;18;328;518
52;8;1996;500;91;409;281;104;177;518;281;11;234;554
53;8;1997;489;101;388;307;112;195;554;307;3;238;620
54;8;1998;482;100;382;281;120;161;620;281;5;195;701
55;8;1999;405;63;342;161;65;96;701;161;6;260;596
56;9;1993;483;98;385;260;108;152;369;260;7;198;424
57;9;1994;460;112;348;257;108;149;424;257;8;162;511
58;9;1995;434;96;338;242;106;136;511;242;7;268;478
59;9;1996;433;105;328;239;113;126;477;239;3;156;557
60;9;1997;444;131;313;257;150;107;557;257;7;162;645
61;9;1998;404;94;310;213;106;107;645;213;7;218;633
62;9;1999;350;48;302;174;55;119;633;174;9;219;579
63;'s-Gravenhage;1993;1234;209;1025;568;193;351;1064;568;19;332;1281
64;'s-Gravenhage;1994;1360;242;1118;694;227;443;1281;694;18;355;1602
65;'s-Gravenhage;1995;1260;293;967;654;284;370;1602;654;19;460;1777
66;'s-Gravenhage;1996;1117;211;906;539;198;341;1778;539;16;452;1849
67;'s-Gravenhage;1997;1322;258;1064;624;232;392;1849;624;22;455;1996
68;'s-Gravenhage;1998;1101;198;903;520;188;332;1996;520;20;562;1934
69;'s-Gravenhage;1999;864;117;747;309;115;194;1934;309;20;431;1792
70;Rotterdam;1993;1676;302;1374;759;282;472;1067;759;33;407;1386
71;Rotterdam;1994;1442;254;1188;660;246;370;1369;660;26;546;1457
72;Rotterdam;1995;1365;276;1089;674;264;408;1457;674;43;554;1534
73;Rotterdam;1996;1207;237;970;593;223;304;1534;593;26;590;1511
74;Rotterdam;1997;1082;213;869;521;196;325;1511;521;10;622;1400
75;Rotterdam;1998;1017;165;852;446;165;281;1400;446;21;553;1272
76;Rotterdam;1999;884;108;776;444;148;296;1272;444;25;448;1243
77;Dordrecht;1993;443;86;357;227;109;118;390;227;5;161;451
78;Dordrecht;1994;490;86;404;243;91;152;451;243;9;231;454
79;Dordrecht;1995;385;80;305;179;86;93;454;179;3;229;401
80;Dordrecht;1996;376;72;304;187;67;120;401;187;3;176;409
81;Dordrecht;1997;312;67;245;147;79;68;409;147;5;185;366
82;Dordrecht;1998;407;81;326;177;77;100;366;177;8;155;380
83;Dordrecht;1999;311;60;251;134;63;71;380;134;6;158;350
84;Middelburg;1993;279;29;250;109;30;79;225;109;1;101;232
85;Middelburg;1994;253;34;219;117;30;86;232;117;9;92;248
86;Middelburg;1995;205;23;182;91;23;68;248;91;0;101;238
87;Middelburg;1996;238;41;197;126;41;85;239;126;3;104;258
88;Middelburg;1997;211;51;160;114;59;55;258;114;0;97;275
89;Middelburg;1998;204;31;173;85;32;53;275;85;2;86;272
90;Middelburg;1999;159;19;140;60;5;55;272;60;0;94;238
91;Amsterdam;1993;1225;262;963;606;262;340;883;606;29;460;1000
92;Amsterdam;1994;1355;241;1114;595;217;378;1000;595;17;391;1187
93;Amsterdam;1995;1010;201;809;521;201;320;1187;521;20;465;1223
94;Amsterdam;1996;956;177;779;504;177;327;1222;504;14;529;1183
95;Amsterdam;1997;905;195;710;529;195;334;1183;529;16;464;1232
96;Amsterdam;1998;888;155;733;492;155;337;1232;492;17;526;1181
97;Amsterdam;1999;885;120;765;344;119;225;1181;344;10;415;1100
98;Alkmaar;1993;428;109;319;228;109;114;452;228;3;141;536
99;Alkmaar;1994;387;112;275;218;112;106;536;218;6;181;567
100;Alkmaar;1995;369;102;267;235;114;114;567;235;5;171;626
101;Alkmaar;1996;452;116;336;239;108;127;626;239;8;240;617
102;Alkmaar;1997;473;124;349;265;100;165;617;265;6;254;622
103;Alkmaar;1998;387;90;297;221;119;102;622;221;7;201;635
104;Alkmaar;1999;345;73;272;156;60;96;635;156;12;209;570
105;Haarlem;1993;570;118;452;335;122;213;454;335;18;233;538
106;Haarlem;1994;549;128;421;334;131;203;538;334;20;282;570
107;Haarlem;1995;591;121;470;297;125;172;570;297;10;311;546
108;Haarlem;1996;563;109;454;277;119;158;546;277;16;320;487
109;Haarlem;1997;613;95;518;282;105;177;487;282;6;236;527
