ID;Perioden;AantalAttractieparken_1;AantalPersonen_2;AantalMensjaren_3;TotaalBaten_4;Entreegelden_5;VerkoopopbrengstHoreca_6;OverigeBaten_7;TotaalLasten_8;PersoneelInLoondienst_9;Huisvestingskosten_10;Afschrijvingen_11;Rente_12;InkoopkostenHoreca_13;OverigeLasten_14;TotaalBetalendeBezoekers_15;BuitenlandseBezoekers_16
0;1998;35;2400;1765;126;59;28;13;121;31;10;20;5;10;24;7795;16
1;2002;45;2730;1725;176;63;25;13;163;35;16;14;3;12;20;9669;18
2;2004;80;3105;1915;199;64;23;13;185;34;12;14;3;12;24;10501;15
3;2006;115;4585;2415;268;66;22;13;245;34;12;12;4;11;27;12797;12
4;2008;140;6755;2995;330;66;22;12;299;35;14;13;3;10;25;15735;13
5;2010;95;7825;3040;331;67;24;9;310;34;14;16;2;10;24;15175;14
6;2012;95;7855;3285;352;69;25;7;340;34;15;17;2;10;23;16258;13
7;2014;125;9090;3810;414;67;28;6;395;35;14;17;3;11;20;18980;17
8;2016;150;9475;4075;470;66;29;5;435;35;13;15;3;13;22;21120;18
9;2018;180;11100;4675;554;67;27;7;523;36;12;14;3;12;23;22428;16
