ID;Perioden;TotaalGebouwen_1;Totaal_2;Nieuwbouw_3;NietNieuwbouw_4;Totaal_5;Nieuwbouw_6;NietNieuwbouw_7;TotaalGebouwen_8;Totaal_9;Nieuwbouw_10;NietNieuwbouw_11;Totaal_12;Nieuwbouw_13;NietNieuwbouw_14
0;2007 1e kwartaal;112;121;121;126;103;104;98;;;;;;;
1;2007 2e kwartaal;106;112;113;107;99;97;109;;;;;;;
2;2007 3e kwartaal;94;85;87;68;103;107;82;;;;;;;
3;2007 4e kwartaal;88;81;80;100;95;92;112;;;;;;;
4;2007;100;100;100;100;100;100;100;;;;;;;
5;2008 1e kwartaal;80;85;83;109;75;69;103;-28.8;-30.0;-31.2;-13.0;-27.4;-33.6;5.6
6;2008 2e kwartaal;66;73;74;70;59;54;85;-37.5;-34.7;-34.6;-35.0;-40.5;-44.7;-21.4
7;2008 3e kwartaal;62;63;62;82;61;58;75;-34.1;-25.6;-28.2;20.7;-40.7;-45.7;-7.9
8;2008 4e kwartaal;61;66;64;94;56;53;71;-31.0;-18.1;-19.2;-5.7;-41.3;-42.4;-36.6
9;2008;67;72;71;89;63;58;84;-32.8;-28.0;-29.2;-11.4;-37.4;-41.5;-16.3
10;2009 1e kwartaal;42;42;40;65;43;41;52;-47.2;-51.0;-52.0;-40.1;-43.1;-41.2;-49.6
11;2009 2e kwartaal;39;45;45;43;34;29;59;-40.3;-38.9;-39.0;-37.6;-42.1;-45.6;-30.9
12;2009 3e kwartaal;41;36;34;76;45;43;55;-34.0;-42.6;-46.0;-7.0;-25.6;-25.1;-27.5
13;2009 4e kwartaal;34;30;28;56;38;32;67;-44.2;-54.9;-56.5;-40.0;-32.3;-39.4;-5.5
14;2009;39;38;37;60;40;36;58;-41.8;-47.0;-48.3;-32.0;-36.2;-37.8;-30.5
15;2010 1e kwartaal;44;36;33;79;51;48;67;3.7;-13.4;-17.5;21.2;19.5;17.1;29.0
16;2010 2e kwartaal;47;53;53;66;40;35;66;18.7;19.1;16.9;50.8;18.2;20.7;11.7
17;2010 3e kwartaal;36;35;32;70;38;29;85;-11.0;-5.0;-4.5;-7.9;-15.6;-33.1;55.1
18;2010 4e kwartaal;36;34;33;53;39;32;72;7.2;14.2;17.0;-5.4;2.0;-0.1;7.0
19;2010;41;40;38;67;42;36;72;4.4;3.5;2.6;11.2;5.1;-1.0;24.4
20;2011 1e kwartaal;37;34;34;42;40;32;77;-15.0;-4.5;2.8;-47.0;-21.9;-32.2;14.8
21;2011 2e kwartaal;40;38;36;73;41;35;71;-14.9;-28.2;-31.8;11.7;1.6;-0.6;7.4
22;2011 3e kwartaal;29;28;25;75;30;23;65;-20.1;-18.1;-22.0;6.6;-21.8;-21.1;-22.9
23;2011 4e kwartaal;38;31;29;67;45;33;105;5.0;-7.6;-11.6;26.6;15.4;1.5;46.9
24;2011;36;33;31;64;39;31;80;-11.7;-16.2;-17.7;-4.0;-7.7;-14.7;10.0
25;2012 1e kwartaal;35;33;31;68;37;31;69;-5.1;-4.1;-10.0;61.9;-5.8;-3.3;-11.1
26;2012 2e kwartaal;34;32;28;98;36;29;71;-14.5;-15.9;-23.2;33.8;-13.4;-18.7;0.1
27;2012 3e kwartaal;27;21;20;40;34;26;71;-5.8;-26.1;-21.8;-46.3;12.4;14.6;8.4
28;2012 4e kwartaal;26;21;17;68;32;30;42;-30.8;-34.8;-40.8;1.5;-28.3;-8.1;-59.8
29;2012;31;27;24;69;35;29;63;-14.6;-19.5;-23.4;6.7;-10.8;-5.7;-20.7
