ID;Regions;Periods;TotalPronouncedBankruptcies_1;BankruptciesOfLegalPersons_2;TotalNaturalPersons_3;WithoutSingleOwnerCompany_4;WithSingleOwnerCompany_5
0;The Netherlands;1993 January;454.0;221.0;233.0;74.0;159.0
1;The Netherlands;1993 February;461.0;233.0;228.0;90.0;138.0
2;The Netherlands;1993 March;639.0;354.0;285.0;67.0;218.0
3;The Netherlands;1993 1st quarter;1554.0;808.0;746.0;231.0;515.0
4;The Netherlands;1993 April;507.0;258.0;249.0;67.0;182.0
5;The Netherlands;1993 May;496.0;283.0;213.0;78.0;135.0
6;The Netherlands;1993 June;557.0;302.0;255.0;72.0;183.0
7;The Netherlands;1993 2nd quarter;1560.0;843.0;717.0;217.0;500.0
8;The Netherlands;1993 July;569.0;316.0;253.0;70.0;183.0
9;The Netherlands;1993 August;508.0;271.0;237.0;74.0;163.0
10;The Netherlands;1993 September;586.0;322.0;264.0;79.0;185.0
11;The Netherlands;1993 3rd quarter;1663.0;909.0;754.0;223.0;531.0
12;The Netherlands;1993 October;504.0;236.0;268.0;78.0;190.0
13;The Netherlands;1993 November;596.0;282.0;314.0;90.0;224.0
14;The Netherlands;1993 December;551.0;286.0;265.0;77.0;188.0
15;The Netherlands;1993 4th quarter;1651.0;804.0;847.0;245.0;602.0
16;The Netherlands;1993;6428.0;3364.0;3064.0;916.0;2148.0
17;The Netherlands;1994 January;535.0;263.0;272.0;92.0;180.0
18;The Netherlands;1994 February;534.0;262.0;272.0;101.0;171.0
19;The Netherlands;1994 March;686.0;324.0;362.0;135.0;227.0
20;The Netherlands;1994 1st quarter;1755.0;849.0;906.0;328.0;578.0
21;The Netherlands;1994 April;497.0;239.0;258.0;91.0;167.0
22;The Netherlands;1994 May;432.0;214.0;218.0;56.0;162.0
23;The Netherlands;1994 June;621.0;341.0;280.0;108.0;172.0
24;The Netherlands;1994 2nd quarter;1550.0;794.0;756.0;255.0;501.0
25;The Netherlands;1994 July;463.0;233.0;230.0;83.0;147.0
26;The Netherlands;1994 August;602.0;287.0;315.0;96.0;219.0
27;The Netherlands;1994 September;548.0;259.0;289.0;97.0;192.0
28;The Netherlands;1994 3rd quarter;1613.0;779.0;834.0;276.0;558.0
29;The Netherlands;1994 October;473.0;233.0;240.0;76.0;164.0
30;The Netherlands;1994 November;622.0;298.0;324.0;117.0;207.0
31;The Netherlands;1994 December;451.0;207.0;244.0;79.0;165.0
32;The Netherlands;1994 4th quarter;1546.0;738.0;808.0;272.0;536.0
33;The Netherlands;1994;6464.0;3160.0;3304.0;1131.0;2173.0
34;The Netherlands;1995 January;514.0;224.0;290.0;98.0;192.0
35;The Netherlands;1995 February;453.0;204.0;249.0;75.0;174.0
36;The Netherlands;1995 March;565.0;246.0;319.0;107.0;212.0
37;The Netherlands;1995 1st quarter;1532.0;674.0;858.0;280.0;578.0
38;The Netherlands;1995 April;478.0;213.0;265.0;99.0;166.0
39;The Netherlands;1995 May;443.0;226.0;217.0;67.0;150.0
40;The Netherlands;1995 June;455.0;236.0;219.0;58.0;161.0
41;The Netherlands;1995 2nd quarter;1376.0;675.0;701.0;224.0;477.0
42;The Netherlands;1995 July;476.0;240.0;236.0;83.0;153.0
43;The Netherlands;1995 August;506.0;237.0;269.0;105.0;164.0
44;The Netherlands;1995 September;510.0;262.0;248.0;103.0;145.0
45;The Netherlands;1995 3rd quarter;1492.0;739.0;753.0;291.0;462.0
46;The Netherlands;1995 October;528.0;258.0;270.0;87.0;183.0
47;The Netherlands;1995 November;515.0;239.0;276.0;108.0;168.0
48;The Netherlands;1995 December;404.0;187.0;217.0;74.0;143.0
49;The Netherlands;1995 4th quarter;1447.0;684.0;763.0;269.0;494.0
50;The Netherlands;1995;5847.0;2772.0;3075.0;1064.0;2011.0
51;The Netherlands;1996 January;494.0;217.0;277.0;79.0;198.0
52;The Netherlands;1996 February;440.0;204.0;236.0;74.0;162.0
53;The Netherlands;1996 March;477.0;228.0;249.0;87.0;162.0
54;The Netherlands;1996 1st quarter;1411.0;649.0;762.0;240.0;522.0
55;The Netherlands;1996 April;437.0;207.0;230.0;71.0;159.0
56;The Netherlands;1996 May;482.0;228.0;254.0;84.0;170.0
