ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;H Vervoer en opslag;2005 1e kwartaal;91.4;
1;H Vervoer en opslag;2005 2e kwartaal;100.7;
2;H Vervoer en opslag;2005 3e kwartaal;101.5;
3;H Vervoer en opslag;2005 4e kwartaal;106.4;
4;H Vervoer en opslag;2005;100.0;
5;H Vervoer en opslag;2006 1e kwartaal;99.0;8.3
6;H Vervoer en opslag;2006 2e kwartaal;106.3;5.6
7;H Vervoer en opslag;2006 3e kwartaal;105.4;3.8
8;H Vervoer en opslag;2006 4e kwartaal;110.1;3.5
9;H Vervoer en opslag;2006;105.2;5.2
10;H Vervoer en opslag;2007 1e kwartaal;105.4;6.5
11;H Vervoer en opslag;2007 2e kwartaal;114.6;7.7
12;H Vervoer en opslag;2007 3e kwartaal;115.4;9.5
13;H Vervoer en opslag;2007 4e kwartaal;119.0;8.1
14;H Vervoer en opslag;2007;113.6;8.0
15;H Vervoer en opslag;2008 1e kwartaal;111.2;5.4
16;H Vervoer en opslag;2008 2e kwartaal;120.6;5.3
17;H Vervoer en opslag;2008 3e kwartaal;119.8;3.8
18;H Vervoer en opslag;2008 4e kwartaal;119.2;0.1
19;H Vervoer en opslag;2008;117.7;3.6
20;H Vervoer en opslag;2009 1e kwartaal;99.0;-11.0
21;H Vervoer en opslag;2009 2e kwartaal;103.5;-14.2
22;H Vervoer en opslag;2009 3e kwartaal;103.7;-13.5
23;H Vervoer en opslag;2009 4e kwartaal;105.8;-11.3
24;H Vervoer en opslag;2009;103.0;-12.5
25;H Vervoer en opslag;2010 1e kwartaal;97.0;-2.0
26;H Vervoer en opslag;2010 2e kwartaal;105.7;2.1
27;H Vervoer en opslag;2010 3e kwartaal;109.0;5.1
28;H Vervoer en opslag;2010 4e kwartaal;110.9;4.9
29;H Vervoer en opslag;2010;105.6;2.6
30;H Vervoer en opslag;2011 1e kwartaal;103.1;6.3
31;H Vervoer en opslag;2011 2e kwartaal;111.9;5.9
32;H Vervoer en opslag;2011 3e kwartaal;112.3;3.1
33;H Vervoer en opslag;2011 4e kwartaal;113.2;2.1
34;H Vervoer en opslag;2011;110.2;4.3
35;H Vervoer en opslag;2012 1e kwartaal;107.0;3.8
36;H Vervoer en opslag;2012 2e kwartaal;115.7;3.4
37;H Vervoer en opslag;2012 3e kwartaal;115.9;3.2
38;H Vervoer en opslag;2012 4e kwartaal;115.9;2.4
39;H Vervoer en opslag;2012;113.6;3.2
40;49 Vervoer over land;2005 1e kwartaal;91.2;
41;49 Vervoer over land;2005 2e kwartaal;101.6;
42;49 Vervoer over land;2005 3e kwartaal;98.6;
43;49 Vervoer over land;2005 4e kwartaal;108.6;
44;49 Vervoer over land;2005;100.0;
45;49 Vervoer over land;2006 1e kwartaal;100.7;10.3
46;49 Vervoer over land;2006 2e kwartaal;112.2;10.5
47;49 Vervoer over land;2006 3e kwartaal;108.3;9.8
48;49 Vervoer over land;2006 4e kwartaal;117.0;7.7
49;49 Vervoer over land;2006;109.5;9.5
50;49 Vervoer over land;2007 1e kwartaal;110.0;9.3
51;49 Vervoer over land;2007 2e kwartaal;120.7;7.6
52;49 Vervoer over land;2007 3e kwartaal;116.5;7.6
53;49 Vervoer over land;2007 4e kwartaal;123.4;5.5
54;49 Vervoer over land;2007;117.7;7.4
55;49 Vervoer over land;2008 1e kwartaal;116.8;6.2
56;49 Vervoer over land;2008 2e kwartaal;127.4;5.5
57;49 Vervoer over land;2008 3e kwartaal;123.4;6.0
58;49 Vervoer over land;2008 4e kwartaal;125.2;1.4
59;49 Vervoer over land;2008;123.2;4.7
60;49 Vervoer over land;2009 1e kwartaal;107.7;-7.8
61;49 Vervoer over land;2009 2e kwartaal;115.5;-9.4
62;49 Vervoer over land;2009 3e kwartaal;110.5;-10.5
63;49 Vervoer over land;2009 4e kwartaal;116.9;-6.6
64;49 Vervoer over land;2009;112.6;-8.6
65;49 Vervoer over land;2010 1e kwartaal;105.2;-2.3
66;49 Vervoer over land;2010 2e kwartaal;117.1;1.4
67;49 Vervoer over land;2010 3e kwartaal;114.7;3.8
68;49 Vervoer over land;2010 4e kwartaal;123.9;5.9
69;49 Vervoer over land;2010;115.2;2.3
70;49 Vervoer over land;2011 1e kwartaal;114.4;8.8
71;49 Vervoer over land;2011 2e kwartaal;123.6;5.6
72;49 Vervoer over land;2011 3e kwartaal;118.4;3.3
73;49 Vervoer over land;2011 4e kwartaal;123.0;-0.7
74;49 Vervoer over land;2011;119.9;4.1
75;49 Vervoer over land;2012 1e kwartaal;116.4;1.7
76;49 Vervoer over land;2012 2e kwartaal;126.9;2.7
77;49 Vervoer over land;2012 3e kwartaal;120.9;2.1
78;49 Vervoer over land;2012 4e kwartaal;124.6;1.2
79;49 Vervoer over land;2012;122.2;1.9
80;493 Personenvervoer over de weg;2005 1e kwartaal;94.2;
81;493 Personenvervoer over de weg;2005 2e kwartaal;105.8;
82;493 Personenvervoer over de weg;2005 3e kwartaal;97.0;
83;493 Personenvervoer over de weg;2005 4e kwartaal;103.0;
84;493 Personenvervoer over de weg;2005;100.0;
85;493 Personenvervoer over de weg;2006 1e kwartaal;94.1;-0.2
86;493 Personenvervoer over de weg;2006 2e kwartaal;106.6;0.8
87;493 Personenvervoer over de weg;2006 3e kwartaal;100.1;3.1
88;493 Personenvervoer over de weg;2006 4e kwartaal;101.7;-1.2
89;493 Personenvervoer over de weg;2006;100.6;0.6
90;493 Personenvervoer over de weg;2007 1e kwartaal;101.1;7.5
91;493 Personenvervoer over de weg;2007 2e kwartaal;113.4;6.4
92;493 Personenvervoer over de weg;2007 3e kwartaal;107.8;7.7
93;493 Personenvervoer over de weg;2007 4e kwartaal;116.4;14.4
94;493 Personenvervoer over de weg;2007;109.7;9.0
95;493 Personenvervoer over de weg;2008 1e kwartaal;110.2;9.0
96;493 Personenvervoer over de weg;2008 2e kwartaal;120.3;6.0
97;493 Personenvervoer over de weg;2008 3e kwartaal;115.5;7.2
98;493 Personenvervoer over de weg;2008 4e kwartaal;122.0;4.8
99;493 Personenvervoer over de weg;2008;117.0;6.7
100;493 Personenvervoer over de weg;2009 1e kwartaal;118.1;7.1
101;493 Personenvervoer over de weg;2009 2e kwartaal;129.6;7.8
102;493 Personenvervoer over de weg;2009 3e kwartaal;120.4;4.2
103;493 Personenvervoer over de weg;2009 4e kwartaal;128.8;5.6
104;493 Personenvervoer over de weg;2009;124.2;6.2
105;493 Personenvervoer over de weg;2010 1e kwartaal;122.1;3.4
106;493 Personenvervoer over de weg;2010 2e kwartaal;129.1;-0.4
107;493 Personenvervoer over de weg;2010 3e kwartaal;122.8;2.0
108;493 Personenvervoer over de weg;2010 4e kwartaal;130.4;1.2
109;493 Personenvervoer over de weg;2010;126.1;1.5
110;493 Personenvervoer over de weg;2011 1e kwartaal;123.5;1.1
111;493 Personenvervoer over de weg;2011 2e kwartaal;133.4;3.3
112;493 Personenvervoer over de weg;2011 3e kwartaal;126.6;3.2
113;493 Personenvervoer over de weg;2011 4e kwartaal;130.1;-0.2
114;493 Personenvervoer over de weg;2011;128.4;1.8
115;493 Personenvervoer over de weg;2012 1e kwartaal;126.2;2.2
116;493 Personenvervoer over de weg;2012 2e kwartaal;136.6;2.4
117;493 Personenvervoer over de weg;2012 3e kwartaal;123.2;-2.7
118;493 Personenvervoer over de weg;2012 4e kwartaal;133.7;2.8
119;493 Personenvervoer over de weg;2012;129.9;1.2
120;4932 Vervoer per taxi;2005 1e kwartaal;94.7;
121;4932 Vervoer per taxi;2005 2e kwartaal;104.6;
122;4932 Vervoer per taxi;2005 3e kwartaal;94.4;
123;4932 Vervoer per taxi;2005 4e kwartaal;106.3;
124;4932 Vervoer per taxi;2005;100.0;
125;4932 Vervoer per taxi;2006 1e kwartaal;100.7;6.4
126;4932 Vervoer per taxi;2006 2e kwartaal;110.3;5.4
127;4932 Vervoer per taxi;2006 3e kwartaal;102.7;8.9
128;4932 Vervoer per taxi;2006 4e kwartaal;118.5;11.4
129;4932 Vervoer per taxi;2006;108.1;8.1
130;4932 Vervoer per taxi;2007 1e kwartaal;109.8;9.0
131;4932 Vervoer per taxi;2007 2e kwartaal;117.5;6.6
132;4932 Vervoer per taxi;2007 3e kwartaal;110.4;7.5
133;4932 Vervoer per taxi;2007 4e kwartaal;126.4;6.7
134;4932 Vervoer per taxi;2007;116.0;7.4
135;4932 Vervoer per taxi;2008 1e kwartaal;116.6;6.2
136;4932 Vervoer per taxi;2008 2e kwartaal;128.3;9.2
137;4932 Vervoer per taxi;2008 3e kwartaal;118.5;7.3
138;4932 Vervoer per taxi;2008 4e kwartaal;130.5;3.2
139;4932 Vervoer per taxi;2008;123.5;6.4
140;4932 Vervoer per taxi;2009 1e kwartaal;122.6;5.1
141;4932 Vervoer per taxi;2009 2e kwartaal;132.2;3.0
142;4932 Vervoer per taxi;2009 3e kwartaal;120.6;1.8
143;4932 Vervoer per taxi;2009 4e kwartaal;136.5;4.7
144;4932 Vervoer per taxi;2009;128.0;3.7
145;4932 Vervoer per taxi;2010 1e kwartaal;122.8;0.2
146;4932 Vervoer per taxi;2010 2e kwartaal;131.5;-0.5
147;4932 Vervoer per taxi;2010 3e kwartaal;125.4;4.0
