ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
0;A-U All economic activities;Nederland;2006;809310
1;A-U All economic activities;Nederland;2007;849225
2;A-U All economic activities;Nederland;2008;886540
3;A-U All economic activities;Nederland;2009;934975
4;A-U All economic activities;Nederland;2010;956210
5;A-U All economic activities;Noord-Nederland (LD);2006;81710
6;A-U All economic activities;Noord-Nederland (LD);2007;86010
7;A-U All economic activities;Noord-Nederland (LD);2008;88885
8;A-U All economic activities;Noord-Nederland (LD);2009;93395
9;A-U All economic activities;Noord-Nederland (LD);2010;95200
10;A-U All economic activities;Oost-Nederland (LD);2006;169185
11;A-U All economic activities;Oost-Nederland (LD);2007;177000
12;A-U All economic activities;Oost-Nederland (LD);2008;184695
13;A-U All economic activities;Oost-Nederland (LD);2009;194360
14;A-U All economic activities;Oost-Nederland (LD);2010;198190
15;A-U All economic activities;West-Nederland (LD);2006;380275
16;A-U All economic activities;West-Nederland (LD);2007;399815
17;A-U All economic activities;West-Nederland (LD);2008;418390
18;A-U All economic activities;West-Nederland (LD);2009;443425
19;A-U All economic activities;West-Nederland (LD);2010;455555
20;A-U All economic activities;Zuid-Nederland (LD);2006;178140
21;A-U All economic activities;Zuid-Nederland (LD);2007;186405
22;A-U All economic activities;Zuid-Nederland (LD);2008;194570
23;A-U All economic activities;Zuid-Nederland (LD);2009;203795
24;A-U All economic activities;Zuid-Nederland (LD);2010;207265
25;A-U All economic activities;Groningen (PV);2006;24800
26;A-U All economic activities;Groningen (PV);2007;26075
27;A-U All economic activities;Groningen (PV);2008;26990
28;A-U All economic activities;Groningen (PV);2009;28460
29;A-U All economic activities;Groningen (PV);2010;29000
30;A-U All economic activities;Friesland (PV);2006;33390
31;A-U All economic activities;Friesland (PV);2007;35010
32;A-U All economic activities;Friesland (PV);2008;36130
33;A-U All economic activities;Friesland (PV);2009;37950
34;A-U All economic activities;Friesland (PV);2010;38795
35;A-U All economic activities;Drenthe (PV);2006;23520
36;A-U All economic activities;Drenthe (PV);2007;24925
37;A-U All economic activities;Drenthe (PV);2008;25765
38;A-U All economic activities;Drenthe (PV);2009;26985
39;A-U All economic activities;Drenthe (PV);2010;27405
40;A-U All economic activities;Overijssel (PV);2006;52890
41;A-U All economic activities;Overijssel (PV);2007;55025
42;A-U All economic activities;Overijssel (PV);2008;57005
43;A-U All economic activities;Overijssel (PV);2009;59820
44;A-U All economic activities;Overijssel (PV);2010;60910
45;A-U All economic activities;Flevoland (PV);2006;16210
46;A-U All economic activities;Flevoland (PV);2007;17495
47;A-U All economic activities;Flevoland (PV);2008;18915
48;A-U All economic activities;Flevoland (PV);2009;20280
49;A-U All economic activities;Flevoland (PV);2010;20755
50;A-U All economic activities;Gelderland (PV);2006;100085
51;A-U All economic activities;Gelderland (PV);2007;104475
52;A-U All economic activities;Gelderland (PV);2008;108775
53;A-U All economic activities;Gelderland (PV);2009;114255
54;A-U All economic activities;Gelderland (PV);2010;116525
55;A-U All economic activities;Utrecht (PV);2006;61825
56;A-U All economic activities;Utrecht (PV);2007;65085
57;A-U All economic activities;Utrecht (PV);2008;68615
58;A-U All economic activities;Utrecht (PV);2009;73285
59;A-U All economic activities;Utrecht (PV);2010;75680
60;A-U All economic activities;Noord-Holland (PV);2006;141710
61;A-U All economic activities;Noord-Holland (PV);2007;148990
62;A-U All economic activities;Noord-Holland (PV);2008;155655
63;A-U All economic activities;Noord-Holland (PV);2009;164590
64;A-U All economic activities;Noord-Holland (PV);2010;168970
