ID;Geslacht;Leeftijd;Cijfersoort;Perioden;HasjOfMarihuana_1;Cocaine_2;Amfetaminen_3;Ecstasy_4;Heroine_5;PrestatieverbeterendeMiddelen_6;LSD_7;HasjOfMarihuana_8;Cocaine_9;Amfetaminen_10;Ecstasy_11;Heroine_12;PrestatieverbeterendeMiddelen_13;LSD_14
0;Mannen en vrouwen;15 tot 20 jaar;Percentages;2007;22.8;2.2;0.9;1.9;0.0;1.5;0.0;8.9;0.5;0.0;0.2;0.0;;0.0
1;Mannen en vrouwen;15 tot 20 jaar;Percentages;2008;25.0;1.7;1.4;2.9;0.0;0.8;0.8;6.4;0.1;0.0;0.0;0.0;;0.0
2;Mannen en vrouwen;15 tot 20 jaar;Percentages;2009;19.1;1.8;1.6;2.0;0.4;1.2;0.7;6.2;0.5;0.6;0.4;0.3;;0.3
3;Mannen en vrouwen;15 tot 20 jaar;Ondergrens;2007;19.1;1.2;0.4;1.1;0.0;0.7;0.0;6.6;0.1;0.0;0.0;0.0;;0.0
4;Mannen en vrouwen;15 tot 20 jaar;Ondergrens;2008;21.6;0.9;0.7;1.8;0.0;0.3;0.3;4.7;0.0;0.0;0.0;0.0;;0.0
5;Mannen en vrouwen;15 tot 20 jaar;Ondergrens;2009;16.0;1.0;0.8;1.2;0.1;0.5;0.2;4.5;0.2;0.2;0.1;0.0;;0.0
6;Mannen en vrouwen;15 tot 20 jaar;Bovengrens;2007;26.9;4.3;2.4;3.5;0.0;2.9;0.0;11.9;1.9;0.0;1.5;0.0;;0.0
7;Mannen en vrouwen;15 tot 20 jaar;Bovengrens;2008;28.7;3.2;2.7;4.7;0.0;1.7;2.1;8.7;0.9;0.0;0.0;0.0;;0.0
8;Mannen en vrouwen;15 tot 20 jaar;Bovengrens;2009;22.7;3.3;3.0;3.5;1.7;2.5;2.0;8.6;1.8;1.9;1.7;1.9;;1.9
9;Mannen en vrouwen;20 tot 25 jaar;Percentages;2007;37.8;6.9;3.3;11.6;0.0;3.3;1.3;9.5;1.1;0.7;1.9;0.0;;0.0
10;Mannen en vrouwen;20 tot 25 jaar;Percentages;2008;44.0;7.6;3.7;11.2;0.3;4.1;1.9;11.3;2.4;0.7;1.8;0.0;;0.0
11;Mannen en vrouwen;20 tot 25 jaar;Percentages;2009;43.6;7.8;4.6;9.9;0.5;3.8;1.6;10.4;0.7;0.5;1.5;0.3;;0.2
12;Mannen en vrouwen;20 tot 25 jaar;Ondergrens;2007;33.3;4.9;1.9;8.8;0.0;1.9;0.6;7.0;0.4;0.2;1.0;0.0;;0.0
13;Mannen en vrouwen;20 tot 25 jaar;Ondergrens;2008;39.5;5.5;2.3;8.6;0.1;2.7;0.9;8.7;1.3;0.2;0.9;0.0;;0.0
14;Mannen en vrouwen;20 tot 25 jaar;Ondergrens;2009;39.1;5.7;3.0;7.5;0.1;2.4;0.8;7.8;0.3;0.1;0.7;0.0;;0.0
15;Mannen en vrouwen;20 tot 25 jaar;Bovengrens;2007;42.3;9.9;5.3;14.9;0.0;5.3;3.0;12.7;2.6;2.3;3.8;0.0;;0.0
16;Mannen en vrouwen;20 tot 25 jaar;Bovengrens;2008;48.6;10.5;5.9;14.4;1.3;6.4;3.9;14.7;4.4;2.5;3.6;0.0;;0.0
17;Mannen en vrouwen;20 tot 25 jaar;Bovengrens;2009;48.2;10.7;6.9;13.1;2.0;6.1;3.1;13.7;2.1;1.9;3.1;2.1;;1.5
18;Mannen en vrouwen;25 tot 30 jaar;Percentages;2007;43.8;11.5;7.9;17.3;0.0;4.7;3.3;8.2;0.6;0.2;0.8;0.0;;0.2
19;Mannen en vrouwen;25 tot 30 jaar;Percentages;2008;43.7;9.3;6.6;16.2;0.8;3.5;3.0;7.3;1.2;0.4;0.9;0.0;;0.0
20;Mannen en vrouwen;25 tot 30 jaar;Percentages;2009;45.0;11.1;7.6;17.2;0.6;4.3;2.5;8.4;1.6;0.8;1.2;0.0;;0.0
21;Mannen en vrouwen;25 tot 30 jaar;Ondergrens;2007;39.0;8.8;5.6;13.9;0.0;3.0;1.8;5.9;0.2;0.0;0.3;0.0;;0.0
22;Mannen en vrouwen;25 tot 30 jaar;Ondergrens;2008;39.2;6.9;4.7;13.1;0.3;2.1;1.7;5.3;0.5;0.1;0.3;0.0;;0.0
23;Mannen en vrouwen;25 tot 30 jaar;Ondergrens;2009;40.4;8.5;5.4;13.9;0.2;2.7;1.4;6.1;0.8;0.3;0.5;0.0;;0.0
24;Mannen en vrouwen;25 tot 30 jaar;Bovengrens;2007;48.6;15.0;11.0;21.4;0.0;7.2;6.0;11.4;2.4;1.4;2.4;0.0;;1.7
25;Mannen en vrouwen;25 tot 30 jaar;Bovengrens;2008;48.3;12.5;9.2;19.9;2.2;5.7;5.2;10.0;2.6;1.8;2.5;0.0;;0.0
26;Mannen en vrouwen;25 tot 30 jaar;Bovengrens;2009;49.8;14.4;10.5;21.2;1.9;6.9;4.7;11.6;3.4;2.1;2.8;0.0;;0.0
27;Mannen en vrouwen;30 tot 40 jaar;Percentages;2007;30.6;5.5;3.3;8.1;0.5;1.7;2.6;4.0;0.6;0.1;0.5;0.1;;0.0
28;Mannen en vrouwen;30 tot 40 jaar;Percentages;2008;31.2;7.5;4.3;10.6;0.7;2.1;2.2;4.4;0.6;0.3;1.0;0.2;;0.0
29;Mannen en vrouwen;30 tot 40 jaar;Percentages;2009;34.2;8.5;5.5;12.6;0.3;1.7;2.7;4.9;1.0;0.2;0.5;0.0;;0.0
30;Mannen en vrouwen;30 tot 40 jaar;Ondergrens;2007;27.9;4.2;2.3;6.6;0.2;1.0;1.8;2.9;0.2;0.0;0.2;0.0;;0.0
31;Mannen en vrouwen;30 tot 40 jaar;Ondergrens;2008;28.5;6.0;3.2;8.9;0.3;1.3;1.4;3.3;0.3;0.1;0.5;0.0;;0.0
32;Mannen en vrouwen;30 tot 40 jaar;Ondergrens;2009;31.4;6.9;4.3;10.7;0.1;1.1;1.8;3.7;0.5;0.1;0.2;0.0;;0.0
33;Mannen en vrouwen;30 tot 40 jaar;Bovengrens;2007;33.5;7.0;4.6;10.0;1.1;2.6;3.8;5.3;1.4;0.4;1.3;0.5;;0.0
34;Mannen en vrouwen;30 tot 40 jaar;Bovengrens;2008;34.1;9.3;5.8;12.7;1.3;3.1;3.3;5.8;1.3;0.9;2.0;0.7;;0.0
35;Mannen en vrouwen;30 tot 40 jaar;Bovengrens;2009;37.2;10.4;7.1;14.8;0.8;2.7;4.0;6.5;1.9;0.8;1.3;0.0;;0.0
36;Mannen en vrouwen;40 tot 50 jaar;Percentages;2007;20.9;2.9;1.9;2.1;0.5;1.0;1.3;2.1;0.1;0.0;0.0;0.0;;0.0
37;Mannen en vrouwen;40 tot 50 jaar;Percentages;2008;21.6;4.2;2.7;3.5;1.1;1.0;0.9;3.1;0.1;0.3;0.1;0.0;;0.0
38;Mannen en vrouwen;40 tot 50 jaar;Percentages;2009;22.2;4.6;1.4;3.4;0.6;1.4;0.7;2.6;0.1;0.0;0.2;0.0;;0.0
39;Mannen en vrouwen;40 tot 50 jaar;Ondergrens;2007;18.6;2.0;1.3;1.4;0.2;0.6;0.8;1.3;0.0;0.0;0.0;0.0;;0.0
40;Mannen en vrouwen;40 tot 50 jaar;Ondergrens;2008;19.4;3.2;1.9;2.6;0.6;0.6;0.5;2.2;0.0;0.1;0.0;0.0;;0.0
41;Mannen en vrouwen;40 tot 50 jaar;Ondergrens;2009;19.9;3.5;0.9;2.5;0.2;0.9;0.4;1.8;0.0;0.0;0.0;0.0;;0.0
42;Mannen en vrouwen;40 tot 50 jaar;Bovengrens;2007;23.4;4.1;2.9;3.3;1.3;1.8;2.1;3.2;0.6;0.0;0.0;0.0;;0.0
43;Mannen en vrouwen;40 tot 50 jaar;Bovengrens;2008;24.0;5.6;3.9;4.8;2.0;1.7;1.7;4.3;0.5;0.8;0.5;0.0;;0.0
44;Mannen en vrouwen;40 tot 50 jaar;Bovengrens;2009;24.7;6.0;2.2;4.7;1.3;2.3;1.4;3.7;1.0;0.0;0.7;0.0;;0.0
45;Mannen en vrouwen;50 tot 65 jaar;Percentages;2007;10.9;2.0;1.5;0.8;0.8;0.3;1.5;1.0;0.0;0.0;0.0;0.1;;0.0
46;Mannen en vrouwen;50 tot 65 jaar;Percentages;2008;14.1;2.0;1.5;0.7;0.6;0.3;1.6;0.8;0.1;0.1;0.0;0.0;;0.0
47;Mannen en vrouwen;50 tot 65 jaar;Percentages;2009;13.4;1.8;1.5;0.7;0.6;0.2;1.2;1.0;0.0;0.0;0.0;0.0;;0.0
48;Mannen en vrouwen;50 tot 65 jaar;Ondergrens;2007;9.5;1.4;0.9;0.4;0.4;0.1;1.0;0.6;0.0;0.0;0.0;0.0;;0.0
49;Mannen en vrouwen;50 tot 65 jaar;Ondergrens;2008;12.5;1.4;1.0;0.4;0.3;0.2;1.1;0.5;0.0;0.0;0.0;0.0;;0.0
50;Mannen en vrouwen;50 tot 65 jaar;Ondergrens;2009;11.7;1.2;1.0;0.4;0.3;0.1;0.8;0.6;0.0;0.0;0.0;0.0;;0.0
51;Mannen en vrouwen;50 tot 65 jaar;Bovengrens;2007;12.6;2.9;2.3;1.3;1.4;0.7;2.3;1.6;0.0;0.0;0.0;0.7;;0.0
52;Mannen en vrouwen;50 tot 65 jaar;Bovengrens;2008;15.8;2.8;2.2;1.3;1.0;0.8;2.3;1.4;0.5;0.5;0.4;0.0;;0.0
