ID;AlleLeeftijden;Geslacht;RegioS2009;Perioden;TotaleBevolking_1;Autochtoon_2;Totaal1eEn2eGeneratie_3;k_1eGeneratie_4;k_2eGeneratie_5;Totaal1eEn2eGeneratie_6;k_1eGeneratie_7;k_2eGeneratie_8;Regiocode_9
0;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2010;16536250;13206953;1496127;642334;853793;1833170;1037434;795736;1
1;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2011;16585282;13211179;1511818;654013;857805;1862285;1042708;819577;1
2;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2012;16633470;13214388;1526189;664031;862158;1892893;1049146;843747;1
3;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2013;16681830;13218272;1539455;672852;866603;1924103;1057201;866902;1
4;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2014;16730595;13221868;1552073;680746;871327;1956654;1066912;889742;1
5;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2015;16779067;13224541;1564219;688035;876184;1990307;1078101;912206;1
6;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2016;16827459;13226368;1576481;695392;881089;2024610;1090331;934279;1
7;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2017;16875449;13227144;1589087;703107;885980;2059218;1103278;955940;1
8;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2018;16922424;13226600;1601874;710974;890900;2093950;1116730;977220;1
9;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2019;16968564;13225002;1614728;718968;895760;2128834;1130582;998252;1
10;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2020;17013626;13222430;1627680;727083;900597;2163516;1144563;1018953;1
11;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2021;17057908;13219372;1640680;735295;905385;2197856;1158376;1039480;1
12;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2022;17100823;13215619;1653579;743483;910096;2231625;1171791;1059834;1
13;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2023;17142470;13211179;1666467;751749;914718;2264824;1184873;1079951;1
14;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2024;17182683;13205779;1679297;760002;919295;2297607;1197663;1099944;1
15;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2025;17221070;13199201;1692038;768270;923768;2329831;1210076;1119755;1
16;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2026;17257494;13191336;1704692;776525;928167;2361466;1222097;1139369;1
17;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2027;17291703;13181960;1717229;784738;932491;2392514;1233785;1158729;1
18;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2028;17323798;13170897;1729722;792973;936749;2423179;1245142;1178037;1
19;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2029;17353418;13157979;1742132;801171;940961;2453307;1256112;1197195;1
20;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2030;17380280;13142981;1754561;809393;945168;2482738;1266529;1216209;1
21;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2031;17404593;13125576;1767012;817626;949386;2512005;1276736;1235269;1
22;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2032;17425825;13105620;1779417;825816;953601;2540788;1286488;1254300;1
23;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2033;17443836;13082922;1791852;834037;957815;2569062;1295771;1273291;1
24;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2034;17458444;13057251;1804253;842214;962039;2596940;1304731;1292209;1
25;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2035;17469445;13028499;1816627;850391;966236;2624319;1313174;1311145;1
26;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2036;17476920;12996666;1829005;858533;970472;2651249;1321152;1330097;1
27;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2037;17480922;12961725;1841372;866637;974735;2677825;1328796;1349029;1
28;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2038;17481504;12923914;1853688;874714;978974;2703902;1335898;1368004;1
29;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2039;17479143;12883474;1866037;882776;983261;2729632;1342703;1386929;1
30;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2040;17473817;12840719;1878309;890795;987514;2754789;1348973;1405816;1
31;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2010;1713212;1534187;100555;40325;60230;78470;46059;32411;1
32;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2011;1716122;1531662;101826;40972;60854;82634;47766;34868;1
33;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2012;1718897;1529195;102978;41531;61447;86724;49392;37332;1
34;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2013;1721816;1526650;104101;42083;62018;91065;51074;39991;1
35;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2014;1724770;1524076;105058;42401;62657;95636;52921;42715;1
36;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2015;1727441;1521320;106036;42646;63390;100085;54797;45288;1
37;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2016;1729859;1518312;107104;43096;64008;104443;56489;47954;1
38;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2017;1732546;1515197;108183;43521;64662;109166;58514;50652;1
39;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2018;1735044;1512030;109240;43953;65287;113774;60477;53297;1
40;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2019;1737480;1508825;110265;44469;65796;118390;62558;55832;1
41;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2020;1740195;1505921;111317;44975;66342;122957;64510;58447;1
42;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2021;1742832;1502724;112422;45526;66896;127686;66664;61022;1
43;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2022;1745255;1499545;113368;45863;67505;132342;68589;63753;1
44;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2023;1747755;1496461;114439;46383;68056;136855;70501;66354;1
45;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2024;1750071;1493387;115504;46837;68667;141180;72236;68944;1
46;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2025;1752117;1490128;116491;47338;69153;145498;74046;71452;1
47;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2026;1754115;1486743;117479;47790;69689;149893;75831;74062;1
48;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2027;1755826;1483226;118398;48176;70222;154202;77510;76692;1
49;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2028;1757366;1479615;119434;48684;70750;158317;79329;78988;1
50;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2029;1758872;1475965;120528;49155;71373;162379;81038;81341;1
51;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2030;1759765;1471911;121349;49448;71901;166505;82779;83726;1
52;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2031;1760722;1467930;122306;49916;72390;170486;84455;86031;1
53;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2032;1761026;1463413;123379;50460;72919;174234;85961;88273;1
54;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2033;1761324;1458888;124326;50876;73450;178110;87618;90492;1
55;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2034;1761342;1454287;125317;51250;74067;181738;89099;92639;1
56;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2035;1761045;1449163;126296;51614;74682;185586;90721;94865;1
57;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2036;1760652;1444121;127322;52076;75246;189209;92209;97000;1
58;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2037;1760118;1438779;128388;52578;75810;192951;93715;99236;1
59;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2038;1758924;1433025;129224;52993;76231;196675;95130;101545;1
60;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2039;1757562;1427106;130349;53531;76818;200107;96423;103684;1
61;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2040;1756031;1421454;131330;53924;77406;203247;97555;105692;1
62;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2010;3504417;2955832;262858;99077;163781;285727;160790;124937;2
63;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2011;3512771;2955885;264411;100380;164031;292475;163060;129415;2
64;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2012;3520760;2955657;266173;101677;164496;298930;165182;133748;2
65;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2013;3530313;2956541;267761;102864;164897;306011;167901;138110;2
66;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2014;3541130;2957950;269533;104028;165505;313647;170945;142702;2
67;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2015;3553373;2960061;271558;105303;166255;321754;174200;147554;2
68;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2016;3565133;2961917;273264;106354;166910;329952;177780;152172;2
69;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2017;3577325;2964203;274973;107426;167547;338149;181374;156775;2
70;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2018;3589409;2966131;276761;108531;168230;346517;185091;161426;2
71;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2019;3600757;2966926;278484;109617;168867;355347;189038;166309;2
72;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2020;3611686;2967924;280223;110640;169583;363539;192817;170722;2
73;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2021;3622965;2968709;282143;111886;170257;372113;196729;175384;2
74;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2022;3633079;2968501;284178;113266;170912;380400;200652;179748;2
75;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2023;3643511;2968279;285994;114439;171555;389238;204560;184678;2
76;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2024;3653700;2968175;287634;115665;171969;397891;208453;189438;2
77;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2025;3662824;2967240;289483;116876;172607;406101;212171;193930;2
78;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2026;3672144;2966808;291288;118147;173141;414048;215752;198296;2
79;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2027;3680428;2965295;293154;119409;173745;421979;219090;202889;2
80;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2028;3687514;2963071;294866;120550;174316;429577;222401;207176;2
81;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2029;3693963;2959900;296604;121743;174861;437459;225801;211658;2
82;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2030;3699149;2956144;297965;122862;175103;445040;229188;215852;2
83;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2031;3704130;2952210;299555;123909;175646;452365;232344;220021;2
84;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2032;3707419;2947015;301058;124929;176129;459346;235288;224058;2
85;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2033;3709089;2940805;302130;125732;176398;466154;238222;227932;2
86;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2034;3710166;2933782;303247;126642;176605;473137;240898;232239;2
87;Totaal over alle leeftijden;Mannen en vrouwen;Oost-Nederland (LD);2035;3709757;2925731;304295;127666;176629;479731;243558;236173;2
