ID;TypesOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6
0;Total motor vehicles;1990;96353.0;91990.0;4365.0;102045.0;91990.0;10056.0
1;Total motor vehicles;1991;96465.0;91998.0;4465.0;104089.0;91998.0;12090.0
2;Total motor vehicles;1992;101215.0;96576.0;4639.0;108434.0;96576.0;11859.0
3;Total motor vehicles;1993;101037.0;96352.0;4685.0;109636.0;96352.0;13283.0
4;Total motor vehicles;1994;102798.0;97977.0;4820.0;112477.0;97977.0;14498.0
5;Total motor vehicles;1995;101990.0;97108.0;4882.0;113855.0;97108.0;16744.0
6;Total motor vehicles;1996;103604.0;98694.0;4909.0;114246.0;98694.0;15554.0
7;Total motor vehicles;1997;106257.0;101149.0;5109.0;118917.0;101149.0;17767.0
8;Total motor vehicles;1998;109333.0;104145.0;5189.0;120408.0;104145.0;16263.0
9;Total motor vehicles;1999;114417.0;109142.0;5277.0;126563.0;109142.0;17420.0
10;Total motor vehicles;2000;116302.0;111071.0;5228.0;129044.0;111071.0;17973.0
11;Total motor vehicles;2001;118254.4;112893.3;5361.2;130633.7;112893.3;17740.6
12;Total motor vehicles;2002;120481.8;114823.7;5658.2;132102.7;114823.7;17279.0
13;Total motor vehicles;2003;122035.1;116234.5;5800.6;133454.8;116234.5;17220.3
14;Total motor vehicles;2004;125340.5;119350.2;5990.4;135881.7;119350.2;16531.5
15;Total motor vehicles;2005;125232.0;119177.3;6054.7;137071.2;119177.3;17893.9
16;Total motor vehicles;2006;125715.6;119536.9;6178.7;138308.5;119536.9;18771.6
17;Total motor vehicles;2007;128007.3;121694.2;6313.1;141186.4;121694.2;19492.2
18;Total motor vehicles;2008;127536.9;121355.7;6181.2;142922.3;121355.7;21566.7
19;Total motor vehicles;2009;127297.3;121232.1;6065.2;141948.5;121232.1;20716.4
20;Total motor vehicles;2010;127928.1;121809.3;6118.9;140983.9;121809.3;19174.6
21;Total motor vehicles;2011;128286.0;122071.1;6214.9;142927.2;122071.1;20856.1
22;Total motor vehicles;2012;127896.2;121744.2;6152.0;141354.9;121744.2;19610.7
23;Total motor vehicles;2013;127233.2;121058.9;6174.3;140850.0;121058.9;19791.1
24;Total motor vehicles;2014;127680.2;121228.0;6452.2;141383.4;121228.0;20155.4
25;Total motor vehicles;2015;129615.8;122988.4;6627.4;143026.0;122988.4;20037.6
26;Total motor vehicles;2016;133256.1;126275.7;6980.4;146589.1;126275.7;20313.3
27;Total motor vehicles;2017;135175.4;128017.1;7158.4;148524.6;128017.1;20507.5
28;Total motor vehicles;2018;137166.7;129973.9;7192.8;150755.2;129973.9;20781.2
29;Total motor vehicles;2019;137648.7;130261.7;7387.1;151915.9;130261.7;21654.3
30;Total motor vehicles;2020;119140.7;114022.9;5117.8;128964.9;114022.9;14942.0
31;Passenger car;1990;81871.0;78200.0;3671.0;85132.0;78200.0;6932.0
32;Passenger car;1991;81164.0;77448.0;3715.0;86165.0;77448.0;8717.0
33;Passenger car;1992;84626.0;80785.0;3841.0;89081.0;80785.0;8296.0
34;Passenger car;1993;83538.0;79690.0;3848.0;89242.0;79690.0;9552.0
35;Passenger car;1994;85226.0;81263.0;3963.0;91917.0;81263.0;10654.0
36;Passenger car;1995;84152.0;80148.0;4005.0;92874.0;80148.0;12726.0
37;Passenger car;1996;85453.0;81446.0;4007.0;92931.0;81446.0;11485.0
38;Passenger car;1997;87256.0;83088.0;4169.0;96679.0;83088.0;13591.0
39;Passenger car;1998;89210.0;85029.0;4181.0;96953.0;85029.0;11924.0
40;Passenger car;1999;92573.0;88367.0;4206.0;101046.0;88367.0;12679.0
41;Passenger car;2000;93198.0;89148.0;4049.0;102329.0;89148.0;13181.0
42;Passenger car;2001;94262.8;90195.9;4067.0;103106.9;90195.9;12911.1
43;Passenger car;2002;96254.2;91930.2;4324.0;104195.2;91930.2;12265.0
44;Passenger car;2003;97414.3;92942.8;4471.4;105110.2;92942.8;12167.4
45;Passenger car;2004;99939.9;95348.2;4591.7;106778.7;95348.2;11430.5
46;Passenger car;2005;99504.5;94901.9;4602.6;107617.9;94901.9;12716.0
47;Passenger car;2006;100468.3;95800.0;4668.3;109346.3;95800.0;13546.3
48;Passenger car;2007;102218.4;97500.0;4718.4;111630.7;97500.0;14130.7
49;Passenger car;2008;101250.2;96654.8;4595.5;113064.6;96654.8;16409.9
50;Passenger car;2009;101514.0;96978.1;4535.9;112892.3;96978.1;15914.2
51;Passenger car;2010;102307.6;97669.0;4638.5;112388.3;97669.0;14719.3
