ID;BedrijfstakkenBranchesSBI93;Perioden;TotaalAantalBanen_1;Bedrijfsgrootte1Tot10Werknemers_2;Bedrijfsgrootte10Tot50Werknemers_3;Bedrijfsgrootte50Tot100Werknemers_4;Bedrijfsgrootte100Tot500Werknemers_5;Bedrijfsgrootte500Werknemers_6
0;A-Q Alle economische activiteiten ..;2006 december;7692.6;1282.7;1398.0;557.9;1409.3;3044.6
1;A-Q Alle economische activiteiten ..;2006 december;7660.9;1331.2;1389.8;551.0;1388.2;3000.6
2;A-Q Alle economische activiteiten ..;2007 december;7865.3;1368.0;1445.3;566.8;1407.6;3077.5
3;A-Q Alle economische activiteiten ..;2007 december;7885.6;1001.5;1429.8;611.7;1444.7;3397.8
4;A-Q Alle economische activiteiten ..;2008 december;7993.6;1035.2;1455.5;620.6;1456.4;3425.9
5;A-Q Alle economische activiteiten ..;2008 december;7892.3;956.6;1422.8;615.1;1459.1;3438.7
6;A-Q Alle economische activiteiten ..;2009 december;7788.6;936.6;1375.4;588.3;1429.1;3459.2
7;01 Landbouw, jacht en dienstverlening ..;2006 december;117.1;58.1;43.3;;7.3;
8;01 Landbouw, jacht en dienstverlening ..;2006 december;117.6;58.8;43.3;;7.3;
9;01 Landbouw, jacht en dienstverlening ..;2007 december;118.3;56.9;45.6;;8.8;
10;01 Landbouw, jacht en dienstverlening ..;2007 december;118.4;41.8;52.7;12.5;8.5;2.9
11;01 Landbouw, jacht en dienstverlening ..;2008 december;119.5;43.7;52.2;11.3;;
12;01 Landbouw, jacht en dienstverlening ..;2008 december;110.7;39.1;48.7;10.6;;
13;01 Landbouw, jacht en dienstverlening ..;2009 december;109.4;37.9;46.4;11.3;11.3;2.5
14;02 Bosbouw en dienstverlening voor ..;2006 december;1.3;0.3;0.3;;0.0;
15;02 Bosbouw en dienstverlening voor ..;2006 december;1.3;0.3;0.3;;0.0;
16;02 Bosbouw en dienstverlening voor ..;2007 december;1.3;0.3;0.3;0.0;;
17;02 Bosbouw en dienstverlening voor ..;2007 december;1.3;;0.3;0.0;0.0;
18;02 Bosbouw en dienstverlening voor ..;2008 december;1.3;0.3;0.3;;0.0;
19;02 Bosbouw en dienstverlening voor ..;2008 december;1.3;0.3;0.3;;0.0;
20;02 Bosbouw en dienstverlening voor ..;2009 december;1.3;0.3;0.3;;0.0;
21;05 Visserij, kweken van vis en ..;2006 december;1.1;0.6;;0.1;;0.0
22;05 Visserij, kweken van vis en ..;2006 december;1.1;0.6;;0.1;;0.0
23;05 Visserij, kweken van vis en ..;2007 december;1.2;0.7;0.3;;;0.0
24;05 Visserij, kweken van vis en ..;2007 december;1.2;0.5;;0.0;;0.0
25;05 Visserij, kweken van vis en ..;2008 december;1.2;0.5;0.5;;;0.0
26;05 Visserij, kweken van vis en ..;2008 december;1.1;0.5;0.5;;;0.0
