ID;Perioden;Aardappelen_1;Bier_2;Brood_3;Hamlappen_4;Kaas_5;Eieren_6;Koffie_7;Margarine_8;Melk_9;Riblappen_10;Rijst_11;Roomboter_12;Suiker_13;Thee_14
0;1800;0.01;0.01;0.12;;0.16;0.01;0.4;;0.03;;0.19;0.09;0.71;0.2
1;1801;0.01;0.02;0.14;;;0.01;0.34;;0.03;;0.27;0.08;0.64;0.19
2;1802;0.01;0.02;0.13;;;0.01;0.25;;0.03;;0.19;0.12;0.48;0.19
3;1803;0.01;0.01;0.11;;;0.01;0.44;;0.03;;0.2;0.11;0.61;0.19
4;1804;0.01;0.02;0.1;;;0.01;0.47;;0.03;;0.17;0.1;0.64;0.18
5;1805;0.01;0.01;0.13;;;0.01;0.47;;0.03;;0.22;0.09;0.64;0.19
6;1806;0.01;0.01;0.12;;;0.01;0.42;;0.03;;0.21;0.09;0.54;0.18
7;1807;0.01;0.01;0.12;;;0.01;0.42;;0.03;;0.15;0.09;0.52;0.17
8;1808;0.01;0.01;0.11;;;0.01;1.01;;0.03;;0.22;0.09;1.45;0.19
9;1809;0.01;0.01;0.11;;0.18;0.01;;;0.03;0.2;;0.08;;
10;1810;0.01;0.01;0.12;0.32;;0.01;0.65;;0.03;0.27;0.16;0.09;1.77;0.22
11;1811;0.01;0.02;0.1;0.32;;0.01;0.94;;0.03;0.2;0.24;0.08;2.28;0.31
12;1812;0.01;0.02;0.11;0.32;;0.01;1.07;;0.03;0.18;0.0;0.07;2.48;0.31
13;1813;0.01;0.02;0.11;0.26;;0.01;1.0;;0.03;0.19;0.25;0.07;1.53;0.33
14;1814;0.01;0.02;0.1;;0.16;0.01;;;0.02;0.19;0.22;0.1;0.89;
15;1815;0.01;0.02;0.11;;0.18;0.01;;;0.02;0.21;0.27;0.1;0.69;
16;1816;0.02;0.02;0.12;0.25;0.16;0.01;;;0.03;0.17;;0.08;0.6;
17;1817;0.02;0.02;0.15;0.33;0.19;0.01;0.24;;0.03;0.23;;0.1;0.57;
18;1818;0.01;0.02;0.13;0.31;0.18;0.01;0.32;;0.03;0.22;;0.1;0.57;
19;1819;0.01;0.02;0.1;0.27;0.18;0.01;0.38;;0.03;0.2;0.27;0.09;0.49;0.11
20;1820;0.01;0.02;0.09;0.24;0.17;0.01;0.35;;0.03;0.19;0.16;0.08;0.44;0.09
21;1821;0.01;0.02;0.08;0.2;0.15;0.01;0.34;;0.03;0.18;0.0;0.07;0.39;0.1
22;1822;0.01;0.02;0.08;0.16;0.12;0.0;0.31;;0.02;0.14;0.12;0.06;0.34;
23;1823;0.01;0.02;0.09;0.18;0.13;0.01;0.28;;0.02;0.13;0.13;0.06;0.39;
24;1824;0.01;0.02;0.07;0.17;0.14;0.0;0.19;;0.03;0.13;0.13;0.06;0.31;
25;1825;0.01;0.02;0.07;0.19;0.15;0.0;0.18;;0.02;0.16;0.15;0.07;0.39;0.1
26;1826;0.01;0.02;0.07;0.2;0.15;0.0;0.15;;0.02;0.17;0.16;0.07;0.37;
27;1827;0.01;0.02;0.07;0.2;0.14;0.01;0.13;;0.02;0.16;0.13;0.08;0.39;
28;1828;0.01;0.02;0.08;0.22;0.15;0.0;0.11;;0.02;0.16;0.13;0.07;0.37;0.11
29;1829;0.01;0.02;0.09;0.22;0.14;0.01;0.11;;0.02;0.16;0.1;0.07;0.34;0.13
30;1830;0.02;0.02;0.09;0.25;0.15;0.01;0.1;;0.03;0.19;0.1;0.09;0.3;0.15
31;1831;0.01;0.02;0.1;0.29;0.15;0.01;0.13;;0.03;0.21;0.11;0.09;0.26;0.13
32;1832;0.01;0.02;0.09;0.29;0.15;0.01;0.16;;0.02;0.23;0.11;0.08;0.27;0.14
33;1833;0.01;0.02;0.09;0.25;0.13;0.01;0.16;;0.02;0.21;0.1;0.08;0.26;0.13
34;1834;0.01;0.02;0.08;0.21;0.13;0.01;0.15;;0.02;0.19;0.1;0.07;0.26;0.13
35;1835;0.01;0.02;0.07;0.21;0.13;0.0;0.15;;0.02;0.17;0.09;0.07;0.29;0.14
36;1836;0.01;0.02;0.08;0.22;0.14;0.01;0.15;;0.02;0.18;0.1;0.08;0.33;0.13
37;1837;0.01;0.02;0.08;0.25;0.14;0.01;0.13;;0.02;0.18;0.1;0.08;0.29;0.09
38;1838;0.01;0.02;0.09;0.24;0.15;0.01;0.13;;0.02;0.18;0.1;0.08;0.3;0.13
39;1839;0.01;0.02;0.1;0.26;0.15;0.01;0.15;;0.02;0.21;0.09;0.09;0.29;0.15
40;1840;0.01;0.02;0.1;0.27;0.16;0.01;0.13;;0.02;0.23;0.1;0.09;0.28;
41;1841;0.01;0.02;0.1;0.25;0.15;0.01;0.12;;0.02;0.22;0.09;0.09;0.27;0.14
