ID;BedrijfsklasseSBI93;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologisch_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11;TotaalHoeveelheidSlibAfgevoerd_12;LandbouwBodem_13;DiervoedersDestructiebedrijven_14;Composteren_15;Storten_16;Verbranden_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;OverigeBestemmingen_25
0;Totaal bedrijven en instellingen;1993;599;35;324;200;40;240;189;26;25;15395;274;1287033;601694;90254;117130;324624;84350;68981;222860;41740;16648;7623;114425;27297;15127
1;Totaal bedrijven en instellingen;1994;621;38;338;205;40;245;192;27;26;15659;279;1130015;534520;77366;84151;297366;83646;52966;210624;39160;13457;7860;113193;22722;14232
2;Totaal bedrijven en instellingen;1995;600;38;327;197;38;235;186;19;30;15734;268;1036574;396590;93483;29991;305945;107811;102754;219988;29690;14271;3777;125819;28501;17929
3;Totaal bedrijven en instellingen;1996;618;41;339;199;39;238;186;21;31;15768;272;1087328;419650;128039;58666;280783;106787;93405;241588;35881;18909;2917;128899;26328;28655
4;Totaal bedrijven en instellingen;1997;609;38;332;200;39;239;184;22;33;15858;264;913786;328490;140017;13370;233336;64603;133970;208249;27161;14977;2132;108476;9137;46366
5;Totaal bedrijven en instellingen;1998;595;40;325;191;39;230;177;20;33;15242;254;836460;231507;136883;10542;171971;114402;171156;202639;26371;17143;1248;66900;36403;54574
6;Totaal bedrijven en instellingen;1999;627;47;340;199;41;240;185;20;35;15333;258;790625;236448;110379;15684;147985;153002;127127;198263;25568;13338;2307;56856;49040;51154
7;Totaal bedrijven en instellingen;2000;623;47;338;198;40;238;183;20;35;15156;253;1010185;301022;150310;7033;124189;191222;236409;205750;36127;21333;1109;39389;46880;60912
8;Totaal bedrijven en instellingen;2001;615;44;338;193;40;233;178;20;35;15038;246;988925;316959;123420;37497;101029;185352;224668;188079;28010;21693;9146;34428;49028;45773
9;Totaal bedrijven en instellingen;2002;577;40;318;182;37;219;164;20;35;14758;235;1182064;372250;110167;58499;141522;218040;281586;217629;38411;18651;14491;30397;47206;68474
10;Totaal bedrijven en instellingen;2003;553;35;305;174;39;213;160;20;33;14508;227;1078560;315145;85143;38019;122283;195243;322726;196491;34402;12833;9890;26131;37558;75678
11;Totaal bedrijven en instellingen;2004;532;32;290;171;39;210;156;21;33;14353;223;1041929;274673;40342;65449;83197;210806;367462;187388;27745;7631;14214;19869;37252;80676
12;Totaal bedrijven en instellingen;2005;488;29;263;157;39;196;146;17;33;14342;208;954591;323376;47898;52257;72006;185505;273549;174651;33703;7479;8849;18312;31549;74760
13;Totaal bedrijven en instellingen;2006;466;26;255;148;37;185;138;16;31;13667;198;772217;212690;26839;72397;49312;146037;264941;160748;25661;4079;9139;21149;34099;66621
14;Totaal bedrijven en instellingen;2007;452;26;242;147;37;184;137;16;31;13541;195;842262;214641;33063;92551;60889;142326;298793;182039;20471;4443;12882;26532;31511;86200
