ID;Perioden;Prijsindex_1;MutatiesTovDezelfdePeriodeVorigJaar_2;Prijsindex_3;MutatiesTovDezelfdePeriodeVorigJaar_4;Prijsindex_5;MutatiesTovDezelfdePeriodeVorigJaar_6
0;1990 januari;;;;;82.3;
1;1990 februari;;;;;82.2;
2;1990 maart;;;;;82.3;
3;1990 april;;;;;82.4;
4;1990 mei;;;;;82.5;
5;1990 juni;;;;;82.5;
6;1990 juli;;;;;82.6;
7;1990 augustus;;;;;82.4;
8;1990 september;;;;;82.5;
9;1990 oktober;;;;;82.6;
10;1990 november;;;;;82.7;
11;1990 december;;;;;82.6;
12;1990;;;;;82.5;
13;1991 januari;;;;;83.6;1.6
14;1991 februari;;;;;83.7;1.8
15;1991 maart;;;;;83.6;1.6
16;1991 april;;;;;83.8;1.7
17;1991 mei;;;;;83.9;1.7
18;1991 juni;;;;;83.9;1.7
19;1991 juli;;;;;83.9;1.6
20;1991 augustus;;;;;83.9;1.9
21;1991 september;;;;;84.1;1.9
22;1991 oktober;;;;;84.0;1.7
23;1991 november;;;;;83.9;1.5
24;1991 december;;;;;83.9;1.6
25;1991;;;;;83.9;1.7
26;1992 januari;;;;;85.1;1.8
27;1992 februari;;;;;85.3;1.9
28;1992 maart;;;;;85.4;2.2
29;1992 april;;;;;85.7;2.3
30;1992 mei;;;;;85.6;2.1
31;1992 juni;;;;;85.6;2.1
32;1992 juli;;;;;85.6;2.0
33;1992 augustus;;;;;85.7;2.1
34;1992 september;;;;;85.7;1.9
35;1992 oktober;;;;;85.7;2.0
36;1992 november;;;;;85.7;2.1
37;1992 december;;;;;85.6;2.0
38;1992;;;;;85.6;2.0
39;1993 januari;;;;;86.7;1.8
40;1993 februari;;;;;86.7;1.7
41;1993 maart;;;;;87.1;1.9
42;1993 april;;;;;87.8;2.5
43;1993 mei;;;;;87.8;2.6
44;1993 juni;;;;;88.0;2.8
45;1993 juli;;;;;88.2;3.1
46;1993 augustus;;;;;88.4;3.2
47;1993 september;;;;;88.2;3.0
48;1993 oktober;;;;;87.8;2.5
49;1993 november;;;;;87.9;2.6
50;1993 december;;;;;88.0;2.8
51;1993;;;;;87.7;2.5
52;1994 januari;;;;;88.7;2.4
53;1994 februari;;;;;88.7;2.3
54;1994 maart;;;;;89.0;2.2
55;1994 april;;;;;89.3;1.7
56;1994 mei;;;;;89.4;1.8
