ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikGeheleJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16;MinimaalGebruik_17;GemiddeldLaagGebruik_18;GemiddeldGebruik_19;GemiddeldHoogGebruik_20;MaximaalGebruik_21
0;Totaal chemische bestrijdingsmiddelen;Totaal alle sectoren;1995;0;782099;5981638;7.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;Totaal chemische bestrijdingsmiddelen;Totaal alle sectoren;1998;0;823198;6025799;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;Totaal chemische bestrijdingsmiddelen;Totaal alle sectoren;2000;0;804256;5346278;6.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Totaal chemische bestrijdingsmiddelen;Totaal alle sectoren;2004;0;827108;5497255;6.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Totaal chemische bestrijdingsmiddelen;Akkerbouw;1995;0;709142;4105466;5.8;1.0;0.0;0.0;11.7;16.6;22.0;27.2;15.5;5.1;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Totaal chemische bestrijdingsmiddelen;Akkerbouw;1998;0;736096;4240241;5.8;2.3;0.0;0.0;9.2;21.8;28.1;22.5;11.4;4.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Totaal chemische bestrijdingsmiddelen;Akkerbouw;2000;0;719441;3709646;5.2;1.4;0.0;0.0;11.2;19.7;29.0;24.6;11.2;2.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Totaal chemische bestrijdingsmiddelen;Akkerbouw;2004;0;736255;3632037;4.9;1.5;0.0;0.0;11.5;15.7;32.9;25.2;9.5;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;Totaal chemische bestrijdingsmiddelen;Groenten open grond;1995;0;37210;164378;4.4;0.6;0.0;0.0;4.5;18.6;16.1;19.2;19.9;14.1;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;Totaal chemische bestrijdingsmiddelen;Groenten open grond;1998;0;34165;181632;5.3;1.3;0.0;0.0;5.1;14.0;14.5;21.4;24.4;14.8;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Totaal chemische bestrijdingsmiddelen;Groenten open grond;2000;0;28186;158098;5.6;0.7;0.0;0.0;4.0;17.7;20.9;17.2;21.2;13.3;5.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
