ID;Geslacht;Leeftijd;CaribischNederland;Perioden;BevolkingBronCBS_1;BevolkingBronCBSNedAntillen_2
0;1100;Totaal alle leeftijden;Caribisch Nederland;2002;;13915.0
1;1100;Totaal alle leeftijden;Caribisch Nederland;2003;;13783.0
2;1100;Totaal alle leeftijden;Caribisch Nederland;2004;;13967.0
3;1100;Totaal alle leeftijden;Caribisch Nederland;2005;;14433.0
4;1100;Totaal alle leeftijden;Caribisch Nederland;2006;;15194.0
5;1100;Totaal alle leeftijden;Caribisch Nederland;2007;;15731.0
6;1100;Totaal alle leeftijden;Caribisch Nederland;2008;;16369.0
7;1100;Totaal alle leeftijden;Caribisch Nederland;2009;;17246.0
8;1100;Totaal alle leeftijden;Caribisch Nederland;2010;20882.0;18012.0
9;1100;Totaal alle leeftijden;Caribisch Nederland;2011;21345.0;
10;1100;Totaal alle leeftijden;Caribisch Nederland;2012;22303.0;
11;1100;Totaal alle leeftijden;Caribisch Nederland;2013;23296.0;
12;1100;Totaal alle leeftijden;Caribisch Nederland;2014;24279.0;
13;1100;Totaal alle leeftijden;Caribisch Nederland;2015;24593.0;
14;1100;Totaal alle leeftijden;Caribisch Nederland;2016;24548.0;
15;1100;Totaal alle leeftijden;Bonaire;2002;;10173.0
16;1100;Totaal alle leeftijden;Bonaire;2003;;9996.0
17;1100;Totaal alle leeftijden;Bonaire;2004;;10018.0
18;1100;Totaal alle leeftijden;Bonaire;2005;;10415.0
19;1100;Totaal alle leeftijden;Bonaire;2006;;11136.0
20;1100;Totaal alle leeftijden;Bonaire;2007;;11515.0
21;1100;Totaal alle leeftijden;Bonaire;2008;;12093.0
22;1100;Totaal alle leeftijden;Bonaire;2009;;12877.0
23;1100;Totaal alle leeftijden;Bonaire;2010;15518.0;13389.0
24;1100;Totaal alle leeftijden;Bonaire;2011;15823.0;
25;1100;Totaal alle leeftijden;Bonaire;2012;16541.0;
26;1100;Totaal alle leeftijden;Bonaire;2013;17408.0;
27;1100;Totaal alle leeftijden;Bonaire;2014;18413.0;
28;1100;Totaal alle leeftijden;Bonaire;2015;18905.0;
29;1100;Totaal alle leeftijden;Bonaire;2016;19408.0;
30;1100;Totaal alle leeftijden;Sint Eustatius;2002;;2296.0
31;1100;Totaal alle leeftijden;Sint Eustatius;2003;;2399.0
32;1100;Totaal alle leeftijden;Sint Eustatius;2004;;2525.0
33;1100;Totaal alle leeftijden;Sint Eustatius;2005;;2584.0
34;1100;Totaal alle leeftijden;Sint Eustatius;2006;;2587.0
35;1100;Totaal alle leeftijden;Sint Eustatius;2007;;2694.0
36;1100;Totaal alle leeftijden;Sint Eustatius;2008;;2739.0
37;1100;Totaal alle leeftijden;Sint Eustatius;2009;;2768.0
38;1100;Totaal alle leeftijden;Sint Eustatius;2010;3583.0;2886.0
39;1100;Totaal alle leeftijden;Sint Eustatius;2011;3689.0;
40;1100;Totaal alle leeftijden;Sint Eustatius;2012;3791.0;
41;1100;Totaal alle leeftijden;Sint Eustatius;2013;3897.0;
42;1100;Totaal alle leeftijden;Sint Eustatius;2014;4020.0;
43;1100;Totaal alle leeftijden;Sint Eustatius;2015;3877.0;
44;1100;Totaal alle leeftijden;Sint Eustatius;2016;3193.0;
45;1100;Totaal alle leeftijden;Saba;2002;;1446.0
46;1100;Totaal alle leeftijden;Saba;2003;;1388.0
47;1100;Totaal alle leeftijden;Saba;2004;;1424.0
48;1100;Totaal alle leeftijden;Saba;2005;;1434.0
49;1100;Totaal alle leeftijden;Saba;2006;;1471.0
50;1100;Totaal alle leeftijden;Saba;2007;;1522.0
51;1100;Totaal alle leeftijden;Saba;2008;;1537.0
52;1100;Totaal alle leeftijden;Saba;2009;;1601.0
53;1100;Totaal alle leeftijden;Saba;2010;1781.0;1737.0
54;1100;Totaal alle leeftijden;Saba;2011;1833.0;
55;1100;Totaal alle leeftijden;Saba;2012;1971.0;
56;1100;Totaal alle leeftijden;Saba;2013;1991.0;
57;1100;Totaal alle leeftijden;Saba;2014;1846.0;
58;1100;Totaal alle leeftijden;Saba;2015;1811.0;
59;1100;Totaal alle leeftijden;Saba;2016;1947.0;
60;1100;1;Caribisch Nederland;2002;;1139.0
61;1100;1;Caribisch Nederland;2003;;1121.0
62;1100;1;Caribisch Nederland;2004;;1123.0
63;1100;1;Caribisch Nederland;2005;;1164.0
64;1100;1;Caribisch Nederland;2006;;1237.0
65;1100;1;Caribisch Nederland;2007;;1203.0
66;1100;1;Caribisch Nederland;2008;;1198.0
67;1100;1;Caribisch Nederland;2009;;1226.0
68;1100;1;Caribisch Nederland;2010;1261.0;1278.0
69;1100;1;Caribisch Nederland;2011;1259.0;
70;1100;1;Caribisch Nederland;2012;1270.0;
71;1100;1;Caribisch Nederland;2013;1304.0;
72;1100;1;Caribisch Nederland;2014;1369.0;
73;1100;1;Caribisch Nederland;2015;1344.0;
74;1100;1;Caribisch Nederland;2016;1328.0;
75;1100;1;Bonaire;2002;;869.0
76;1100;1;Bonaire;2003;;851.0
77;1100;1;Bonaire;2004;;860.0
78;1100;1;Bonaire;2005;;886.0
79;1100;1;Bonaire;2006;;936.0
80;1100;1;Bonaire;2007;;898.0
81;1100;1;Bonaire;2008;;895.0
82;1100;1;Bonaire;2009;;930.0
83;1100;1;Bonaire;2010;970.0;968.0
84;1100;1;Bonaire;2011;973.0;
85;1100;1;Bonaire;2012;992.0;
86;1100;1;Bonaire;2013;1035.0;
87;1100;1;Bonaire;2014;1083.0;
