ID;VakcentralesEnVakverenigingen;Geslacht;Leeftijd;Perioden;Leden_1;LedenRelatief_2
0;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;1999;1935.3;100.0
1;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2001;1918.7;100.0
2;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2003;1920.7;100.0
3;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2005;1898.7;100.0
4;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2006;1865.9;100.0
5;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2007;1878.2;100.0
6;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2008;1898.0;100.0
7;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2009;1887.0;100.0
8;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2010;1870.3;100.0
9;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2011;1875.6;100.0
10;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2012;1848.8;100.0
11;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2013;1791.8;100.0
12;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2014;1762.0;100.0
13;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2015;1734.4;100.0
14;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2016;1717.4;100.0
15;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2017;1702.7;100.0
16;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2019;1601.5;100.0
17;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2021;1504.2;100.0
18;Totaal vakverenigingen;Totaal mannen en vrouwen;Totaal;2023;1440.9;100.0
19;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;1999;117.2;100.0
20;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2001;111.0;100.0
21;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;106.6;100.0
22;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2005;99.7;100.0
23;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2006;90.8;100.0
24;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2007;82.5;100.0
25;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2008;78.0;100.0
26;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2009;73.5;100.0
27;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2010;71.1;100.0
28;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2011;74.2;100.0
29;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2012;69.2;100.0
30;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2013;61.0;100.0
31;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2014;67.1;100.0
32;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2015;70.4;100.0
33;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2016;69.4;100.0
34;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2017;65.8;100.0
35;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2019;46.6;100.0
36;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2021;35.5;100.0
37;Totaal vakverenigingen;Totaal mannen en vrouwen;Jonger dan 25 jaar;2023;35.3;100.0
38;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;1999;1635.9;100.0
39;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2001;1618.0;100.0
40;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2003;1616.4;100.0
41;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2005;1584.5;100.0
42;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2006;1560.5;100.0
43;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2007;1575.7;100.0
