ID;Perioden;TotaalGeregistreerdeWerklozen_1;VeranderingTOVEenJaarEerder_2
0;1952 januari;139;
1;1952 februari;136;
2;1952 maart;114;
3;1952 april;101;
4;1952 mei;87;
5;1952 juni;81;
6;1952 juli;88;
7;1952 augustus;90;
8;1952 september;84;
9;1952 oktober;93;
10;1952 november;108;
11;1952 december;144;
12;1953 januari;145;6.0
13;1953 februari;124;-12.0
14;1953 maart;87;-27.0
15;1953 april;75;-26.0
16;1953 mei;60;-27.0
17;1953 juni;54;-27.0
18;1953 juli;53;-35.0
19;1953 augustus;52;-38.0
20;1953 september;51;-33.0
21;1953 oktober;55;-38.0
22;1953 november;66;-42.0
23;1953 december;91;-53.0
24;1954 januari;101;-44.0
25;1954 februari;100;-24.0
26;1954 maart;60;-27.0
27;1954 april;51;-24.0
28;1954 mei;39;-21.0
29;1954 juni;33;-21.0
30;1954 juli;37;-16.0
31;1954 augustus;34;-18.0
32;1954 september;30;-21.0
33;1954 oktober;31;-24.0
34;1954 november;42;-24.0
35;1954 december;64;-27.0
36;1955 januari;74;-27.0
37;1955 februari;61;-39.0
38;1955 maart;42;-18.0
39;1955 april;26;-25.0
40;1955 mei;21;-18.0
41;1955 juni;18;-15.0
42;1955 juli;22;-15.0
43;1955 augustus;20;-14.0
44;1955 september;19;-11.0
45;1955 oktober;21;-10.0
46;1955 november;28;-14.0
47;1955 december;44;-20.0
48;1956 januari;46;-28.0
49;1956 februari;52;-9.0
50;1956 maart;25;-17.0
51;1956 april;17;-9.0
52;1956 mei;12;-9.0
53;1956 juni;12;-6.0
54;1956 juli;15;-7.0
55;1956 augustus;15;-5.0
56;1956 september;14;-5.0
57;1956 oktober;16;-5.0
58;1956 november;23;-5.0
59;1956 december;37;-7.0
60;1957 januari;36;-10.0
61;1957 februari;33;-19.0
62;1957 maart;24;-1.0
63;1957 april;22;5.0
64;1957 mei;19;7.0
65;1957 juni;17;5.0
66;1957 juli;24;9.0
67;1957 augustus;25;10.0
68;1957 september;28;14.0
69;1957 oktober;34;18.0
70;1957 november;49;26.0
71;1957 december;87;50.0
72;1958 januari;100;64.0
73;1958 februari;96;63.0
74;1958 maart;86;62.0
75;1958 april;70;48.0
76;1958 mei;58;39.0
77;1958 juni;51;34.0
78;1958 juli;58;34.0
79;1958 augustus;54;29.0
80;1958 september;49;21.0
81;1958 oktober;53;19.0
82;1958 november;62;13.0
83;1958 december;91;4.0
84;1959 januari;99;-1.0
85;1959 februari;90;-6.0
86;1959 maart;57;-29.0
87;1959 april;44;-26.0
88;1959 mei;31;-27.0
89;1959 juni;31;-20.0
90;1959 juli;35;-23.0
91;1959 augustus;33;-21.0
92;1959 september;31;-18.0
93;1959 oktober;32;-21.0
94;1959 november;38;-24.0
95;1959 december;61;-30.0
96;1960 januari;60;-39.0
97;1960 februari;47;-43.0
98;1960 maart;33;-24.0
99;1960 april;28;-16.0
100;1960 mei;20;-11.0
101;1960 juni;17;-14.0
102;1960 juli;22;-13.0
103;1960 augustus;19;-14.0
104;1960 september;18;-13.0
105;1960 oktober;19;-13.0
106;1960 november;24;-14.0
107;1960 december;37;-24.0
108;1961 januari;43;-17.0
109;1961 februari;31;-16.0
110;1961 maart;20;-13.0
111;1961 april;16;-12.0
112;1961 mei;12;-8.0
113;1961 juni;12;-5.0
114;1961 juli;17;-5.0
115;1961 augustus;16;-3.0
116;1961 september;16;-2.0
117;1961 oktober;17;-2.0
118;1961 november;19;-5.0
119;1961 december;35;-2.0
120;1962 januari;32;-11.0
121;1962 februari;27;-4.0
122;1962 maart;20;0.0
123;1962 april;16;0.0
124;1962 mei;13;1.0
125;1962 juni;12;0.0
126;1962 juli;18;1.0
127;1962 augustus;18;2.0
128;1962 september;18;2.0
129;1962 oktober;19;2.0
130;1962 november;24;5.0
131;1962 december;38;3.0
132;1963 januari;47;15.0
133;1963 februari;46;19.0
134;1963 maart;28;8.0
135;1963 april;17;1.0
136;1963 mei;13;0.0
137;1963 juni;12;0.0
138;1963 juli;17;-1.0
139;1963 augustus;16;-2.0
140;1963 september;16;-2.0
141;1963 oktober;17;-2.0
142;1963 november;20;-4.0
143;1963 december;33;-5.0
144;1964 januari;33;-14.0
145;1964 februari;28;-18.0
146;1964 maart;21;-7.0
147;1964 april;15;-2.0
148;1964 mei;12;-1.0
149;1964 juni;11;-1.0
150;1964 juli;17;0.0
151;1964 augustus;16;0.0
152;1964 september;17;1.0
153;1964 oktober;18;1.0
154;1964 november;22;2.0
155;1964 december;37;4.0
156;1965 januari;40;7.0
157;1965 februari;36;8.0
158;1965 maart;26;5.0
159;1965 april;20;5.0
160;1965 mei;17;5.0
161;1965 juni;15;4.0
162;1965 juli;21;4.0
163;1965 augustus;19;3.0
164;1965 september;19;2.0
165;1965 oktober;20;2.0
166;1965 november;28;6.0
167;1965 december;41;4.0
168;1966 januari;48;8.0
169;1966 februari;48;12.0
170;1966 maart;27;1.0
171;1966 april;24;4.0
172;1966 mei;19;2.0
173;1966 juni;19;4.0
174;1966 juli;25;4.0
175;1966 augustus;25;6.0
176;1966 september;28;9.0
177;1966 oktober;34;14.0
178;1966 november;51;23.0
179;1966 december;79;38.0
180;1967 januari;97;49.0
181;1967 februari;94;46.0
182;1967 maart;79;52.0
183;1967 april;70;46.0
184;1967 mei;59;40.0
185;1967 juni;56;37.0
186;1967 juli;66;41.0
187;1967 augustus;63;38.0
188;1967 september;64;36.0
189;1967 oktober;69;35.0
190;1967 november;80;29.0
191;1967 december;102;23.0
192;1968 januari;112;15.0
193;1968 februari;101;7.0
194;1968 maart;84;5.0
