ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;UitkeringsontvangersTotaal_1;Werkloosheid_2;BijstandEnBijstandsgerelateerdTotaal_3;Bijstandsuitkering_4;IOAWUitkering_5;IOAZUitkering_6;WWIKUitkering_7;ArbeidsongeschiktheidTotaal_8;WAOUitkering_9;WIAUitkeringRegelingWGA_10;WIAUitkeringRegelingIVA_11;WAZUitkering_12;WajongUitkering_13;AOW_14
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 januari;1435170;231640.0;418140;389380;10200;3010;2780;825150.0;617890.0;16050.0;4130.0;43290.0;151960.0;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 februari;1423750;220530.0;416850;388240;10060;3000;2780;823220.0;614090.0;17140.0;4510.0;42840.0;152750.0;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 maart;1410640;209330.0;413530;385150;9810;2980;2760;823530.0;611960.0;18340.0;4890.0;42700.0;153900.0;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 april;1399680;203150.0;411340;383120;9660;2950;2720;822290.0;608560.0;19460.0;5340.0;42340.0;154880.0;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 mei;1389780;196980.0;408600;380570;9490;2920;2680;820750.0;604920.0;20630.0;5730.0;41940.0;155780.0;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 juni;1380920;193020.0;404720;376880;9290;2880;2630;819270.0;601380.0;21630.0;6100.0;41550.0;156810.0;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 juli;1377100;194230.0;400960;373370;9070;2870;2570;817580.0;597640.0;22690.0;6420.0;41260.0;157790.0;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 augustus;1363050;186770.0;398560;371040;8930;2830;2570;812680.0;591450.0;23840.0;6810.0;40550.0;157990.0;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 september;1353910;181380.0;395280;367850;8880;2830;2640;811560.0;588120.0;25100.0;7280.0;40240.0;158790.0;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 oktober;1349540;178910.0;393040;365380;8870;2790;2650;811210.0;585690.0;26490.0;7680.0;39930.0;159360.0;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 november;1346260;180360.0;387560;359930;8720;2750;2630;811430.0;583450.0;27760.0;8090.0;39680.0;160340.0;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 december;1354050;191530.0;384630;356800;8720;2690;2620;810940.0;580950.0;28730.0;8540.0;39420.0;161220.0;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 januari;1344410;181780.0;383640;355640;8830;2720;2600;810240.0;577960.0;30160.0;9000.0;39090.0;161960.0;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 februari;1338910;175920.0;384030;355760;8870;2720;2620;809550.0;575120.0;31330.0;9400.0;38790.0;162800.0;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 maart;1333970;170780.0;383240;354810;8910;2680;2590;809880.0;573790.0;32720.0;9790.0;38670.0;162950.0;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 april;1326460;163250.0;382310;353790;8990;2650;2570;810020.0;571710.0;33900.0;10310.0;38430.0;163890.0;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 mei;1319910;157850.0;381110;352580;9020;2620;2560;809420.0;568670.0;35110.0;10750.0;38040.0;165040.0;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 juni;1315710;156260.0;379240;350620;9070;2600;2510;808220.0;565370.0;36220.0;11160.0;37600.0;165990.0;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2008 juli;1315300;157390.0;377820;349240;9060;2600;2480;807620.0;562690.0;37180.0;11540.0;37320.0;167000.0;
